type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2014-05-11 20:43:14,43.450991000,-80.516468000,305.8,,,,,0.000,,130,0,24,"11/05/2014 Kitchener, ON, Canada",
T,2014-05-11 20:43:15,43.450995000,-80.516440000,305.8,8.3,7.22,78.9,0.0,0.002,2.31,129,0,24,,
T,2014-05-11 20:43:18,43.451079000,-80.516408000,305.8,11.6,5.16,15.5,0.0,0.012,9.69,129,35,24,,
T,2014-05-11 20:43:19,43.451119000,-80.516429000,305.8,17.1,3.50,339.1,0.0,0.017,4.76,131,41,24,,
T,2014-05-11 20:43:22,43.451240000,-80.516515000,305.8,18.2,3.30,332.7,0.0,0.032,15.14,134,49,24,,
T,2014-05-11 20:43:24,43.451314000,-80.516577000,305.8,17.3,3.46,328.7,0.0,0.042,9.63,136,51,24,,
T,2014-05-11 20:43:25,43.451356000,-80.516609000,305.8,19.2,3.12,331.1,0.0,0.047,5.34,139,53,24,,
T,2014-05-11 20:43:27,43.451445000,-80.516680000,305.8,20.6,2.91,329.9,0.0,0.058,11.44,142,54,24,,
T,2014-05-11 20:43:30,43.451554000,-80.516775000,305.8,17.2,3.49,327.7,0.0,0.073,14.35,144,50,24,,
T,2014-05-11 20:43:34,43.451713000,-80.516871000,306.4,17.4,3.45,336.3,3.1,0.092,19.30,142,65,24,,
T,2014-05-11 20:43:35,43.451741000,-80.516881000,306.8,11.6,5.18,345.5,12.4,0.095,3.21,142,0,24,,
T,2014-05-11 20:43:36,43.451758000,-80.516882000,307.2,6.8,8.82,357.6,21.2,0.097,1.89,142,0,24,,
T,2014-05-11 20:43:37,43.451768000,-80.516889000,307.6,4.5,13.36,333.1,32.1,0.098,1.25,142,0,24,,
T,2014-05-11 20:43:38,43.451763000,-80.516895000,308.0,2.7,22.59,221.1,54.2,0.099,0.74,142,0,24,,
T,2014-05-11 20:43:40,43.451787000,-80.516896000,308.0,4.8,12.50,358.3,0.0,0.102,2.67,142,0,24,,
T,2014-05-11 20:43:41,43.451794000,-80.516896000,308.0,2.8,21.43,0.0,0.0,0.102,0.78,143,0,24,,
T,2014-05-11 20:44:03,43.451835000,-80.516924000,308.0,0.8,72.07,333.6,0.0,0.108,5.09,144,0,24,,
T,2014-05-11 20:44:05,43.451901000,-80.516954000,308.0,13.9,4.32,341.7,0.0,0.115,7.72,142,49,24,,
T,2014-05-11 20:44:13,43.452270000,-80.517183000,308.0,20.2,2.96,335.7,0.0,0.160,44.99,145,83,24,,
T,2014-05-11 20:44:18,43.452546000,-80.517344000,308.0,24.0,2.50,337.0,0.0,0.194,33.32,148,90,24,,
T,2014-05-11 20:44:21,43.452714000,-80.517450000,308.0,24.7,2.43,335.4,0.0,0.214,20.54,150,90,24,,
T,2014-05-11 20:44:30,43.453247000,-80.517795000,308.0,26.2,2.29,334.8,0.0,0.280,65.47,151,77,25,,
T,2014-05-11 20:44:31,43.453307000,-80.517838000,308.0,27.1,2.22,332.5,0.0,0.287,7.52,152,89,25,,
T,2014-05-11 20:44:39,43.453827000,-80.518196000,308.0,29.1,2.06,333.4,0.0,0.352,64.63,153,77,25,,
T,2014-05-11 20:44:40,43.453897000,-80.518242000,308.0,31.0,1.93,334.5,0.0,0.360,8.62,154,78,25,,
T,2014-05-11 20:44:47,43.454419000,-80.518577000,308.0,32.9,1.82,335.0,0.0,0.424,64.02,154,87,25,,
T,2014-05-11 20:44:49,43.454576000,-80.518682000,308.0,34.9,1.72,334.1,0.0,0.444,19.40,154,89,25,,
T,2014-05-11 20:44:55,43.455051000,-80.519009000,308.0,35.4,1.69,333.4,0.0,0.503,59.04,157,76,25,,
T,2014-05-11 20:44:56,43.455114000,-80.519085000,308.0,33.5,1.79,318.8,0.0,0.512,9.32,157,0,25,,
T,2014-05-11 20:44:59,43.455165000,-80.519398000,308.0,31.2,1.93,282.7,0.0,0.538,25.96,156,51,25,,
T,2014-05-11 20:45:02,43.455060000,-80.519712000,308.0,33.6,1.79,245.3,0.0,0.566,27.96,155,91,25,,
T,2014-05-11 20:45:04,43.454992000,-80.519887000,308.0,28.9,2.08,241.8,0.0,0.582,16.05,156,85,25,,
T,2014-05-11 20:45:07,43.454890000,-80.520131000,308.0,27.3,2.20,240.1,0.0,0.605,22.77,157,99,25,,
T,2014-05-11 20:45:13,43.454728000,-80.520592000,308.0,24.9,2.41,244.2,0.0,0.646,41.43,160,95,25,,
T,2014-05-11 20:45:21,43.454530000,-80.521219000,308.0,24.9,2.41,246.5,0.0,0.702,55.31,162,95,26,,
T,2014-05-11 20:45:29,43.454316000,-80.521773000,308.0,22.8,2.63,242.0,0.0,0.752,50.75,163,97,26,,
T,2014-05-11 20:45:37,43.454034000,-80.522221000,308.0,21.6,2.78,229.1,0.0,0.800,47.92,163,95,26,,
T,2014-05-11 20:45:44,43.453745000,-80.522542000,308.0,21.2,2.82,218.9,0.0,0.842,41.30,163,91,26,,
