type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-05-13 21:36:17,43.446650000,-80.513871000,290.2,,,,,0.000,,128,1,20,New helmet,
T,2013-05-13 21:36:18,43.446650000,-80.513871000,290.2,0.0,,,,0.000,0.00,128,1,20,,
T,2013-05-13 21:36:25,43.446650000,-80.513871000,290.6,0.0,,,,0.000,0.00,130,1,20,,
T,2013-05-13 21:36:30,43.446650000,-80.513871000,290.6,0.0,,,,0.000,0.00,134,60,20,,
T,2013-05-13 21:36:42,43.446650000,-80.513871000,290.6,0.0,,,,0.000,0.00,134,45,20,,
T,2013-05-13 21:36:45,43.446650000,-80.513871000,290.2,0.0,,,,0.000,0.00,133,0,20,,
T,2013-05-13 21:36:46,43.446650000,-80.513871000,289.8,0.0,,,,0.000,0.00,132,0,20,,
T,2013-05-13 21:36:47,43.446650000,-80.513871000,289.2,0.0,,,,0.000,0.00,132,19,20,,
T,2013-05-13 21:36:48,43.446650000,-80.513871000,288.8,0.0,,,,0.000,0.00,132,79,20,,
T,2013-05-13 21:36:49,43.446650000,-80.513871000,288.4,0.0,,,,0.000,0.00,132,82,20,,
T,2013-05-13 21:36:52,43.446650000,-80.513871000,288.4,0.0,,,,0.000,0.00,135,94,20,,
T,2013-05-13 21:36:54,43.446650000,-80.513871000,288.4,0.0,,,,0.000,0.00,138,98,20,,
T,2013-05-13 21:36:57,43.446650000,-80.513871000,288.4,0.0,,,,0.000,0.00,142,102,20,,
T,2013-05-13 21:37:02,43.446650000,-80.513871000,288.4,0.0,,,,0.000,0.00,145,109,20,,
T,2013-05-13 21:37:10,43.446650000,-80.513871000,288.0,0.0,,,,0.000,0.00,146,103,20,,
T,2013-05-13 21:37:11,43.446650000,-80.513871000,287.6,0.0,,,,0.000,0.00,147,104,20,,
T,2013-05-13 21:37:12,43.446650000,-80.513871000,287.2,0.0,,,,0.000,0.00,147,37,20,,
T,2013-05-13 21:37:13,43.446650000,-80.513871000,286.8,0.0,,,,0.000,0.00,147,95,20,,
T,2013-05-13 21:37:14,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,146,99,20,,
T,2013-05-13 21:37:22,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,145,98,20,,
T,2013-05-13 21:37:30,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,145,95,20,,
T,2013-05-13 21:37:38,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,142,59,19,,
T,2013-05-13 21:37:43,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,145,85,19,,
T,2013-05-13 21:37:48,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,148,109,19,,
T,2013-05-13 21:37:51,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,151,109,19,,
T,2013-05-13 21:37:55,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,154,107,19,,
T,2013-05-13 21:37:58,43.446650000,-80.513871000,286.4,0.0,,,,0.000,0.00,155,107,19,,
T,2013-05-13 21:38:06,43.446071000,-80.513558000,286.4,31.1,1.93,158.6,0.0,0.069,69.14,158,98,19,,
T,2013-05-13 21:38:07,43.445999000,-80.513516000,286.8,31.3,1.92,157.0,4.6,0.078,8.69,158,96,19,,
T,2013-05-13 21:38:08,43.445942000,-80.513488000,287.2,24.2,2.48,160.4,5.9,0.085,6.73,159,92,19,,
T,2013-05-13 21:38:09,43.445886000,-80.513458000,287.6,24.0,2.50,158.7,6.0,0.091,6.68,159,89,19,,
T,2013-05-13 21:38:10,43.445829000,-80.513426000,288.0,24.6,2.44,157.8,5.8,0.098,6.84,159,89,19,,
T,2013-05-13 21:38:11,43.445779000,-80.513398000,288.4,21.6,2.78,157.9,6.7,0.104,6.00,159,89,19,,
T,2013-05-13 21:38:14,43.445676000,-80.513356000,288.4,14.3,4.19,163.5,0.0,0.116,11.94,157,0,19,,
T,2013-05-13 21:38:15,43.445651000,-80.513369000,288.8,10.7,5.61,200.7,13.5,0.119,2.97,156,19,19,,
T,2013-05-13 21:38:16,43.445625000,-80.513383000,289.2,11.2,5.37,201.4,12.9,0.122,3.10,155,38,19,,
T,2013-05-13 21:38:17,43.445602000,-80.513398000,289.6,10.2,5.89,205.3,14.1,0.125,2.83,155,35,19,,
T,2013-05-13 21:38:18,43.445578000,-80.513414000,290.2,10.7,5.62,205.8,20.2,0.128,2.96,155,35,19,,
T,2013-05-13 21:38:19,43.445559000,-80.513422000,290.6,7.9,7.55,197.0,18.1,0.130,2.21,154,35,19,,
T,2013-05-13 21:38:20,43.445541000,-80.513421000,290.6,7.2,8.33,177.7,0.0,0.132,2.00,154,17,19,,
T,2013-05-13 21:38:24,43.445538000,-80.513409000,290.6,0.9,64.92,109.0,0.0,0.133,1.03,155,0,19,,
