type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-08-20 22:33:56,43.450409000,-80.516394000,338.2,,,,,0.000,,,,,2012-08-20,
T,2012-08-20 22:34:04,43.450510000,-80.516766000,338.0,14.5,4.15,290.5,-0.6,0.032,32.13,,,,,
T,2012-08-20 22:34:15,43.450777000,-80.516598000,336.3,10.7,5.62,24.6,-5.2,0.065,32.63,,,,,
T,2012-08-20 22:34:22,43.451054000,-80.516576000,334.7,15.9,3.78,3.3,-5.2,0.096,30.83,,,,,
T,2012-08-20 22:34:28,43.451321000,-80.516672000,333.5,18.4,3.26,345.4,-3.9,0.126,30.66,,,,,
T,2012-08-20 22:34:36,43.451585000,-80.516819000,333.6,14.2,4.21,338.0,0.3,0.158,31.65,,,,,
T,2012-08-20 22:34:51,43.451849000,-80.516922000,334.1,7.3,8.20,344.2,1.6,0.188,30.49,,,,,
T,2012-08-20 22:35:24,43.451831000,-80.517033000,334.3,1.0,59.75,257.4,2.2,0.198,9.20,,,,,
T,2012-08-20 22:35:27,43.451817000,-80.517205000,334.9,16.8,3.57,263.6,4.3,0.212,14.01,,,,,
T,2012-08-20 22:35:30,43.451776000,-80.517377000,335.7,17.6,3.41,251.8,5.5,0.226,14.65,,,,,
T,2012-08-20 22:35:33,43.451715000,-80.517563000,336.4,19.8,3.03,245.7,4.2,0.243,16.51,,,,,
T,2012-08-20 22:35:36,43.451658000,-80.517738000,337.1,18.6,3.22,245.8,4.5,0.258,15.52,,,,,
T,2012-08-20 22:35:39,43.451576000,-80.517961000,338.0,24.3,2.47,243.1,4.5,0.279,20.22,,,,,
T,2012-08-20 22:35:42,43.451487000,-80.518200000,338.7,26.1,2.30,242.8,3.2,0.300,21.73,,,,,
T,2012-08-20 22:35:45,43.451382000,-80.518443000,339.6,27.4,2.19,239.2,3.9,0.323,22.87,,,,,
T,2012-08-20 22:35:48,43.451292000,-80.518683000,340.7,26.2,2.29,242.7,5.0,0.345,21.85,,,,,
