type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-09-29 13:17:53,43.475243000,-80.448876000,302.1,,,,,0.000,,,,,2012-09-29,
T,2012-09-29 13:18:12,43.475246000,-80.448763000,302.4,1.7,34.61,87.9,3.3,0.009,9.15,,,,,
T,2012-09-29 13:18:15,43.475291000,-80.448721000,302.4,7.3,8.27,34.1,0.0,0.015,6.05,,,,,
T,2012-09-29 13:18:19,43.475322000,-80.448705000,302.3,3.3,18.12,20.5,-2.7,0.019,3.68,,,,,
T,2012-09-29 13:18:28,43.475305000,-80.448752000,302.3,1.7,35.33,243.5,0.0,0.023,4.25,,,,,
T,2012-09-29 13:18:39,43.475262000,-80.448768000,302.3,1.6,37.04,195.1,0.0,0.028,4.95,,,,,
T,2012-09-29 13:18:47,43.475217000,-80.448813000,302.3,2.8,21.56,216.0,0.0,0.034,6.18,,,,,
T,2012-09-29 13:18:58,43.475177000,-80.448833000,302.4,1.5,38.76,199.9,2.1,0.039,4.73,,,,,
T,2012-09-29 13:19:11,43.475154000,-80.448810000,302.5,0.9,68.54,144.0,3.2,0.042,3.16,,,,,
T,2012-09-29 13:19:19,43.475201000,-80.448731000,302.6,3.7,16.15,50.7,1.2,0.050,8.25,,,,,
T,2012-09-29 13:19:26,43.475212000,-80.448655000,302.8,3.2,18.61,78.7,3.2,0.057,6.27,,,,,
T,2012-09-29 13:19:37,43.475208000,-80.448585000,303.0,1.9,32.27,94.5,3.5,0.062,5.68,,,,,
T,2012-09-29 13:19:43,43.475200000,-80.448546000,303.1,2.0,30.50,105.8,3.1,0.066,3.28,,,,,
T,2012-09-29 13:19:52,43.475188000,-80.448493000,303.3,1.8,33.40,107.3,4.5,0.070,4.49,,,,,
T,2012-09-29 13:19:58,43.475171000,-80.448455000,303.5,2.2,27.71,121.7,5.5,0.074,3.61,,,,,
T,2012-09-29 16:48:35,43.474969000,-80.448277000,304.8,0.0,7823.26,147.4,4.9,0.100,26.67,,,,,

