type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-08-05 17:24:57,43.450358000,-80.516972000,295.4,,,,,0.000,,96,38,22,"05/08/2013 Kitchener, ON, Canada",
T,2013-08-05 17:25:00,43.450440000,-80.517030000,295.4,12.3,4.88,332.8,0.0,0.010,10.25,98,32,22,,
T,2013-08-05 17:25:02,43.450517000,-80.517015000,295.4,15.6,3.86,8.1,0.0,0.019,8.64,99,74,22,,
T,2013-08-05 17:25:06,43.450766000,-80.516693000,295.4,34.2,1.75,43.2,0.0,0.057,38.01,99,81,22,,
T,2013-08-05 17:25:09,43.450893000,-80.516520000,295.4,23.9,2.52,44.7,0.0,0.077,19.88,96,0,22,,
T,2013-08-05 17:25:10,43.450927000,-80.516480000,295.4,17.9,3.35,40.5,0.0,0.082,4.98,95,0,22,,
T,2013-08-05 17:25:11,43.450948000,-80.516467000,293.4,9.2,6.51,24.2,-78.1,0.084,2.56,94,0,22,,
T,2013-08-05 17:25:12,43.450967000,-80.516464000,293.4,7.6,7.84,6.5,0.0,0.086,2.12,93,0,22,,
T,2013-08-05 17:25:13,43.450976000,-80.516467000,293.4,3.7,16.20,346.4,0.0,0.087,1.03,92,0,22,,
T,2013-08-05 17:25:15,43.451022000,-80.516476000,293.4,9.3,6.46,351.9,0.0,0.093,5.16,93,14,22,,
T,2013-08-05 17:25:17,43.451086000,-80.516477000,293.4,12.8,4.69,359.4,0.0,0.100,7.11,95,38,22,,
T,2013-08-05 17:25:19,43.451134000,-80.516510000,293.4,10.7,5.59,333.5,0.0,0.106,5.96,98,44,22,,
T,2013-08-05 17:25:20,43.451166000,-80.516527000,293.4,13.7,4.37,338.9,0.0,0.110,3.81,102,48,23,,
T,2013-08-05 17:25:21,43.451193000,-80.516541000,293.4,11.5,5.20,339.4,0.0,0.113,3.21,102,53,22,,
T,2013-08-05 17:25:22,43.451224000,-80.516556000,293.4,13.1,4.56,340.6,0.0,0.116,3.65,105,56,22,,
T,2013-08-05 17:25:23,43.451256000,-80.516579000,293.4,14.4,4.15,332.4,0.0,0.120,4.01,106,58,23,,
T,2013-08-05 17:25:25,43.451323000,-80.516626000,293.4,15.0,3.99,333.0,0.0,0.129,8.36,110,61,23,,
T,2013-08-05 17:25:28,43.451422000,-80.516690000,293.4,14.6,4.11,334.9,0.0,0.141,12.16,113,66,23,,
T,2013-08-05 17:25:31,43.451516000,-80.516726000,293.4,13.0,4.61,344.5,0.0,0.152,10.84,112,64,23,,
T,2013-08-05 17:25:34,43.451604000,-80.516761000,293.4,12.2,4.91,343.9,0.0,0.162,10.18,111,64,23,,
T,2013-08-05 17:25:37,43.451628000,-80.516801000,293.4,5.0,11.92,309.6,0.0,0.166,4.19,108,0,23,,
T,2013-08-05 17:25:38,43.451634000,-80.516810000,293.4,3.6,16.88,312.6,0.0,0.167,0.99,107,0,23,,
T,2013-08-05 17:25:42,43.451845000,-80.516848000,293.4,21.3,2.82,352.6,0.0,0.191,23.64,108,55,23,,
T,2013-08-05 17:25:44,43.451907000,-80.516906000,293.8,15.0,4.00,325.8,4.8,0.199,8.34,109,67,23,,
T,2013-08-05 17:25:45,43.451940000,-80.516935000,294.2,15.7,3.83,327.5,9.2,0.203,4.35,110,70,23,,
T,2013-08-05 17:25:46,43.451979000,-80.516964000,294.6,17.7,3.38,331.6,8.1,0.208,4.93,111,62,23,,
T,2013-08-05 17:25:47,43.452025000,-80.516994000,295.0,20.4,2.95,334.7,7.1,0.214,5.66,112,62,23,,
