type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2014-05-13 21:15:13,43.450278000,-80.516821000,338.5,,,,,0.000,,,,,Afternoon Run,
T,2014-05-13 21:15:14,43.450363000,-80.516829000,338.6,34.1,1.76,356.1,1.1,0.009,9.47,,,,,
T,2014-05-13 21:15:16,43.450421000,-80.516814000,338.6,11.8,5.08,10.6,0.0,0.016,6.56,,,,,
T,2014-05-13 21:15:18,43.450463000,-80.516800000,338.4,8.6,6.94,13.6,-4.2,0.021,4.80,,,,,
T,2014-05-13 21:15:20,43.450503000,-80.516802000,338.1,8.0,7.50,357.9,-6.7,0.025,4.45,,,,,
T,2014-05-13 21:15:27,43.450540000,-80.516768000,337.8,2.5,23.58,33.7,-6.1,0.030,4.95,,,,,
T,2014-05-13 21:15:29,43.450565000,-80.516724000,337.7,8.1,7.38,52.0,-2.2,0.035,4.52,,,,,
T,2014-05-13 21:15:30,43.450598000,-80.516733000,337.5,13.5,4.46,348.8,-5.4,0.038,3.74,,,,,
T,2014-05-13 21:15:32,43.450649000,-80.516710000,337.1,10.7,5.59,18.1,-6.7,0.044,5.96,,,,,
T,2014-05-13 21:15:34,43.450677000,-80.516721000,337.0,5.8,10.30,344.1,-3.1,0.048,3.24,,,,,
T,2014-05-13 21:15:36,43.450707000,-80.516699000,336.8,6.8,8.82,28.0,-5.3,0.051,3.78,,,,,
T,2014-05-13 21:15:38,43.450735000,-80.516680000,336.6,6.2,9.61,26.2,-5.8,0.055,3.47,,,,,
T,2014-05-13 21:15:40,43.450764000,-80.516664000,336.4,6.3,9.60,21.8,-5.8,0.058,3.47,,,,,
T,2014-05-13 21:15:42,43.450790000,-80.516644000,336.3,6.0,10.07,29.2,-3.0,0.062,3.31,,,,,
T,2014-05-13 21:15:44,43.450818000,-80.516637000,336.1,5.7,10.54,10.3,-6.3,0.065,3.16,,,,,
T,2014-05-13 21:15:46,43.450846000,-80.516628000,335.9,5.8,10.43,13.1,-6.3,0.068,3.19,,,,,
T,2014-05-13 21:15:48,43.450881000,-80.516625000,335.7,7.0,8.56,3.6,-5.1,0.072,3.90,,,,,
T,2014-05-13 21:15:50,43.450915000,-80.516629000,335.5,6.8,8.79,355.1,-5.3,0.076,3.79,,,,,
T,2014-05-13 21:15:52,43.450949000,-80.516628000,335.3,6.8,8.82,1.2,-5.3,0.080,3.78,,,,,
T,2014-05-13 21:15:54,43.450985000,-80.516622000,335.1,7.3,8.27,6.9,-5.0,0.084,4.03,,,,,
T,2014-05-13 21:15:56,43.451020000,-80.516616000,334.9,7.1,8.51,7.1,-5.1,0.087,3.92,,,,,
T,2014-05-13 21:15:58,43.451062000,-80.516614000,334.7,8.4,7.14,2.0,-4.3,0.092,4.67,,,,,
T,2014-05-13 21:16:00,43.451091000,-80.516621000,334.5,5.9,10.19,350.1,-6.1,0.095,3.27,,,,,
T,2014-05-13 21:16:03,43.451119000,-80.516652000,334.3,4.8,12.51,321.2,-5.0,0.099,4.00,,,,,
T,2014-05-13 21:16:06,43.451141000,-80.516689000,334.1,4.6,12.93,309.3,-5.2,0.103,3.87,,,,,
T,2014-05-13 21:16:09,43.451169000,-80.516719000,333.9,4.7,12.67,322.1,-5.1,0.107,3.95,,,,,
T,2014-05-13 21:16:12,43.451200000,-80.516744000,333.7,4.8,12.52,329.7,-5.0,0.111,3.99,,,,,
T,2014-05-13 21:16:15,43.451234000,-80.516753000,333.5,4.6,13.00,349.1,-5.2,0.115,3.85,,,,,
T,2014-05-13 21:16:18,43.451264000,-80.516769000,333.4,4.3,13.98,338.8,-2.8,0.119,3.58,,,,,
T,2014-05-13 21:16:21,43.451300000,-80.516790000,333.4,5.2,11.51,337.0,0.0,0.123,4.35,,,,,
T,2014-05-13 21:16:23,43.451331000,-80.516801000,333.4,6.4,9.37,345.6,0.0,0.127,3.56,,,,,
T,2014-05-13 21:16:25,43.451357000,-80.516814000,333.4,5.5,10.84,340.1,0.0,0.130,3.07,,,,,
T,2014-05-13 21:16:28,43.451382000,-80.516840000,333.4,4.2,14.35,322.9,0.0,0.133,3.48,,,,,
T,2014-05-13 21:16:38,43.451420000,-80.516871000,333.5,1.8,33.94,329.4,2.0,0.138,4.91,,,,,
T,2014-05-13 21:16:40,43.451459000,-80.516891000,333.5,8.3,7.21,339.6,0.0,0.143,4.63,,,,,
T,2014-05-13 21:16:42,43.451483000,-80.516915000,333.5,5.9,10.10,324.0,0.0,0.146,3.30,,,,,
T,2014-05-13 21:16:44,43.451509000,-80.516940000,333.6,6.3,9.45,325.1,2.8,0.149,3.53,,,,,
T,2014-05-13 21:16:46,43.451540000,-80.516965000,333.6,7.2,8.34,329.7,0.0,0.153,3.99,,,,,
T,2014-05-13 21:16:48,43.451571000,-80.516992000,333.7,7.3,8.17,327.7,2.5,0.158,4.08,,,,,
