type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-07-21 20:23:42,43.454121000,-80.518359000,320.6,,,,,0.000,,129,98,28,"21/07/2013 Kitchener, ON, Canada",
T,2013-07-21 20:23:43,43.454121000,-80.518359000,320.6,0.0,,,,0.000,0.00,129,62,28,,
T,2013-07-21 20:23:54,43.454121000,-80.518359000,320.6,0.0,,,,0.000,0.00,128,100,28,,
T,2013-07-21 20:23:55,43.454121000,-80.518359000,320.4,0.0,,,,0.000,0.00,128,95,28,,
T,2013-07-21 20:24:04,43.454121000,-80.518359000,320.4,0.0,,,,0.000,0.00,129,98,28,,
T,2013-07-21 20:24:13,43.454121000,-80.518359000,320.4,0.0,,,,0.000,0.00,130,98,29,,
T,2013-07-21 20:24:20,43.454522000,-80.518645000,320.4,25.8,2.32,332.6,0.0,0.050,50.21,126,0,29,,
T,2013-07-21 20:24:22,43.454631000,-80.518735000,320.4,25.4,2.36,329.1,0.0,0.064,14.13,122,0,29,,
T,2013-07-21 20:24:24,43.454740000,-80.518815000,320.4,24.7,2.43,332.0,0.0,0.078,13.73,118,0,29,,
T,2013-07-21 20:24:26,43.454826000,-80.518867000,320.4,18.8,3.19,336.3,0.0,0.089,10.44,117,0,29,,
T,2013-07-21 20:24:28,43.454901000,-80.518921000,320.4,16.9,3.54,332.4,0.0,0.098,9.41,114,0,29,,
T,2013-07-21 20:24:29,43.454931000,-80.518946000,320.0,14.0,4.27,328.8,-10.3,0.102,3.90,113,0,29,,
T,2013-07-21 20:24:30,43.454950000,-80.518958000,319.6,8.4,7.17,335.4,-17.2,0.104,2.32,112,0,29,,
T,2013-07-21 20:24:31,43.454964000,-80.518967000,319.2,6.2,9.70,335.0,-23.3,0.106,1.72,111,0,29,,
T,2013-07-21 20:24:32,43.454975000,-80.518971000,318.8,4.6,13.18,345.2,-31.6,0.107,1.26,109,0,29,,
T,2013-07-21 20:24:33,43.454986000,-80.518977000,318.4,4.7,12.67,338.4,-30.4,0.108,1.32,107,0,29,,
T,2013-07-21 20:24:36,43.455002000,-80.518992000,318.4,2.6,23.23,325.8,0.0,0.111,2.15,104,0,29,,
T,2013-07-21 20:24:38,43.455007000,-80.518999000,318.4,1.4,42.01,314.5,0.0,0.111,0.79,101,61,29,,
T,2013-07-21 20:24:40,43.455008000,-80.519000000,318.4,0.2,242.50,324.0,0.0,0.112,0.14,99,61,29,,
T,2013-07-21 20:24:43,43.455008000,-80.519000000,318.4,0.0,,324.0,,0.112,0.00,101,0,29,,
T,2013-07-21 20:24:58,43.455011000,-80.519003000,318.4,0.1,606.25,324.0,0.0,0.112,0.41,101,0,29,,
T,2013-07-21 20:25:01,43.455044000,-80.519060000,318.4,7.1,8.48,308.6,0.0,0.118,5.89,102,56,29,,
T,2013-07-21 20:25:02,43.455089000,-80.519106000,318.4,22.4,2.67,323.4,0.0,0.124,6.23,105,62,29,,
T,2013-07-21 20:25:05,43.455155000,-80.519303000,318.4,21.1,2.85,294.8,0.0,0.142,17.55,108,77,29,,
T,2013-07-21 20:25:06,43.455152000,-80.519370000,318.4,19.6,3.07,266.5,0.0,0.147,5.43,109,83,29,,
T,2013-07-21 20:25:08,43.455117000,-80.519495000,318.4,19.5,3.08,248.9,0.0,0.158,10.84,110,91,29,,
T,2013-07-21 20:25:11,43.455070000,-80.519656000,318.4,16.8,3.56,248.1,0.0,0.172,14.04,111,98,29,,
T,2013-07-21 20:25:13,43.455028000,-80.519780000,318.4,19.9,3.01,245.0,0.0,0.183,11.07,114,100,29,,
T,2013-07-21 20:25:16,43.454957000,-80.519982000,318.4,21.8,2.75,244.2,0.0,0.201,18.15,117,102,29,,
T,2013-07-21 20:25:17,43.454931000,-80.520052000,318.4,22.9,2.62,242.9,0.0,0.208,6.36,118,102,29,,
T,2013-07-21 20:25:20,43.454861000,-80.520265000,318.4,22.7,2.64,245.6,0.0,0.226,18.91,121,101,29,,
T,2013-07-21 20:25:26,43.454707000,-80.520691000,318.4,23.1,2.60,243.5,0.0,0.265,38.49,124,97,29,,
T,2013-07-21 20:25:31,43.454581000,-80.521056000,318.4,23.5,2.55,244.6,0.0,0.298,32.69,127,99,29,,
T,2013-07-21 20:25:34,43.454510000,-80.521276000,318.4,23.4,2.57,246.0,0.0,0.317,19.48,127,98,29,,
T,2013-07-21 20:25:43,43.454291000,-80.521892000,318.8,22.2,2.70,243.9,0.7,0.373,55.48,128,96,29,,
T,2013-07-21 20:25:44,43.454258000,-80.521943000,319.2,19.9,3.02,228.3,7.2,0.378,5.52,129,97,29,,
T,2013-07-21 20:25:45,43.454221000,-80.522001000,319.6,22.5,2.67,228.7,6.4,0.384,6.24,129,100,29,,
T,2013-07-21 20:25:46,43.454182000,-80.522060000,320.0,23.2,2.58,227.7,6.2,0.391,6.45,130,99,29,,
