type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-05-31 21:19:22,43.450762000,-80.516913000,336.2,,,,,0.000,,124,0,26,"31/05/2013 Kitchener, ON, Canada: wet",
T,2013-05-31 21:19:23,43.450744000,-80.516985000,336.2,22.2,2.71,251.0,0.0,0.006,6.16,124,0,26,,
T,2013-05-31 21:19:26,43.450899000,-80.516894000,336.2,22.5,2.67,23.1,0.0,0.025,18.73,124,33,26,,
T,2013-05-31 21:19:31,43.451054000,-80.517024000,336.2,14.5,4.13,328.7,0.0,0.045,20.18,123,26,26,,
T,2013-05-31 21:19:35,43.451054000,-80.517024000,334.0,0.0,,328.7,,0.045,0.00,121,167,26,,
T,2013-05-31 21:19:37,43.451375000,-80.516592000,334.0,89.9,0.67,44.3,0.0,0.095,49.95,120,41,26,,
T,2013-05-31 21:19:38,43.451416000,-80.516538000,334.0,22.7,2.64,43.7,0.0,0.101,6.31,119,0,26,,
T,2013-05-31 21:19:40,43.451471000,-80.516486000,334.0,13.4,4.49,34.5,0.0,0.109,7.42,118,0,26,,
T,2013-05-31 21:19:42,43.451518000,-80.516490000,334.0,9.4,6.37,356.5,0.0,0.114,5.23,117,92,26,,
T,2013-05-31 21:19:43,43.451557000,-80.516495000,334.0,15.7,3.83,354.7,0.0,0.118,4.35,118,95,26,,
T,2013-05-31 21:19:46,43.451660000,-80.516570000,334.0,15.5,3.86,332.1,0.0,0.131,12.95,121,95,26,,
T,2013-05-31 21:19:48,43.451733000,-80.516622000,334.0,16.4,3.65,332.7,0.0,0.140,9.14,124,97,26,,
T,2013-05-31 21:19:50,43.451604000,-80.516679000,334.0,27.1,2.21,197.8,0.0,0.155,15.06,127,98,26,,
T,2013-05-31 21:19:53,43.451688000,-80.516753000,334.0,13.3,4.51,327.4,0.0,0.167,11.09,130,96,26,,
T,2013-05-31 21:19:54,43.451728000,-80.516775000,334.0,17.2,3.48,338.2,0.0,0.171,4.79,131,97,26,,
T,2013-05-31 21:19:56,43.451804000,-80.516833000,334.0,17.4,3.45,331.0,0.0,0.181,9.66,132,96,26,,
T,2013-05-31 21:19:58,43.451893000,-80.516837000,334.0,17.8,3.37,358.1,0.0,0.191,9.89,132,42,26,,
T,2013-05-31 21:19:59,43.451931000,-80.516772000,334.0,24.3,2.47,51.2,0.0,0.198,6.75,132,42,26,,
T,2013-05-31 21:20:02,43.451992000,-80.516540000,334.0,24.0,2.50,70.1,0.0,0.218,19.96,131,42,26,,
T,2013-05-31 21:20:07,43.452189000,-80.516150000,334.0,27.7,2.17,55.2,0.0,0.256,38.41,130,0,26,,
T,2013-05-31 21:20:08,43.452252000,-80.516130000,334.0,25.9,2.32,13.0,0.0,0.263,7.18,128,23,26,,
T,2013-05-31 21:20:09,43.452298000,-80.516149000,333.6,19.2,3.12,343.3,-7.5,0.269,5.34,128,68,26,,
T,2013-05-31 21:20:10,43.452340000,-80.516175000,333.2,18.4,3.26,335.8,-7.8,0.274,5.12,127,94,26,,
T,2013-05-31 21:20:11,43.452377000,-80.516214000,332.8,18.7,3.22,322.6,-7.7,0.279,5.18,127,95,26,,
T,2013-05-31 21:20:12,43.452432000,-80.516249000,332.4,24.2,2.47,335.2,-5.9,0.286,6.74,127,97,26,,
T,2013-05-31 21:20:13,43.452488000,-80.516275000,331.8,23.6,2.54,341.4,-9.1,0.292,6.57,127,104,26,,
T,2013-05-31 21:20:16,43.452653000,-80.516378000,331.8,24.2,2.48,335.6,0.0,0.312,20.14,130,101,26,,
T,2013-05-31 21:20:18,43.452742000,-80.516436000,331.8,19.7,3.05,334.7,0.0,0.323,10.95,132,98,26,,
T,2013-05-31 21:20:21,43.452893000,-80.516557000,331.8,23.3,2.57,329.8,0.0,0.343,19.43,134,89,26,,
T,2013-05-31 21:20:23,43.452999000,-80.516632000,331.8,23.8,2.52,332.8,0.0,0.356,13.25,135,92,26,,
T,2013-05-31 21:20:27,43.453225000,-80.516783000,331.8,25.1,2.39,334.1,0.0,0.384,27.93,136,99,26,,
T,2013-05-31 21:20:28,43.453292000,-80.516811000,331.8,28.0,2.14,343.1,0.0,0.392,7.78,137,100,26,,
T,2013-05-31 21:20:34,43.453651000,-80.517062000,331.8,26.9,2.23,333.1,0.0,0.436,44.76,140,95,27,,
T,2013-05-31 21:20:41,43.454072000,-80.517345000,331.8,26.8,2.24,334.0,0.0,0.488,52.08,141,0,27,,
T,2013-05-31 21:20:48,43.454465000,-80.517583000,331.8,24.5,2.44,336.3,0.0,0.536,47.72,139,88,27,,
T,2013-05-31 21:20:57,43.455021000,-80.517946000,331.8,27.4,2.19,334.6,0.0,0.605,68.40,140,70,27,,
T,2013-05-31 21:21:03,43.455342000,-80.518183000,331.8,24.3,2.47,331.8,0.0,0.645,40.49,137,0,27,,
T,2013-05-31 21:21:04,43.455396000,-80.518192000,331.8,21.8,2.76,353.1,0.0,0.651,6.04,136,0,27,,
T,2013-05-31 21:21:05,43.455431000,-80.518201000,331.8,14.2,4.21,349.4,0.0,0.655,3.96,134,0,27,,
T,2013-05-31 21:21:07,43.455492000,-80.518219000,331.8,12.5,4.81,347.9,0.0,0.662,6.93,131,0,27,,
T,2013-05-31 21:21:08,43.455501000,-80.518175000,331.8,13.3,4.51,74.3,0.0,0.666,3.70,130,0,27,,
T,2013-05-31 21:21:09,43.455512000,-80.518152000,331.8,8.0,7.48,56.6,0.0,0.668,2.23,129,0,27,,
T,2013-05-31 21:21:10,43.455518000,-80.518139000,332.2,4.5,13.38,57.6,32.1,0.669,1.25,128,0,27,,
T,2013-05-31 21:21:11,43.455529000,-80.518133000,332.8,4.7,12.67,21.6,45.6,0.671,1.32,128,0,27,,
T,2013-05-31 21:21:12,43.455535000,-80.518131000,333.2,2.5,24.30,13.6,58.3,0.671,0.69,127,0,27,,
T,2013-05-31 21:21:13,43.455539000,-80.518130000,333.6,1.6,36.90,10.3,88.6,0.672,0.45,127,0,27,,
T,2013-05-31 21:21:14,43.455547000,-80.518135000,334.0,3.5,17.07,335.6,41.0,0.673,0.98,126,0,27,,
T,2013-05-31 21:21:23,43.455545000,-80.518138000,334.0,0.1,455.74,227.4,0.0,0.673,0.33,125,0,27,,
T,2013-05-31 21:21:28,43.455546000,-80.518136000,334.0,0.1,424.45,55.4,0.0,0.673,0.20,122,0,27,,
T,2013-05-31 21:21:30,43.455545000,-80.518136000,334.0,0.2,300.03,180.0,0.0,0.673,0.11,118,0,27,,
T,2013-05-31 21:21:32,43.455546000,-80.518136000,334.0,0.2,300.03,0.0,0.0,0.673,0.11,114,0,27,,
T,2013-05-31 21:21:35,43.455578000,-80.518163000,334.0,5.0,11.98,328.5,0.0,0.678,4.17,113,0,27,,
T,2013-05-31 21:21:37,43.455587000,-80.518215000,334.0,7.8,7.71,283.4,0.0,0.682,4.33,116,0,27,,
T,2013-05-31 21:21:40,43.455564000,-80.518326000,334.0,11.2,5.35,254.1,0.0,0.691,9.34,120,52,27,,
T,2013-05-31 21:21:41,43.455556000,-80.518367000,334.0,12.4,4.85,255.0,0.0,0.695,3.44,121,57,27,,
T,2013-05-31 21:21:43,43.455515000,-80.518469000,334.0,17.0,3.54,241.0,0.0,0.704,9.43,124,52,27,,
T,2013-05-31 21:21:45,43.455478000,-80.518600000,334.0,20.5,2.93,248.7,0.0,0.715,11.37,127,99,27,,
T,2013-05-31 21:21:46,43.455457000,-80.518666000,334.0,21.0,2.86,246.3,0.0,0.721,5.83,128,97,27,,
T,2013-05-31 21:21:49,43.455398000,-80.518862000,334.0,20.6,2.91,247.5,0.0,0.738,17.16,131,101,27,,
T,2013-05-31 21:21:52,43.455335000,-80.519076000,334.0,22.4,2.68,247.9,0.0,0.757,18.68,134,107,27,,
T,2013-05-31 21:21:53,43.455317000,-80.519142000,334.0,20.5,2.92,249.4,0.0,0.763,5.70,134,100,27,,
T,2013-05-31 21:21:57,43.455215000,-80.519463000,334.0,25.5,2.35,246.4,0.0,0.791,28.34,137,103,27,,
T,2013-05-31 21:21:58,43.455183000,-80.519537000,334.0,25.1,2.39,239.2,0.0,0.798,6.97,138,103,27,,
T,2013-05-31 21:22:03,43.455037000,-80.519912000,334.0,24.8,2.42,241.8,0.0,0.833,34.41,141,102,27,,
T,2013-05-31 21:22:04,43.455004000,-80.520002000,334.0,29.4,2.04,243.2,0.0,0.841,8.15,141,102,27,,
T,2013-05-31 21:22:08,43.454883000,-80.520345000,334.0,27.8,2.16,244.1,0.0,0.872,30.84,144,104,27,,
T,2013-05-31 21:22:09,43.454852000,-80.520428000,334.0,27.2,2.21,242.8,0.0,0.879,7.55,144,104,27,,
T,2013-05-31 21:22:11,43.454794000,-80.520601000,334.0,27.7,2.16,245.2,0.0,0.895,15.41,145,105,27,,
T,2013-05-31 21:22:14,43.454699000,-80.520849000,334.0,27.2,2.20,242.2,0.0,0.917,22.68,147,105,27,,
T,2013-05-31 21:22:16,43.454644000,-80.521007000,334.0,25.5,2.35,244.4,0.0,0.931,14.17,147,104,27,,
T,2013-05-31 21:22:19,43.454562000,-80.521248000,334.0,25.8,2.32,244.9,0.0,0.953,21.53,149,101,27,,
T,2013-05-31 21:22:25,43.454382000,-80.521712000,334.0,25.5,2.35,241.9,0.0,0.995,42.55,152,99,27,,
T,2013-05-31 21:22:26,43.454345000,-80.521792000,334.0,27.6,2.17,237.5,0.0,1.003,7.67,152,96,27,,
T,2013-05-31 21:22:32,43.454106000,-80.522186000,334.0,24.9,2.41,230.1,0.0,1.045,41.50,153,64,27,,
T,2013-05-31 21:22:33,43.454048000,-80.522235000,334.0,27.2,2.20,211.5,0.0,1.052,7.57,153,95,27,,
T,2013-05-31 21:22:34,43.453995000,-80.522287000,334.4,26.1,2.30,215.5,5.5,1.059,7.24,153,95,27,,
T,2013-05-31 21:22:35,43.453942000,-80.522347000,334.8,27.5,2.18,219.4,5.2,1.067,7.63,153,94,27,,
T,2013-05-31 21:22:36,43.453890000,-80.522403000,335.2,26.4,2.27,218.0,5.4,1.074,7.34,153,100,27,,
T,2013-05-31 21:22:37,43.453838000,-80.522459000,335.6,26.4,2.27,218.0,5.4,1.082,7.34,153,103,27,,
T,2013-05-31 21:22:38,43.453779000,-80.522496000,336.0,25.9,2.31,204.5,5.6,1.089,7.21,153,101,27,,
T,2013-05-31 21:22:42,43.453576000,-80.522643000,336.0,22.9,2.61,207.7,0.0,1.114,25.50,154,96,27,,
T,2013-05-31 21:22:47,43.453318000,-80.522789000,336.0,22.3,2.69,202.3,0.0,1.145,31.00,155,75,27,,
T,2013-05-31 21:22:49,43.453216000,-80.522842000,336.0,21.8,2.75,200.7,0.0,1.158,12.12,156,95,27,,
T,2013-05-31 21:22:56,43.452872000,-80.523054000,336.0,21.5,2.78,204.1,0.0,1.199,41.89,157,99,27,,
T,2013-05-31 21:22:57,43.452826000,-80.523096000,336.4,22.1,2.72,213.5,6.5,1.206,6.14,157,99,27,,
T,2013-05-31 21:22:58,43.452788000,-80.523156000,336.8,23.2,2.59,228.9,6.2,1.212,6.43,157,99,27,,
T,2013-05-31 21:22:59,43.452748000,-80.523204000,337.2,21.3,2.82,221.1,6.8,1.218,5.90,157,98,27,,
T,2013-05-31 21:23:00,43.452707000,-80.523259000,337.6,22.9,2.62,224.2,6.3,1.224,6.37,158,98,27,,
T,2013-05-31 21:23:01,43.452668000,-80.523327000,338.0,25.2,2.38,231.7,5.7,1.231,7.00,158,98,27,,
T,2013-05-31 21:23:08,43.452525000,-80.523824000,338.0,22.2,2.70,248.4,0.0,1.275,43.25,158,96,27,,
T,2013-05-31 21:23:15,43.452452000,-80.524341000,338.0,21.9,2.74,259.0,0.0,1.317,42.62,158,98,28,,
