type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-07-12 13:19:50,43.452621000,-80.517263000,270.0,,,,,0.000,,127,72,24,"12/07/2013 Kitchener, ON, Canada",
T,2013-07-12 13:19:55,43.452887000,-80.517466000,270.0,24.3,2.46,331.0,0.0,0.034,33.81,129,104,24,,
T,2013-07-12 13:20:01,43.453189000,-80.517716000,270.0,23.5,2.55,329.0,0.0,0.073,39.18,129,108,24,,
T,2013-07-12 13:20:02,43.453239000,-80.517771000,270.0,25.6,2.34,321.4,0.0,0.080,7.12,129,109,24,,
T,2013-07-12 13:20:04,43.453347000,-80.517874000,270.0,26.3,2.28,325.3,0.0,0.095,14.61,130,110,24,,
T,2013-07-12 13:20:06,43.453438000,-80.517966000,270.0,22.6,2.65,323.7,0.0,0.107,12.56,132,0,24,,
T,2013-07-12 13:20:08,43.453426000,-80.518084000,270.0,17.4,3.46,262.0,0.0,0.117,9.64,133,0,24,,
T,2013-07-12 13:20:11,43.453420000,-80.518163000,270.0,7.7,7.78,264.0,0.0,0.123,6.43,131,0,24,,
T,2013-07-12 13:20:14,43.453412000,-80.518188000,270.0,2.7,22.62,246.2,0.0,0.126,2.21,128,25,24,,
T,2013-07-12 13:20:21,43.453412000,-80.518192000,270.0,0.2,360.36,270.0,0.0,0.126,0.32,126,0,24,,
T,2013-07-12 13:22:15,43.453418000,-80.518187000,270.0,0.0,2436.41,31.2,0.0,0.127,0.78,93,0,24,,
T,2013-07-12 13:22:16,43.453418000,-80.518187000,270.0,0.0,,31.2,,0.127,0.00,95,0,24,,
T,2013-07-12 13:22:17,43.453418000,-80.518187000,270.0,0.0,,31.2,,0.127,0.00,95,0,24,,
T,2013-07-12 13:22:22,43.453422000,-80.518189000,270.0,0.3,176.19,340.1,0.0,0.127,0.47,95,0,25,,
T,2013-07-12 13:22:30,43.453528000,-80.518273000,270.0,6.1,9.81,330.1,0.0,0.141,13.60,98,0,25,,
T,2013-07-12 13:22:31,43.453557000,-80.518290000,270.0,12.6,4.76,336.9,0.0,0.144,3.50,98,0,25,,
T,2013-07-12 13:22:37,43.453710000,-80.518264000,270.0,10.3,5.84,7.0,0.0,0.161,17.13,96,42,25,,
T,2013-07-12 13:22:40,43.453739000,-80.518260000,270.0,3.9,15.44,5.7,0.0,0.165,3.24,96,0,25,,
T,2013-07-12 13:23:08,43.453775000,-80.518226000,270.0,0.6,96.12,34.4,0.0,0.169,4.85,96,0,25,,
T,2013-07-12 13:23:11,43.453852000,-80.518217000,270.0,10.3,5.82,4.8,0.0,0.178,8.59,100,0,25,,
T,2013-07-12 13:23:13,43.453925000,-80.518233000,270.0,14.8,4.06,351.0,0.0,0.186,8.21,104,60,25,,
T,2013-07-12 13:23:15,43.454004000,-80.518271000,270.0,16.7,3.58,340.8,0.0,0.196,9.30,107,63,25,,
T,2013-07-12 13:23:17,43.454098000,-80.518326000,270.0,20.4,2.94,337.0,0.0,0.207,11.35,111,75,25,,
T,2013-07-12 13:23:18,43.454147000,-80.518355000,270.0,21.3,2.81,336.8,0.0,0.213,5.93,112,78,25,,
T,2013-07-12 13:23:22,43.454355000,-80.518493000,269.6,23.1,2.60,334.3,-1.6,0.239,25.67,114,92,25,,
T,2013-07-12 13:23:23,43.454413000,-80.518531000,269.0,25.7,2.33,334.6,-8.4,0.246,7.14,114,97,25,,
T,2013-07-12 13:23:24,43.454469000,-80.518568000,268.6,24.9,2.41,334.4,-5.8,0.253,6.90,115,94,25,,
T,2013-07-12 13:23:25,43.454527000,-80.518607000,268.2,25.8,2.32,334.0,-5.6,0.260,7.18,115,95,25,,
T,2013-07-12 13:23:26,43.454586000,-80.518646000,267.8,26.2,2.29,334.4,-5.5,0.267,7.28,116,95,25,,
T,2013-07-12 13:23:34,43.455015000,-80.518925000,267.8,23.7,2.53,334.7,0.0,0.320,52.74,110,0,25,,
T,2013-07-12 13:23:36,43.455064000,-80.518966000,267.8,11.5,5.23,328.7,0.0,0.326,6.38,105,0,25,,
T,2013-07-12 13:23:37,43.455075000,-80.518978000,267.8,5.6,10.68,321.6,0.0,0.328,1.56,104,0,25,,
T,2013-07-12 13:23:38,43.455080000,-80.518986000,267.8,3.1,19.54,310.7,0.0,0.329,0.85,103,0,25,,
T,2013-07-12 13:23:42,43.455077000,-80.518995000,267.8,0.7,83.22,245.3,0.0,0.329,0.80,106,0,25,,
T,2013-07-12 13:23:45,43.455078000,-80.518995000,267.8,0.1,450.04,0.0,0.0,0.329,0.11,104,0,25,,
T,2013-07-12 13:23:47,43.455078000,-80.518995000,267.8,0.0,,0.0,,0.329,0.00,102,0,25,,
T,2013-07-12 13:24:25,43.455105000,-80.519050000,267.8,0.5,117.99,304.1,0.0,0.335,5.37,90,0,25,,
T,2013-07-12 13:24:26,43.455124000,-80.519082000,267.8,12.0,4.99,309.3,0.0,0.338,3.34,91,0,25,,
T,2013-07-12 13:24:27,43.455143000,-80.519119000,267.8,13.2,4.55,305.3,0.0,0.342,3.66,92,43,25,,
T,2013-07-12 13:24:29,43.455185000,-80.519216000,267.8,16.4,3.65,300.8,0.0,0.351,9.13,95,55,25,,
T,2013-07-12 13:24:30,43.455197000,-80.519269000,267.8,16.2,3.71,287.3,0.0,0.355,4.49,97,55,25,,
T,2013-07-12 13:24:31,43.455195000,-80.519325000,267.8,16.3,3.67,267.2,0.0,0.360,4.54,99,49,25,,
T,2013-07-12 13:24:33,43.455159000,-80.519445000,267.8,18.9,3.17,247.5,0.0,0.370,10.50,104,89,25,,
