type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-08-01 00:45:32,43.452039000,-80.516082000,331.9,,,,,0.000,,,,,2012-08-01,
T,2012-08-01 00:45:36,43.452040000,-80.516001000,331.8,5.9,10.17,89.0,-1.5,0.007,6.56,,,,,
T,2012-08-01 00:45:42,43.451960000,-80.515894000,331.7,7.4,8.06,135.8,-0.8,0.019,12.41,,,,,
T,2012-08-01 00:45:45,43.451882000,-80.515837000,331.6,11.8,5.09,152.1,-1.0,0.029,9.82,,,,,
T,2012-08-01 00:45:48,43.451802000,-80.515781000,331.5,12.0,5.01,153.1,-1.0,0.039,9.98,,,,,
T,2012-08-01 00:45:51,43.451720000,-80.515723000,331.4,12.3,4.88,152.8,-1.0,0.049,10.25,,,,,
T,2012-08-01 00:45:54,43.451642000,-80.515666000,331.2,11.8,5.09,152.1,-2.0,0.059,9.82,,,,,
T,2012-08-01 00:45:57,43.451566000,-80.515617000,331.1,11.2,5.36,154.9,-1.1,0.068,9.33,,,,,
T,2012-08-01 00:46:00,43.451488000,-80.515572000,330.9,11.3,5.32,157.3,-2.1,0.078,9.40,,,,,
T,2012-08-01 00:46:03,43.451414000,-80.515532000,330.7,10.6,5.66,158.6,-2.3,0.086,8.84,,,,,
T,2012-08-01 00:46:06,43.451327000,-80.515484000,330.4,12.5,4.80,158.2,-2.9,0.097,10.42,,,,,
T,2012-08-01 00:46:09,43.451251000,-80.515440000,330.1,11.0,5.46,157.2,-3.3,0.106,9.16,,,,,
T,2012-08-01 00:46:12,43.451177000,-80.515392000,330.3,10.9,5.50,154.8,2.2,0.115,9.09,,,,,
T,2012-08-01 00:46:15,43.451096000,-80.515345000,330.7,11.7,5.12,157.2,4.1,0.125,9.77,,,,,
T,2012-08-01 00:46:18,43.451018000,-80.515298000,331.0,11.4,5.28,156.4,3.2,0.134,9.46,,,,,
T,2012-08-01 00:46:21,43.450938000,-80.515251000,331.3,11.6,5.17,156.9,3.1,0.144,9.67,,,,,
T,2012-08-01 00:46:24,43.450853000,-80.515189000,331.5,12.8,4.68,152.1,1.9,0.155,10.69,,,,,
T,2012-08-01 00:46:27,43.450776000,-80.515133000,331.7,11.6,5.16,152.2,2.1,0.164,9.68,,,,,
T,2012-08-01 00:46:30,43.450699000,-80.515077000,331.8,11.6,5.16,152.2,1.0,0.174,9.68,,,,,
T,2012-08-01 00:46:33,43.450619000,-80.515028000,332.0,11.7,5.14,156.0,2.1,0.184,9.73,,,,,
T,2012-08-01 00:46:36,43.450547000,-80.514978000,332.0,10.8,5.58,153.2,0.0,0.193,8.96,,,,,
T,2012-08-01 00:46:39,43.450480000,-80.514942000,332.1,9.6,6.25,158.7,1.3,0.201,7.99,,,,,
T,2012-08-01 00:46:42,43.450415000,-80.514916000,332.2,9.0,6.65,163.8,1.3,0.208,7.52,,,,,
T,2012-08-01 00:46:45,43.450347000,-80.514890000,331.9,9.4,6.38,164.5,-3.8,0.216,7.84,,,,,
T,2012-08-01 00:46:50,43.450267000,-80.514840000,331.6,7.0,8.53,155.6,-3.1,0.226,9.77,,,,,
T,2012-08-01 00:46:53,43.450203000,-80.514789000,331.3,9.9,6.08,149.9,-3.6,0.234,8.22,,,,,
T,2012-08-01 00:46:56,43.450121000,-80.514736000,331.0,12.1,4.97,154.9,-3.0,0.244,10.07,,,,,
T,2012-08-01 00:46:59,43.450042000,-80.514684000,330.8,11.7,5.14,154.5,-2.1,0.254,9.73,,,,,
T,2012-08-01 00:47:02,43.449966000,-80.514643000,330.6,10.9,5.51,158.6,-2.2,0.263,9.07,,,,,
T,2012-08-01 00:47:05,43.449885000,-80.514570000,330.4,12.9,4.64,146.8,-1.9,0.274,10.77,,,,,
T,2012-08-01 00:47:08,43.449811000,-80.514522000,330.3,10.9,5.50,154.8,-1.1,0.283,9.09,,,,,
T,2012-08-01 00:47:11,43.449732000,-80.514468000,330.3,11.8,5.10,153.6,0.0,0.293,9.81,,,,,
T,2012-08-01 00:47:14,43.449660000,-80.514418000,330.3,10.8,5.58,153.2,0.0,0.302,8.96,,,,,
T,2012-08-01 00:47:17,43.449593000,-80.514364000,330.3,10.4,5.79,149.7,0.0,0.310,8.63,,,,,
T,2012-08-01 00:47:20,43.449517000,-80.514311000,330.4,11.4,5.28,153.1,1.1,0.320,9.47,,,,,
T,2012-08-01 00:47:23,43.449457000,-80.514259000,330.5,9.5,6.34,147.8,1.3,0.328,7.88,,,,,
T,2012-08-01 00:47:26,43.449389000,-80.514203000,330.6,10.6,5.68,149.1,1.1,0.336,8.81,,,,,
