type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2014-05-22 20:11:02,43.453587000,-80.550464000,349.2,,,,,0.000,,173,86,16,"22/05/2014 Waterloo, ON, Canada",
T,2014-05-22 20:11:07,43.453451000,-80.550841000,349.2,24.5,2.45,243.6,0.0,0.034,34.05,176,87,16,,
T,2014-05-22 20:11:10,43.453374000,-80.551068000,349.2,24.3,2.47,245.0,0.0,0.054,20.27,177,81,16,,
T,2014-05-22 20:11:14,43.453282000,-80.551351000,350.6,22.6,2.66,245.9,5.6,0.079,25.08,178,76,16,,
T,2014-05-22 20:11:19,43.453169000,-80.551661000,350.6,20.2,2.97,243.3,0.0,0.107,28.06,177,0,16,,
T,2014-05-22 20:11:25,43.453065000,-80.551977000,350.6,16.8,3.56,245.6,0.0,0.136,28.07,174,28,16,,
T,2014-05-22 20:11:26,43.453056000,-80.552021000,350.6,13.3,4.51,254.3,0.0,0.139,3.70,173,29,16,,
T,2014-05-22 20:11:30,43.453068000,-80.552096000,350.6,5.6,10.73,282.4,0.0,0.145,6.22,171,0,16,,
T,2014-05-22 20:11:31,43.453070000,-80.552095000,350.6,0.9,70.48,19.9,0.0,0.146,0.24,170,0,16,,
T,2014-05-22 20:12:57,43.453052000,-80.552126000,350.6,0.1,446.72,231.3,0.0,0.149,3.21,132,107,16,,
T,2014-05-22 20:13:00,43.453005000,-80.552179000,350.6,8.1,7.40,219.3,0.0,0.156,6.76,131,20,16,,
T,2014-05-22 20:13:04,43.452930000,-80.552345000,350.6,14.2,4.22,238.1,0.0,0.171,15.81,135,55,16,,
T,2014-05-22 20:13:05,43.452913000,-80.552395000,350.6,16.1,3.73,244.9,0.0,0.176,4.47,136,58,16,,
T,2014-05-22 20:13:08,43.452855000,-80.552570000,350.6,18.7,3.21,245.5,0.0,0.191,15.56,139,66,16,,
T,2014-05-22 20:13:11,43.452791000,-80.552762000,350.6,20.5,2.93,245.3,0.0,0.209,17.09,141,71,16,,
T,2014-05-22 20:13:14,43.452733000,-80.552939000,351.0,18.9,3.18,245.7,2.5,0.224,15.71,141,64,16,,
T,2014-05-22 20:13:15,43.452713000,-80.552990000,351.4,16.9,3.56,241.6,8.5,0.229,4.69,142,64,16,,
T,2014-05-22 20:13:16,43.452694000,-80.553038000,351.8,15.9,3.77,241.4,9.0,0.233,4.42,141,64,16,,
T,2014-05-22 20:13:17,43.452676000,-80.553082000,352.2,14.7,4.08,240.6,9.8,0.237,4.08,141,0,16,,
T,2014-05-22 20:13:18,43.452666000,-80.553131000,352.6,14.8,4.05,254.3,9.7,0.242,4.12,141,0,16,,
