type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-05-24 19:33:24,43.450493000,-80.516924000,338.3,,,,,0.000,,,,,Afternoon Run,
T,2013-05-24 19:33:33,43.450553000,-80.516941000,337.9,2.7,22.04,348.4,-5.9,0.007,6.81,,,,,
T,2013-05-24 19:33:34,43.450578000,-80.516937000,337.7,10.1,5.96,6.6,-7.2,0.010,2.80,,,,,
T,2013-05-24 19:33:35,43.450685000,-80.516901000,337.0,44.1,1.36,13.7,-5.7,0.022,12.24,,,,,
T,2013-05-24 19:33:42,43.450917000,-80.516884000,335.4,13.3,4.52,3.0,-6.2,0.048,25.81,,,,,
T,2013-05-24 19:33:46,43.450966000,-80.516845000,335.1,5.7,10.59,30.0,-4.8,0.054,6.29,,,,,
T,2013-05-24 19:33:53,43.450875000,-80.516761000,335.7,6.3,9.58,146.2,4.9,0.066,12.18,,,,,
T,2013-05-24 19:33:59,43.450821000,-80.516559000,336.1,10.4,5.74,110.2,2.3,0.084,17.42,,,,,
T,2013-05-24 19:34:02,43.450827000,-80.516617000,336.0,5.7,10.54,278.1,-2.1,0.088,4.74,,,,,
T,2013-05-24 19:34:09,43.450850000,-80.516812000,335.9,8.2,7.30,279.2,-0.6,0.104,15.99,,,,,
T,2013-05-24 19:34:16,43.450805000,-80.516928000,336.2,5.5,10.97,241.9,2.8,0.115,10.64,,,,,
T,2013-05-24 19:34:25,43.450851000,-80.516855000,335.9,3.1,19.20,49.0,-3.8,0.123,7.81,,,,,
T,2013-05-24 19:34:32,43.451292000,-80.516864000,333.3,25.2,2.38,359.2,-5.3,0.172,49.00,,,,,
T,2013-05-24 19:34:40,43.451527000,-80.516795000,333.6,12.0,4.99,12.0,1.1,0.198,26.70,,,,,
T,2013-05-24 19:34:47,43.451440000,-80.516811000,333.5,5.0,11.96,187.6,-1.0,0.208,9.75,,,,,
T,2013-05-24 19:34:49,43.451542000,-80.516818000,333.6,20.4,2.94,357.1,0.9,0.220,11.35,,,,,
T,2013-05-24 19:34:56,43.451744000,-80.516744000,333.6,11.9,5.02,14.9,0.0,0.243,23.23,,,,,
T,2013-05-24 19:35:02,43.451892000,-80.516692000,333.6,10.2,5.89,14.3,0.0,0.260,16.97,,,,,
T,2013-05-24 19:35:10,43.451772000,-80.516783000,333.7,6.9,8.75,208.8,0.7,0.275,15.23,,,,,
T,2013-05-24 19:35:15,43.451706000,-80.516821000,333.7,5.7,10.48,202.7,0.0,0.283,7.95,,,,,
T,2013-05-24 19:35:36,43.451916000,-80.516530000,333.1,5.7,10.56,45.2,-1.8,0.316,33.15,,,,,
T,2013-05-24 19:35:48,43.452085000,-80.516230000,332.0,9.2,6.52,52.2,-3.6,0.347,30.69,,,,,
T,2013-05-24 19:37:04,43.450475000,-80.515271000,333.2,9.2,6.50,156.6,0.6,0.542,194.99,,,,,
T,2013-05-24 19:37:08,43.450153000,-80.514787000,331.2,47.7,1.26,132.5,-3.8,0.595,53.05,,,,,
T,2013-05-24 19:37:21,43.450008000,-80.514470000,330.6,8.4,7.15,122.2,-2.0,0.625,30.30,,,,,
T,2013-05-24 19:37:33,43.449734000,-80.514286000,330.5,10.2,5.90,154.0,-0.3,0.659,33.89,,,,,
T,2013-05-24 19:37:35,43.449675000,-80.514244000,330.5,13.3,4.51,152.7,0.0,0.666,7.38,,,,,
T,2013-05-24 19:37:37,43.449618000,-80.514208000,330.5,12.5,4.78,155.4,0.0,0.673,6.97,,,,,
T,2013-05-24 19:37:39,43.449562000,-80.514177000,330.5,12.1,4.97,158.1,0.0,0.680,6.71,,,,,
T,2013-05-24 19:37:41,43.449526000,-80.514168000,330.5,7.3,8.20,169.7,0.0,0.684,4.07,,,,,
T,2013-05-24 19:37:52,43.449268000,-80.514060000,330.8,9.8,6.12,163.1,1.0,0.714,29.97,,,,,
T,2013-05-24 19:38:07,43.449012000,-80.513921000,330.9,7.3,8.17,158.5,0.3,0.745,30.59,,,,,
T,2013-05-24 19:38:22,43.448748000,-80.513786000,331.0,7.5,7.99,159.6,0.3,0.776,31.30,,,,,
T,2013-05-24 19:38:32,43.448448000,-80.513627000,330.6,12.9,4.66,159.0,-1.1,0.812,35.73,,,,,
T,2013-05-24 19:38:40,43.448189000,-80.513468000,330.1,14.2,4.23,156.0,-1.6,0.843,31.52,,,,,
T,2013-05-24 19:38:51,43.447930000,-80.513244000,329.4,11.1,5.39,147.9,-2.1,0.877,34.01,,,,,
T,2013-05-24 19:39:01,43.447720000,-80.513006000,330.0,10.9,5.51,140.6,2.0,0.907,30.26,,,,,
T,2013-05-24 19:39:22,43.447485000,-80.512791000,331.1,5.4,11.15,146.4,3.5,0.939,31.38,,,,,
T,2013-05-24 19:39:46,43.447136000,-80.512392000,332.7,7.6,7.93,140.3,3.2,0.989,50.46,,,,,
T,2013-05-24 19:39:52,43.446984000,-80.512079000,333.4,18.3,3.28,123.8,2.3,1.020,30.45,,,,,
T,2013-05-24 19:39:58,43.446831000,-80.511729000,333.8,19.8,3.03,121.1,1.2,1.053,33.04,,,,,
T,2013-05-24 19:40:05,43.446712000,-80.511381000,334.0,16.0,3.75,115.2,0.6,1.084,31.12,,,,,
T,2013-05-24 19:40:15,43.446608000,-80.511011000,333.5,11.6,5.19,111.2,-1.6,1.116,32.10,,,,,
T,2013-05-24 19:40:26,43.446485000,-80.510616000,332.6,11.4,5.27,113.2,-2.6,1.151,34.77,,,,,
T,2013-05-24 19:40:35,43.446356000,-80.510268000,332.1,12.6,4.75,117.0,-1.6,1.182,31.61,,,,,
T,2013-05-24 19:40:42,43.446238000,-80.509945000,332.6,15.0,3.99,116.7,1.7,1.212,29.25,,,,,
T,2013-05-24 19:40:43,43.446225000,-80.509909000,332.6,11.7,5.12,116.4,0.0,1.215,3.25,,,,,
T,2013-05-24 19:40:44,43.446207000,-80.509863000,332.7,15.2,3.94,118.3,2.4,1.219,4.23,,,,,
T,2013-05-24 19:40:45,43.446193000,-80.509828000,332.7,11.6,5.16,118.9,0.0,1.222,3.23,,,,,
T,2013-05-24 19:40:59,43.446057000,-80.509479000,332.9,8.2,7.28,118.2,0.6,1.254,32.04,,,,,
T,2013-05-24 19:42:18,43.445279000,-80.506000000,329.8,13.4,4.47,107.1,-1.1,1.549,294.59,,,,,
T,2013-05-24 19:42:23,43.445370000,-80.506037000,329.8,7.6,7.90,343.6,0.0,1.560,10.54,,,,,
T,2013-05-24 19:42:30,43.445492000,-80.506393000,330.0,16.4,3.66,295.3,0.6,1.591,31.85,,,,,
T,2013-05-24 19:42:31,43.445502000,-80.506323000,329.9,20.8,2.89,78.9,-1.7,1.597,5.77,,,,,
T,2013-05-24 19:42:38,43.445362000,-80.505843000,329.5,21.5,2.79,111.9,-1.0,1.639,41.85,,,,,
T,2013-05-24 19:42:44,43.445561000,-80.505606000,329.1,17.6,3.42,40.8,-1.4,1.668,29.27,,,,,
T,2013-05-24 19:42:48,43.445482000,-80.505917000,329.5,24.0,2.50,250.7,1.5,1.695,26.66,,,,,
T,2013-05-24 19:43:46,43.446494000,-80.504662000,333.2,9.4,6.38,42.0,2.4,1.846,151.53,,,,,
T,2013-05-24 19:43:50,43.446588000,-80.504242000,333.7,32.0,1.87,72.9,1.4,1.882,35.57,,,,,
T,2013-05-24 19:43:57,43.446711000,-80.503582000,332.6,28.4,2.12,75.6,-2.0,1.937,55.15,,,,,
T,2013-05-24 19:44:04,43.446829000,-80.503613000,332.6,6.9,8.74,349.2,0.0,1.951,13.35,,,,,
T,2013-05-24 19:44:11,43.446678000,-80.503319000,331.4,15.0,4.01,125.3,-4.1,1.980,29.12,,,,,
T,2013-05-24 19:44:18,43.446870000,-80.503515000,332.1,13.7,4.39,323.5,2.6,2.006,26.58,,,,,
T,2013-05-24 19:44:22,43.446904000,-80.503587000,332.4,6.3,9.60,303.0,4.3,2.013,6.95,,,,,
T,2013-05-24 19:44:29,43.447039000,-80.503633000,332.5,7.9,7.55,346.1,0.6,2.029,15.45,,,,,
T,2013-05-24 19:44:37,43.447706000,-80.503217000,330.6,36.6,1.64,24.4,-2.3,2.110,81.40,,,,,
T,2013-05-24 19:44:44,43.448162000,-80.502796000,330.8,31.4,1.91,33.8,0.3,2.171,61.06,,,,,
T,2013-05-24 19:44:52,43.448209000,-80.502751000,330.8,2.9,20.94,34.8,0.0,2.177,6.37,,,,,
T,2013-05-24 19:45:00,43.448219000,-80.502765000,330.8,0.7,84.02,314.5,0.0,2.179,1.59,,,,,
T,2013-05-24 19:45:11,43.448230000,-80.502778000,330.7,0.5,113.68,319.4,-6.2,2.181,1.61,,,,,
T,2013-05-24 19:45:12,43.448244000,-80.502796000,330.7,7.7,7.82,317.0,0.0,2.183,2.13,,,,,
T,2013-05-24 19:45:25,43.448506000,-80.502683000,330.4,8.4,7.10,17.4,-1.0,2.213,30.51,,,,,
T,2013-05-24 19:46:20,43.448706000,-80.502327000,330.1,2.4,25.19,52.3,-0.8,2.250,36.39,,,,,
T,2013-05-24 19:46:32,43.448919000,-80.502065000,329.6,9.5,6.29,41.8,-1.6,2.281,31.78,,,,,
T,2013-05-24 19:46:48,43.449159000,-80.501537000,329.7,11.3,5.29,57.9,0.2,2.332,50.37,,,,,
T,2013-05-24 19:47:09,43.449480000,-80.501004000,329.7,9.6,6.25,50.3,0.0,2.388,55.98,,,,,
T,2013-05-24 19:47:29,43.449938000,-80.500670000,328.5,10.4,5.78,27.9,-2.1,2.445,57.62,,,,,
T,2013-05-24 19:48:51,43.452173000,-80.498307000,330.5,13.8,4.36,37.5,0.6,2.759,313.43,,,,,
T,2013-05-24 19:48:57,43.452235000,-80.498442000,330.4,7.8,7.74,302.3,-0.8,2.772,12.92,,,,,
T,2013-05-24 19:49:04,43.452641000,-80.498523000,330.6,23.4,2.56,351.8,0.4,2.817,45.58,,,,,
T,2013-05-24 19:49:05,43.452682000,-80.498488000,330.6,19.3,3.11,31.8,0.0,2.823,5.36,,,,,
T,2013-05-24 19:49:07,43.452690000,-80.498275000,330.5,31.1,1.93,87.0,-0.6,2.840,17.26,,,,,
T,2013-05-24 19:49:08,43.452692000,-80.498119000,330.4,45.5,1.32,89.0,-0.8,2.853,12.63,,,,,
T,2013-05-24 19:49:13,43.452933000,-80.498056000,330.2,19.6,3.06,10.7,-0.7,2.880,27.26,,,,,
T,2013-05-24 19:49:20,43.452766000,-80.498116000,330.3,9.9,6.08,194.6,0.5,2.899,19.18,,,,,
T,2013-05-24 19:49:27,43.452794000,-80.498057000,330.3,2.9,20.47,56.8,0.0,2.905,5.70,,,,,
T,2013-05-24 19:49:34,43.452467000,-80.498199000,330.5,19.6,3.06,197.5,0.5,2.943,38.10,,,,,
T,2013-05-24 19:49:42,43.452597000,-80.497850000,330.6,14.3,4.20,62.8,0.3,2.975,31.73,,,,,
T,2013-05-24 19:49:49,43.452788000,-80.497925000,330.2,11.4,5.29,344.1,-1.8,2.997,22.07,,,,,
T,2013-05-24 19:49:53,43.452843000,-80.498345000,330.5,31.1,1.93,280.2,0.9,3.031,34.54,,,,,
T,2013-05-24 19:51:01,43.453264000,-80.497878000,331.4,3.2,18.85,38.8,1.5,3.091,60.14,,,,,
T,2013-05-24 19:51:07,43.453500000,-80.497657000,332.6,19.0,3.15,34.2,3.8,3.123,31.74,,,,,
T,2013-05-24 19:52:17,43.454609000,-80.495125000,334.0,12.3,4.88,58.9,0.6,3.362,239.12,,,,,
