type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-08-14 21:47:07,43.450714000,-80.517057000,296.0,,,,,0.000,,95,0,23,"14/08/2013 Kitchener, ON, Canada: WCC Novice Group 1",
T,2013-08-14 21:47:08,43.450755000,-80.517021000,296.0,19.5,3.08,32.5,0.0,0.005,5.41,94,0,23,,
T,2013-08-14 21:47:10,43.450822000,-80.516946000,296.0,17.3,3.47,39.1,0.0,0.015,9.61,90,0,23,,
T,2013-08-14 21:47:11,43.450868000,-80.516890000,296.0,24.6,2.44,41.5,0.0,0.022,6.83,90,0,23,,
T,2013-08-14 21:47:12,43.450896000,-80.516832000,296.0,20.3,2.96,56.4,0.0,0.027,5.63,89,0,23,,
T,2013-08-14 21:47:15,43.450914000,-80.516769000,295.6,6.6,9.13,68.5,-7.3,0.033,5.48,88,0,23,,
T,2013-08-14 21:47:53,43.450971000,-80.516690000,295.6,0.9,70.37,45.2,0.0,0.042,9.00,73,80,23,,
T,2013-08-14 21:47:54,43.450999000,-80.516664000,295.6,13.5,4.44,34.0,0.0,0.046,3.76,73,36,23,,
T,2013-08-14 21:47:55,43.451028000,-80.516653000,295.6,12.0,4.99,15.4,0.0,0.049,3.34,76,59,23,,
T,2013-08-14 21:47:57,43.451095000,-80.516670000,295.6,13.6,4.40,349.6,0.0,0.057,7.57,84,68,23,,
T,2013-08-14 21:47:58,43.451131000,-80.516689000,295.6,15.4,3.89,339.0,0.0,0.061,4.29,88,61,23,,
T,2013-08-14 21:47:59,43.451174000,-80.516691000,295.6,17.2,3.49,358.1,0.0,0.066,4.78,92,79,23,,
T,2013-08-14 21:48:00,43.451215000,-80.516719000,295.6,18.3,3.28,333.6,0.0,0.071,5.09,95,84,23,,
T,2013-08-14 21:48:02,43.451292000,-80.516754000,295.6,16.2,3.70,341.7,0.0,0.080,9.01,98,84,23,,
T,2013-08-14 21:48:07,43.451446000,-80.516792000,295.6,12.5,4.79,349.8,0.0,0.097,17.38,98,80,23,,
T,2013-08-14 21:48:12,43.451588000,-80.516843000,295.6,11.7,5.11,345.4,0.0,0.113,16.31,101,59,23,,
T,2013-08-14 21:48:14,43.451633000,-80.516864000,295.6,9.5,6.31,341.3,0.0,0.119,5.28,101,55,23,,
T,2013-08-14 21:48:20,43.451712000,-80.516920000,295.6,5.9,10.12,332.8,0.0,0.129,9.88,100,23,23,,
T,2013-08-14 21:48:21,43.451709000,-80.516921000,295.6,1.2,48.59,193.6,0.0,0.129,0.34,100,23,23,,
T,2013-08-14 21:48:40,43.451830000,-80.516924000,295.6,2.5,23.55,359.0,0.0,0.142,13.45,90,45,23,,
T,2013-08-14 21:48:41,43.451864000,-80.516945000,295.6,14.9,4.02,335.8,0.0,0.147,4.14,92,76,23,,
T,2013-08-14 21:48:42,43.451908000,-80.516961000,295.6,18.2,3.30,345.2,0.0,0.152,5.06,94,70,23,,
T,2013-08-14 21:48:44,43.451990000,-80.517007000,295.6,17.7,3.39,337.8,0.0,0.161,9.84,97,91,23,,
T,2013-08-14 21:48:45,43.452035000,-80.517031000,295.6,19.3,3.11,338.8,0.0,0.167,5.36,99,93,23,,
T,2013-08-14 21:48:47,43.452125000,-80.517080000,295.6,19.4,3.10,338.4,0.0,0.178,10.76,102,98,23,,
T,2013-08-14 21:48:49,43.452218000,-80.517134000,295.6,20.2,2.97,337.1,0.0,0.189,11.22,107,101,23,,
T,2013-08-14 21:48:51,43.452312000,-80.517196000,295.6,20.9,2.88,334.4,0.0,0.200,11.59,110,98,23,,
T,2013-08-14 21:48:53,43.452413000,-80.517256000,296.0,22.0,2.73,336.7,3.3,0.213,12.23,113,93,24,,
T,2013-08-14 21:48:54,43.452467000,-80.517286000,296.4,23.3,2.58,338.0,6.2,0.219,6.47,114,94,24,,
T,2013-08-14 21:48:55,43.452521000,-80.517319000,296.8,23.6,2.54,336.1,6.1,0.226,6.57,115,96,24,,
T,2013-08-14 21:48:56,43.452578000,-80.517356000,297.2,25.2,2.38,334.8,5.7,0.233,7.01,115,97,24,,
T,2013-08-14 21:48:57,43.452632000,-80.517395000,297.6,24.4,2.46,332.3,5.9,0.239,6.78,115,97,24,,
T,2013-08-14 21:49:01,43.452850000,-80.517545000,297.6,24.4,2.46,333.5,0.0,0.267,27.09,116,99,24,,
T,2013-08-14 21:49:05,43.453082000,-80.517694000,297.6,25.6,2.34,335.0,0.0,0.295,28.46,119,97,24,,
T,2013-08-14 21:49:10,43.453375000,-80.517882000,297.6,25.9,2.32,335.0,0.0,0.331,35.93,121,97,24,,
T,2013-08-14 21:49:11,43.453427000,-80.517919000,297.6,23.4,2.56,332.7,0.0,0.337,6.51,122,96,24,,
T,2013-08-14 21:49:15,43.453660000,-80.518071000,297.6,25.8,2.33,334.7,0.0,0.366,28.66,124,97,24,,
T,2013-08-14 21:49:20,43.453962000,-80.518287000,297.6,27.2,2.20,332.6,0.0,0.404,37.83,128,102,24,,
T,2013-08-14 21:49:24,43.454203000,-80.518438000,297.6,26.5,2.27,335.5,0.0,0.433,29.43,130,100,24,,
T,2013-08-14 21:49:32,43.454704000,-80.518793000,297.6,28.2,2.13,332.8,0.0,0.496,62.64,132,61,24,,
T,2013-08-14 21:49:35,43.454896000,-80.518919000,297.2,28.4,2.11,334.5,-1.7,0.520,23.64,131,93,24,,
T,2013-08-14 21:49:36,43.454963000,-80.518959000,296.8,29.2,2.05,336.6,-4.9,0.528,8.12,130,94,24,,
T,2013-08-14 21:49:37,43.455026000,-80.519002000,296.4,28.1,2.13,333.6,-5.1,0.536,7.82,129,92,24,,
T,2013-08-14 21:49:38,43.455080000,-80.519063000,296.0,28.0,2.15,320.6,-5.1,0.543,7.77,128,89,24,,
T,2013-08-14 21:49:39,43.455119000,-80.519143000,295.6,28.0,2.14,303.9,-5.1,0.551,7.79,127,89,24,,
T,2013-08-14 21:49:41,43.455142000,-80.519328000,295.6,27.3,2.19,279.7,0.0,0.566,15.19,125,91,24,,
T,2013-08-14 21:49:45,43.455070000,-80.519685000,295.6,27.0,2.22,254.5,0.0,0.596,29.98,125,100,24,,
T,2013-08-14 21:49:49,43.454958000,-80.520018000,295.6,26.7,2.25,245.1,0.0,0.626,29.69,128,98,24,,
T,2013-08-14 21:49:52,43.454861000,-80.520279000,295.6,28.5,2.11,242.9,0.0,0.650,23.71,131,96,24,,
T,2013-08-14 21:49:59,43.454652000,-80.520878000,295.6,27.6,2.17,244.3,0.0,0.703,53.76,130,101,24,,
T,2013-08-14 21:50:06,43.454457000,-80.521438000,295.6,25.8,2.32,244.4,0.0,0.754,50.24,128,96,24,,
T,2013-08-14 21:50:12,43.454258000,-80.521886000,295.6,25.5,2.35,238.5,0.0,0.796,42.47,128,98,24,,
T,2013-08-14 21:50:13,43.454216000,-80.521954000,296.0,26.0,2.31,229.6,5.5,0.803,7.22,129,101,24,,
