type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-09-15 15:23:48,43.450270000,-80.516513000,287.6,,,,,0.000,,108,89,22,"15/09/2013 Kitchener, ON, Canada: Tempo Tour feat. Jesse Onland",
T,2013-09-15 15:23:49,43.450283000,-80.516536000,287.6,8.5,7.07,307.9,0.0,0.002,2.36,108,89,22,,
T,2013-09-15 15:23:51,43.450335000,-80.516603000,287.6,14.3,4.21,316.9,0.0,0.010,7.92,108,89,22,,
T,2013-09-15 15:23:52,43.450375000,-80.516627000,287.6,17.5,3.44,336.5,0.0,0.015,4.85,108,91,22,,
T,2013-09-15 15:23:54,43.450453000,-80.516567000,287.6,17.9,3.36,29.2,0.0,0.025,9.93,112,97,22,,
T,2013-09-15 15:23:57,43.450608000,-80.516437000,287.6,24.2,2.48,31.3,0.0,0.045,20.18,112,99,22,,
T,2013-09-15 15:23:58,43.450663000,-80.516401000,287.6,24.4,2.46,25.4,0.0,0.052,6.77,112,99,22,,
T,2013-09-15 15:23:59,43.450710000,-80.516359000,287.6,22.4,2.67,33.0,0.0,0.058,6.23,111,99,22,,
T,2013-09-15 15:24:01,43.450767000,-80.516267000,285.2,17.6,3.41,49.5,-24.6,0.068,9.78,109,0,22,,
T,2013-09-15 15:24:05,43.450841000,-80.516267000,285.2,7.4,8.11,0.0,0.0,0.076,8.22,109,86,22,,
T,2013-09-15 15:24:07,43.450905000,-80.516318000,285.2,14.8,4.05,330.0,0.0,0.084,8.22,112,96,22,,
T,2013-09-15 15:24:09,43.450984000,-80.516393000,285.2,19.2,3.12,325.4,0.0,0.095,10.67,116,97,22,,
T,2013-09-15 15:24:10,43.451027000,-80.516427000,285.2,19.8,3.02,330.1,0.0,0.101,5.51,118,98,22,,
T,2013-09-15 15:24:12,43.451121000,-80.516479000,285.2,20.3,2.96,338.1,0.0,0.112,11.26,122,99,22,,
T,2013-09-15 15:24:13,43.451170000,-80.516494000,285.2,20.1,2.99,347.5,0.0,0.117,5.58,124,100,22,,
T,2013-09-15 15:24:14,43.451214000,-80.516513000,285.2,18.4,3.25,342.6,0.0,0.123,5.12,127,100,22,,
T,2013-09-15 15:24:15,43.451263000,-80.516530000,285.2,20.2,2.97,345.9,0.0,0.128,5.62,129,101,22,,
T,2013-09-15 15:24:17,43.451366000,-80.516583000,285.2,22.0,2.73,339.5,0.0,0.140,12.22,132,102,22,,
T,2013-09-15 15:24:19,43.451469000,-80.516648000,285.2,22.7,2.65,335.4,0.0,0.153,12.59,135,105,22,,
T,2013-09-15 15:24:21,43.451579000,-80.516701000,285.6,23.3,2.57,340.7,3.1,0.166,12.95,137,108,22,,
T,2013-09-15 15:24:22,43.451630000,-80.516725000,286.2,21.6,2.78,341.1,10.0,0.172,5.99,138,108,22,,
T,2013-09-15 15:24:23,43.451686000,-80.516761000,286.6,24.7,2.43,335.0,5.8,0.179,6.87,138,106,22,,
T,2013-09-15 15:24:24,43.451735000,-80.516797000,287.0,22.2,2.70,331.9,6.5,0.185,6.17,138,98,22,,
T,2013-09-15 15:24:25,43.451788000,-80.516835000,287.4,23.9,2.51,332.5,6.0,0.192,6.64,139,98,21,,
T,2013-09-15 15:24:29,43.452021000,-80.516951000,287.4,24.8,2.42,340.1,0.0,0.219,27.54,139,105,21,,
T,2013-09-15 15:24:38,43.453019000,-80.517538000,287.4,48.3,1.24,336.9,0.0,0.340,120.63,140,102,21,,
T,2013-09-15 15:24:46,43.453517000,-80.517853000,287.4,27.4,2.19,335.3,0.0,0.401,60.92,141,106,21,,
T,2013-09-15 15:24:50,43.453790000,-80.517994000,287.4,29.2,2.06,339.4,0.0,0.433,32.41,142,103,21,,
T,2013-09-15 15:24:58,43.454333000,-80.518365000,287.4,30.3,1.98,333.6,0.0,0.501,67.39,143,110,21,,
T,2013-09-15 15:25:01,43.454544000,-80.518513000,287.4,31.6,1.90,333.0,0.0,0.527,26.33,143,105,21,,
T,2013-09-15 15:25:06,43.454907000,-80.518754000,287.0,32.3,1.86,334.3,-0.9,0.572,44.80,143,107,21,,
T,2013-09-15 15:25:07,43.454981000,-80.518798000,286.4,32.3,1.86,336.7,-6.7,0.581,8.96,142,86,21,,
T,2013-09-15 15:25:08,43.455051000,-80.518848000,286.0,31.6,1.90,332.6,-4.6,0.589,8.77,141,23,21,,
T,2013-09-15 15:25:09,43.455125000,-80.518897000,285.6,32.9,1.83,334.3,-4.4,0.599,9.13,140,23,21,,
T,2013-09-15 15:25:10,43.455192000,-80.518876000,285.2,27.5,2.18,12.8,-5.2,0.606,7.64,138,22,21,,
T,2013-09-15 15:25:12,43.455300000,-80.518695000,285.2,34.1,1.76,50.6,0.0,0.625,18.94,136,100,21,,
T,2013-09-15 15:25:14,43.455383000,-80.518472000,285.2,36.5,1.64,62.9,0.0,0.645,20.27,136,104,21,,
T,2013-09-15 15:25:17,43.455477000,-80.518173000,285.2,31.6,1.90,66.6,0.0,0.672,26.36,138,106,21,,
T,2013-09-15 15:25:21,43.455590000,-80.517781000,285.2,30.7,1.95,68.3,0.0,0.706,34.12,142,104,21,,
T,2013-09-15 15:25:24,43.455669000,-80.517516000,285.2,27.8,2.16,67.7,0.0,0.729,23.17,144,111,21,,
T,2013-09-15 15:25:28,43.455770000,-80.517196000,285.6,25.4,2.36,66.5,1.4,0.757,28.23,146,104,21,,
T,2013-09-15 15:25:29,43.455797000,-80.517118000,286.2,25.2,2.38,64.5,8.6,0.764,6.99,147,103,21,,
T,2013-09-15 15:25:30,43.455839000,-80.517047000,286.6,26.6,2.25,50.8,5.4,0.772,7.40,148,102,21,,
T,2013-09-15 15:25:31,43.455885000,-80.516990000,287.2,24.8,2.42,42.0,8.7,0.779,6.88,148,102,21,,
T,2013-09-15 15:25:32,43.455940000,-80.516940000,287.6,26.4,2.27,33.4,5.5,0.786,7.33,148,102,21,,
T,2013-09-15 15:25:34,43.456054000,-80.516854000,287.6,26.0,2.31,28.7,0.0,0.800,14.45,149,89,21,,
T,2013-09-15 15:25:37,43.456247000,-80.516806000,287.6,26.2,2.29,10.2,0.0,0.822,21.79,148,0,21,,
T,2013-09-15 15:25:38,43.456302000,-80.516790000,287.6,22.5,2.67,11.9,0.0,0.828,6.25,146,0,21,,
T,2013-09-15 15:25:40,43.456411000,-80.516746000,287.6,22.7,2.64,16.3,0.0,0.841,12.62,143,0,21,,
T,2013-09-15 15:25:41,43.456457000,-80.516724000,287.6,19.5,3.08,19.1,0.0,0.846,5.41,142,0,21,,
T,2013-09-15 15:25:43,43.456510000,-80.516694000,287.6,11.5,5.23,22.3,0.0,0.853,6.37,140,0,21,,
