type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-05-19 00:04:22,43.450458000,-80.516909000,338.5,,,,,0.000,,,,,Evening Run,
T,2013-05-19 00:04:57,43.450648000,-80.516805000,337.2,2.3,25.67,21.7,-5.7,0.023,22.73,,,,,
T,2013-05-19 00:05:03,43.450581000,-80.516833000,337.6,4.7,12.85,196.9,5.1,0.031,7.78,,,,,
T,2013-05-19 00:05:10,43.450517000,-80.516700000,337.9,6.6,9.04,123.5,2.3,0.043,12.90,,,,,
T,2013-05-19 00:05:14,43.450534000,-80.516787000,337.9,6.6,9.14,285.1,0.0,0.051,7.29,,,,,
T,2013-05-19 00:05:21,43.450604000,-80.516722000,337.4,4.8,12.43,34.0,-5.3,0.060,9.39,,,,,
T,2013-05-19 00:05:28,43.451070000,-80.516831000,334.5,27.0,2.22,350.4,-5.5,0.113,52.52,,,,,
T,2013-05-19 00:05:30,43.450995000,-80.516837000,335.0,15.0,3.99,183.3,6.0,0.121,8.35,,,,,
T,2013-05-19 00:05:37,43.450872000,-80.516811000,335.8,7.1,8.44,171.3,5.8,0.135,13.83,,,,,
T,2013-05-19 00:05:40,43.450900000,-80.516814000,335.6,3.7,16.02,355.6,-6.4,0.138,3.12,,,,,
T,2013-05-19 00:05:47,43.451214000,-80.516731000,333.6,18.3,3.28,10.9,-5.6,0.173,35.53,,,,,
T,2013-05-19 00:05:53,43.451635000,-80.516751000,333.6,28.1,2.14,358.0,0.0,0.220,46.80,,,,,
T,2013-05-19 00:05:58,43.451819000,-80.516820000,333.8,15.3,3.93,344.8,0.9,0.241,21.19,,,,,
T,2013-05-19 00:06:01,43.451860000,-80.516853000,333.9,6.3,9.47,329.7,1.9,0.247,5.28,,,,,
T,2013-05-19 00:06:08,43.451411000,-80.516833000,333.5,25.7,2.34,178.1,-0.8,0.297,49.91,,,,,
T,2013-05-19 00:06:09,43.451330000,-80.516832000,333.4,32.4,1.85,179.5,-1.1,0.306,9.00,,,,,
T,2013-05-19 00:06:12,43.451190000,-80.516842000,333.7,18.7,3.21,183.0,1.9,0.321,15.58,,,,,
T,2013-05-19 00:06:17,43.451461000,-80.516800000,333.5,21.8,2.75,6.4,-0.7,0.351,30.30,,,,,
T,2013-05-19 00:06:22,43.452238000,-80.516803000,333.9,62.2,0.97,359.8,0.5,0.438,86.33,,,,,
T,2013-05-19 00:06:27,43.452345000,-80.516699000,333.6,10.5,5.72,35.2,-2.1,0.452,14.57,,,,,
T,2013-05-19 00:06:31,43.452126000,-80.516619000,333.3,22.7,2.65,165.1,-1.2,0.478,25.18,,,,,
T,2013-05-19 00:06:38,43.451799000,-80.516635000,333.4,18.7,3.21,182.0,0.3,0.514,36.35,,,,,
T,2013-05-19 00:06:42,43.451637000,-80.516675000,333.5,16.5,3.65,190.2,0.5,0.532,18.29,,,,,
T,2013-05-19 00:06:52,43.451949000,-80.516417000,332.8,14.6,4.12,31.0,-1.7,0.573,40.47,,,,,
T,2013-05-19 00:06:55,43.452282000,-80.516270000,332.3,46.6,1.29,17.8,-1.3,0.612,38.86,,,,,
T,2013-05-19 00:07:45,43.452759000,-80.516805000,333.7,4.9,12.18,320.8,2.0,0.680,68.44,,,,,
T,2013-05-19 00:07:57,43.453242000,-80.517012000,333.5,16.9,3.56,342.7,-0.4,0.736,56.22,,,,,
T,2013-05-19 00:08:14,43.453719000,-80.517177000,333.2,11.6,5.18,345.9,-0.5,0.791,54.65,,,,,
T,2013-05-19 00:08:43,43.454156000,-80.517421000,332.8,6.5,9.22,337.9,-0.8,0.843,52.41,,,,,
T,2013-05-19 00:09:08,43.454534000,-80.517799000,331.4,7.5,8.02,324.0,-2.7,0.895,51.96,,,,,
T,2013-05-19 00:09:16,43.454915000,-80.517930000,332.2,19.6,3.06,346.0,1.8,0.939,43.64,,,,,
T,2013-05-19 00:10:03,43.454574000,-80.517449000,332.1,4.2,14.42,134.3,-0.2,0.993,54.32,,,,,
T,2013-05-19 00:10:14,43.454203000,-80.517326000,332.8,13.9,4.32,166.5,1.7,1.036,42.40,,,,,
T,2013-05-19 00:10:44,43.453673000,-80.517186000,333.2,7.2,8.34,169.1,0.7,1.096,59.96,,,,,
T,2013-05-19 00:11:01,43.453247000,-80.516874000,333.4,11.4,5.28,152.0,0.4,1.149,53.64,,,,,
T,2013-05-19 00:11:10,43.452934000,-80.516594000,333.4,16.6,3.61,147.0,0.0,1.191,41.51,,,,,
