type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-09-17 21:19:15,43.451066000,-80.517435000,228.4,,,,,0.000,,101,69,21,"17/09/2013 Kitchener, ON, Canada: WCC Tue. Group 1, last stretch got me",
T,2013-09-17 21:19:16,43.451075000,-80.517396000,228.4,11.9,5.03,72.4,0.0,0.003,3.31,101,60,21,,
T,2013-09-17 21:19:18,43.451098000,-80.517372000,228.4,5.8,10.38,37.1,0.0,0.007,3.21,102,82,21,,
T,2013-09-17 21:19:20,43.451143000,-80.517277000,228.6,16.5,3.63,56.9,2.2,0.016,9.17,102,87,21,,
T,2013-09-17 21:19:21,43.451178000,-80.517233000,228.6,19.0,3.16,42.4,0.0,0.021,5.27,102,40,21,,
T,2013-09-17 21:19:24,43.451312000,-80.517093000,228.6,22.5,2.67,37.2,0.0,0.040,18.71,101,6,21,,
T,2013-09-17 21:19:28,43.451356000,-80.516934000,228.6,12.4,4.84,69.1,0.0,0.053,13.77,99,0,21,,
T,2013-09-17 21:19:29,43.451365000,-80.516934000,228.6,3.6,16.67,0.0,0.0,0.054,1.00,97,0,21,,
T,2013-09-17 21:19:32,43.451375000,-80.516951000,228.6,2.1,28.27,309.0,0.0,0.056,1.77,95,0,21,,
T,2013-09-17 21:19:34,43.451375000,-80.516963000,228.6,1.7,34.32,270.0,0.0,0.057,0.97,95,30,21,,
T,2013-09-17 21:19:37,43.451382000,-80.516974000,228.6,1.4,42.29,311.2,0.0,0.058,1.18,95,72,21,,
T,2013-09-17 21:19:40,43.451386000,-80.516990000,228.6,1.6,36.52,289.0,0.0,0.060,1.37,93,0,21,,
T,2013-09-17 21:19:49,43.451390000,-80.516986000,228.6,0.2,272.81,36.0,0.0,0.060,0.55,95,0,21,,
T,2013-09-17 21:19:56,43.451425000,-80.516953000,228.6,2.4,24.73,34.4,0.0,0.065,4.72,91,22,21,,
T,2013-09-17 21:19:57,43.451446000,-80.516941000,228.6,9.1,6.59,22.5,0.0,0.068,2.53,91,34,21,,
T,2013-09-17 21:19:59,43.451512000,-80.516951000,228.6,13.3,4.52,353.7,0.0,0.075,7.38,96,59,21,,
T,2013-09-17 21:20:00,43.451570000,-80.516968000,228.6,23.7,2.53,348.0,0.0,0.081,6.59,98,69,21,,
T,2013-09-17 21:20:01,43.451609000,-80.516983000,228.6,16.2,3.70,344.4,0.0,0.086,4.50,101,69,21,,
T,2013-09-17 21:20:02,43.451649000,-80.516998000,228.6,16.6,3.62,344.8,0.0,0.091,4.61,104,70,21,,
T,2013-09-17 21:20:04,43.451725000,-80.517029000,228.6,15.9,3.78,343.5,0.0,0.099,8.81,107,71,21,,
T,2013-09-17 21:20:07,43.451823000,-80.517077000,228.6,13.9,4.33,340.4,0.0,0.111,11.56,108,63,21,,
T,2013-09-17 21:20:11,43.451909000,-80.517099000,228.6,8.7,6.86,349.5,0.0,0.121,9.72,105,0,21,,
T,2013-09-17 21:20:13,43.451917000,-80.517101000,228.6,1.6,36.90,349.7,0.0,0.122,0.90,104,0,21,,
T,2013-09-17 21:20:16,43.451915000,-80.517082000,228.6,1.9,32.18,98.2,0.0,0.123,1.55,104,0,21,,
T,2013-09-17 21:20:21,43.451960000,-80.517107000,228.6,3.9,15.45,338.0,0.0,0.129,5.39,109,31,21,,
T,2013-09-17 21:20:22,43.452007000,-80.517128000,228.6,19.8,3.04,342.0,0.0,0.134,5.49,110,72,21,,
T,2013-09-17 21:20:24,43.452105000,-80.517182000,228.6,21.1,2.84,338.2,0.0,0.146,11.73,114,95,21,,
T,2013-09-17 21:20:26,43.452212000,-80.517238000,228.6,22.9,2.62,339.2,0.0,0.158,12.72,118,94,21,,
T,2013-09-17 21:20:28,43.452326000,-80.517299000,228.6,24.5,2.45,338.8,0.0,0.172,13.59,121,100,21,,
T,2013-09-17 21:20:30,43.452043000,-80.517055000,228.6,66.8,0.90,148.0,0.0,0.209,37.13,125,100,21,,
T,2013-09-17 21:20:32,43.452138000,-80.517132000,228.6,22.1,2.72,329.5,0.0,0.221,12.26,128,96,21,,
T,2013-09-17 21:20:33,43.452203000,-80.517168000,228.6,28.0,2.14,338.1,0.0,0.229,7.79,129,97,21,,
T,2013-09-17 21:20:40,43.452654000,-80.517429000,228.6,28.0,2.15,337.2,0.0,0.284,54.38,131,96,21,,
T,2013-09-17 21:20:46,43.453048000,-80.517688000,228.6,29.1,2.06,334.5,0.0,0.332,48.53,132,102,21,,
T,2013-09-17 21:20:54,43.453589000,-80.518038000,228.6,29.9,2.01,334.8,0.0,0.399,66.45,134,91,21,,
T,2013-09-17 21:20:56,43.453731000,-80.518137000,228.6,31.9,1.88,333.2,0.0,0.416,17.69,136,94,21,,
T,2013-09-17 21:21:04,43.454327000,-80.518504000,228.6,32.7,1.84,335.9,0.0,0.489,72.57,136,97,21,,
T,2013-09-17 21:21:05,43.454375000,-80.518541000,228.6,22.0,2.73,330.8,0.0,0.495,6.12,135,97,21,,
T,2013-09-17 21:21:08,43.454519000,-80.518660000,228.6,22.4,2.68,329.0,0.0,0.514,18.67,132,0,21,,
T,2013-09-17 21:21:10,43.454610000,-80.518727000,228.6,20.7,2.91,331.9,0.0,0.525,11.47,131,47,21,,
T,2013-09-17 21:21:14,43.454813000,-80.518856000,228.6,22.4,2.68,335.2,0.0,0.550,24.85,128,68,21,,
T,2013-09-17 21:21:15,43.454869000,-80.518888000,228.6,24.3,2.47,337.5,0.0,0.557,6.74,127,71,21,,
T,2013-09-17 21:21:18,43.455034000,-80.519021000,228.6,25.5,2.35,329.7,0.0,0.578,21.26,123,79,21,,
T,2013-09-17 21:21:20,43.455097000,-80.519178000,228.6,26.1,2.30,298.9,0.0,0.593,14.51,121,84,21,,
T,2013-09-17 21:21:23,43.455092000,-80.519455000,228.6,26.9,2.23,268.6,0.0,0.615,22.43,119,85,21,,
T,2013-09-17 21:21:25,43.455044000,-80.519629000,228.6,27.1,2.21,249.2,0.0,0.630,15.06,120,93,21,,
T,2013-09-17 21:21:27,43.454987000,-80.519792000,228.6,26.3,2.28,244.3,0.0,0.645,14.63,123,94,21,,
T,2013-09-17 21:21:29,43.454927000,-80.519965000,228.6,27.9,2.15,244.5,0.0,0.660,15.51,125,94,21,,
T,2013-09-17 21:21:32,43.454818000,-80.520233000,228.6,29.8,2.01,240.7,0.0,0.685,24.84,128,94,21,,
T,2013-09-17 21:21:38,43.454617000,-80.520767000,228.6,29.2,2.06,242.6,0.0,0.734,48.65,129,96,21,,
T,2013-09-17 21:21:42,43.454505000,-80.521121000,228.6,28.1,2.13,246.5,0.0,0.765,31.24,130,96,21,,
T,2013-09-17 21:21:45,43.454428000,-80.521383000,228.6,27.4,2.19,248.0,0.0,0.788,22.87,130,96,21,,
T,2013-09-17 21:21:52,43.454163000,-80.521967000,228.6,28.6,2.10,238.0,0.0,0.843,55.69,132,101,21,,
T,2013-09-17 21:21:58,43.453868000,-80.522349000,228.6,27.0,2.22,223.2,0.0,0.888,45.06,131,97,21,,
T,2013-09-17 21:22:03,43.453619000,-80.522538000,228.6,22.8,2.64,208.9,0.0,0.920,31.61,129,0,21,,
T,2013-09-17 21:22:04,43.453585000,-80.522561000,229.0,15.2,3.96,206.2,9.5,0.924,4.21,128,17,21,,
T,2013-09-17 21:22:05,43.453579000,-80.522615000,229.6,15.9,3.77,261.3,13.6,0.929,4.42,127,68,21,,
T,2013-09-17 21:22:06,43.453603000,-80.522673000,230.0,19.4,3.09,299.7,7.4,0.934,5.40,127,68,21,,
T,2013-09-17 21:22:07,43.453643000,-80.522723000,230.4,21.6,2.77,317.8,6.7,0.940,6.01,127,67,21,,
T,2013-09-17 21:22:08,43.453682000,-80.522767000,230.8,20.2,2.97,320.7,7.1,0.946,5.61,127,68,21,,
T,2013-09-17 21:22:09,43.453695000,-80.522827000,230.8,18.2,3.29,286.6,0.0,0.951,5.07,127,71,21,,
T,2013-09-17 21:22:12,43.453636000,-80.523024000,230.8,20.7,2.90,247.6,0.0,0.968,17.24,129,78,21,,
T,2013-09-17 21:22:14,43.453618000,-80.523162000,230.8,20.4,2.94,259.8,0.0,0.979,11.35,130,80,21,,
T,2013-09-17 21:22:16,43.453601000,-80.523284000,231.2,18.1,3.32,259.1,4.0,0.989,10.05,131,81,21,,
T,2013-09-17 21:22:18,43.453601000,-80.523284000,231.6,0.0,,259.1,,0.989,0.00,132,81,21,,
T,2013-09-17 21:22:19,43.453582000,-80.523519000,232.0,68.9,0.87,263.6,2.1,1.009,19.14,133,89,21,,
T,2013-09-17 21:22:20,43.453579000,-80.523584000,232.4,19.0,3.16,266.4,7.6,1.014,5.27,133,89,21,,
T,2013-09-17 21:22:21,43.453572000,-80.523654000,232.8,20.6,2.91,262.2,7.0,1.020,5.72,134,89,21,,
T,2013-09-17 21:22:24,43.453561000,-80.523861000,232.8,20.2,2.98,265.8,0.0,1.036,16.80,135,94,21,,
T,2013-09-17 21:22:25,43.453553000,-80.523928000,232.8,19.8,3.03,260.7,0.0,1.042,5.50,135,94,21,,
T,2013-09-17 21:22:27,43.453551000,-80.524071000,233.4,20.8,2.88,268.9,5.2,1.053,11.58,137,97,21,,
T,2013-09-17 21:22:28,43.453544000,-80.524134000,233.8,18.6,3.23,261.3,7.8,1.059,5.16,137,97,21,,
T,2013-09-17 21:22:29,43.453543000,-80.524202000,234.2,19.8,3.03,268.8,7.3,1.064,5.50,138,98,21,,
T,2013-09-17 21:22:30,43.453535000,-80.524266000,234.6,18.9,3.17,260.2,7.6,1.069,5.26,139,98,21,,
T,2013-09-17 21:22:31,43.453532000,-80.524331000,235.2,19.0,3.16,266.4,11.4,1.075,5.27,140,98,21,,
T,2013-09-17 21:22:35,43.453510000,-80.524620000,235.2,21.2,2.83,264.0,0.0,1.098,23.52,143,91,21,,
T,2013-09-17 21:22:36,43.453508000,-80.524690000,235.2,20.4,2.94,267.7,0.0,1.104,5.67,143,92,21,,
T,2013-09-17 21:22:38,43.453496000,-80.524851000,235.6,23.6,2.54,264.1,3.1,1.117,13.10,144,92,21,,
T,2013-09-17 21:22:39,43.453486000,-80.524934000,236.0,24.5,2.45,260.6,5.9,1.124,6.81,144,92,21,,
T,2013-09-17 21:22:40,43.453471000,-80.525016000,236.4,24.6,2.44,255.9,5.8,1.131,6.84,144,92,21,,
T,2013-09-17 21:22:41,43.453454000,-80.525097000,236.8,24.6,2.44,253.9,5.9,1.137,6.82,145,92,21,,
T,2013-09-17 21:22:42,43.453436000,-80.525178000,237.2,24.7,2.43,253.0,5.8,1.144,6.85,145,93,21,,
T,2013-09-17 21:22:43,43.453416000,-80.525265000,237.2,26.6,2.26,252.4,0.0,1.152,7.38,146,93,21,,
T,2013-09-17 21:22:50,43.453287000,-80.525767000,237.2,22.2,2.71,250.5,0.0,1.195,43.08,148,78,21,,
T,2013-09-17 21:22:53,43.453236000,-80.525964000,237.2,20.3,2.95,250.4,0.0,1.212,16.92,145,0,21,,
T,2013-09-17 21:22:55,43.453205000,-80.526037000,237.2,12.3,4.87,239.7,0.0,1.218,6.84,142,0,21,,
T,2013-09-17 21:22:58,43.453187000,-80.526076000,237.2,4.5,13.38,237.6,0.0,1.222,3.74,139,26,21,,
T,2013-09-17 21:22:59,43.453182000,-80.526087000,237.2,3.8,15.88,237.9,0.0,1.223,1.05,138,35,21,,
T,2013-09-17 21:23:00,43.453178000,-80.526092000,237.2,2.2,27.73,222.2,0.0,1.224,0.60,138,35,21,,
T,2013-09-17 21:23:01,43.453174000,-80.526101000,237.2,3.1,19.53,238.5,0.0,1.225,0.85,137,8,21,,
T,2013-09-17 21:23:07,43.453127000,-80.526204000,237.2,5.9,10.17,237.8,0.0,1.235,9.84,134,0,21,,
T,2013-09-17 21:23:08,43.453114000,-80.526252000,237.2,14.9,4.02,249.5,0.0,1.239,4.14,133,0,21,,
T,2013-09-17 21:23:09,43.453102000,-80.526279000,237.2,9.2,6.51,238.5,0.0,1.241,2.56,130,0,21,,
T,2013-09-17 21:23:11,43.453090000,-80.526275000,237.2,2.5,24.30,166.4,0.0,1.243,1.37,126,0,21,,
T,2013-09-17 21:23:22,43.453058000,-80.526423000,237.2,4.1,14.67,253.4,0.0,1.255,12.50,118,44,21,,
T,2013-09-17 21:23:23,43.453087000,-80.526464000,237.2,16.7,3.60,314.3,0.0,1.260,4.63,120,59,21,,
T,2013-09-17 21:23:25,43.453158000,-80.526549000,237.2,18.8,3.18,319.0,0.0,1.270,10.47,124,68,21,,
T,2013-09-17 21:23:27,43.453246000,-80.526627000,237.2,20.9,2.86,327.2,0.0,1.282,11.64,127,72,21,,
T,2013-09-17 21:23:28,43.453291000,-80.526664000,237.6,21.0,2.86,329.2,6.9,1.288,5.83,128,72,21,,
T,2013-09-17 21:23:29,43.453337000,-80.526701000,238.0,21.3,2.81,329.7,6.8,1.294,5.92,131,71,21,,
T,2013-09-17 21:23:30,43.453386000,-80.526741000,238.4,22.8,2.63,329.3,6.3,1.300,6.33,132,72,21,,
T,2013-09-17 21:23:31,43.453434000,-80.526777000,239.0,21.9,2.74,331.4,9.9,1.306,6.08,135,73,21,,
T,2013-09-17 21:23:32,43.453478000,-80.526808000,239.4,19.8,3.03,332.9,7.3,1.312,5.49,136,75,21,,
T,2013-09-17 21:23:34,43.453568000,-80.526884000,239.4,21.1,2.84,328.5,0.0,1.323,11.74,139,76,21,,
T,2013-09-17 21:23:35,43.453615000,-80.526919000,239.4,21.4,2.81,331.6,0.0,1.329,5.94,140,77,21,,
T,2013-09-17 21:23:37,43.453717000,-80.526982000,239.4,22.4,2.68,335.9,0.0,1.342,12.43,143,79,21,,
T,2013-09-17 21:23:38,43.453769000,-80.527019000,239.8,23.4,2.56,332.7,6.1,1.348,6.51,144,80,21,,
T,2013-09-17 21:23:39,43.453824000,-80.527055000,240.4,24.4,2.46,334.6,8.9,1.355,6.77,145,80,21,,
