type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2010-10-03 12:46:17,43.393272000,-80.574415000,382.0,,,,,0.000,,,,,Tour de Hans,
T,2010-10-03 12:46:48,43.393272000,-80.574415000,381.9,0.0,,,,0.000,0.00,,,,,
T,2010-10-03 12:49:25,43.393476000,-80.574658000,381.9,0.7,87.16,319.1,0.0,0.030,30.02,,,,,
T,2010-10-03 12:49:26,43.393476000,-80.574658000,381.8,0.0,,319.1,,0.030,0.00,,,,,
T,2010-10-03 12:49:27,43.393476000,-80.574658000,381.5,0.0,,319.1,,0.030,0.00,,,,,
T,2010-10-03 12:49:28,43.393476000,-80.574658000,381.4,0.0,,319.1,,0.030,0.00,,,,,
T,2010-10-03 12:50:33,43.393593000,-80.575030000,381.2,1.8,33.01,293.4,-0.6,0.063,32.82,,,,,
T,2010-10-03 12:50:36,43.393578000,-80.575199000,381.1,16.6,3.62,263.0,-0.7,0.077,13.79,,,,,
T,2010-10-03 12:50:38,43.393561000,-80.575346000,381.0,21.7,2.76,261.0,-0.8,0.089,12.06,,,,,
T,2010-10-03 12:50:40,43.393542000,-80.575504000,380.7,23.4,2.57,260.6,-2.3,0.102,12.97,,,,,
T,2010-10-03 12:50:43,43.393501000,-80.575783000,379.9,27.7,2.17,258.6,-3.5,0.125,23.06,,,,,
T,2010-10-03 12:50:46,43.393452000,-80.576090000,379.1,30.6,1.96,257.6,-3.1,0.150,25.46,,,,,
T,2010-10-03 12:50:49,43.393408000,-80.576393000,378.8,30.0,2.00,258.7,-1.2,0.175,25.03,,,,,
T,2010-10-03 12:50:52,43.393357000,-80.576691000,378.6,29.8,2.02,256.7,-0.8,0.200,24.80,,,,,
T,2010-10-03 12:50:55,43.393314000,-80.576998000,378.2,30.4,1.97,259.1,-1.6,0.225,25.33,,,,,
T,2010-10-03 12:50:57,43.393282000,-80.577208000,377.5,31.3,1.92,258.2,-4.0,0.243,17.38,,,,,
T,2010-10-03 12:51:00,43.393229000,-80.577535000,377.0,32.6,1.84,257.4,-1.8,0.270,27.14,,,,,
T,2010-10-03 12:51:03,43.393181000,-80.577876000,376.6,33.8,1.78,259.0,-1.4,0.298,28.14,,,,,
T,2010-10-03 12:51:06,43.393130000,-80.578228000,376.1,34.9,1.72,258.7,-1.7,0.327,29.08,,,,,
T,2010-10-03 12:51:09,43.393079000,-80.578589000,375.5,35.8,1.68,259.0,-2.0,0.357,29.79,,,,,
T,2010-10-03 12:51:11,43.393043000,-80.578835000,375.0,36.6,1.64,258.6,-2.5,0.377,20.33,,,,,
T,2010-10-03 12:51:14,43.392989000,-80.579205000,374.6,36.7,1.64,258.6,-1.3,0.408,30.57,,,,,
T,2010-10-03 12:51:17,43.392934000,-80.579576000,374.3,36.8,1.63,258.5,-1.0,0.438,30.67,,,,,
T,2010-10-03 12:51:19,43.392897000,-80.579824000,374.0,36.9,1.63,258.4,-1.5,0.459,20.51,,,,,
T,2010-10-03 12:51:22,43.392844000,-80.580191000,373.8,36.4,1.65,258.8,-0.7,0.489,30.31,,,,,
T,2010-10-03 12:51:25,43.392793000,-80.580553000,373.7,35.8,1.67,259.0,-0.3,0.519,29.87,,,,,
T,2010-10-03 12:51:27,43.392767000,-80.580789000,373.4,34.8,1.72,261.4,-1.6,0.538,19.34,,,,,
T,2010-10-03 12:51:30,43.392720000,-80.581139000,372.9,34.6,1.73,259.5,-1.7,0.567,28.83,,,,,
T,2010-10-03 12:51:32,43.392688000,-80.581367000,372.1,33.9,1.77,259.1,-4.3,0.586,18.81,,,,,
T,2010-10-03 12:51:35,43.392636000,-80.581705000,371.0,33.6,1.79,258.0,-3.9,0.614,27.99,,,,,
T,2010-10-03 12:51:38,43.392553000,-80.582023000,370.1,32.8,1.83,250.2,-3.3,0.641,27.36,,,,,
T,2010-10-03 12:51:40,43.392438000,-80.582135000,369.6,28.2,2.13,215.3,-3.2,0.657,15.67,,,,,
T,2010-10-03 12:51:42,43.392308000,-80.582119000,369.2,26.1,2.30,174.9,-2.8,0.672,14.50,,,,,
