type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-06-05 20:25:34,43.450640000,-80.516929000,349.0,,,,,0.000,,89,69,23,"05/06/2013 Kitchener, ON, Canada",
T,2013-06-05 20:25:35,43.450653000,-80.516910000,348.0,7.6,7.90,46.7,-47.4,0.002,2.11,90,69,23,,
T,2013-06-05 20:25:36,43.450666000,-80.516887000,347.4,8.5,7.07,52.1,-25.5,0.004,2.36,90,69,23,,
T,2013-06-05 20:25:37,43.450685000,-80.516861000,347.2,10.7,5.59,44.8,-6.7,0.007,2.98,90,69,23,,
T,2013-06-05 20:25:38,43.450708000,-80.516841000,347.0,10.9,5.51,32.3,-6.6,0.010,3.02,89,69,23,,
T,2013-06-05 20:25:39,43.450729000,-80.516823000,283.6,9.9,6.06,31.9,-2304.9,0.013,2.75,89,69,23,,
T,2013-06-05 20:25:40,43.450749000,-80.516819000,283.2,8.1,7.42,8.3,-17.8,0.015,2.25,89,69,23,,
T,2013-06-05 20:25:44,43.450816000,-80.516717000,283.2,10.0,6.00,47.9,0.0,0.027,11.12,90,69,23,,
T,2013-06-05 20:25:45,43.450833000,-80.516681000,283.2,12.5,4.80,57.0,0.0,0.030,3.47,90,69,23,,
T,2013-06-05 20:25:49,43.450875000,-80.516646000,283.2,4.9,12.21,31.2,0.0,0.036,5.46,90,69,23,,
T,2013-06-05 20:25:50,43.450894000,-80.516647000,283.2,7.6,7.89,357.8,0.0,0.038,2.11,91,89,23,,
T,2013-06-05 20:25:51,43.450894000,-80.516647000,283.2,0.0,,357.8,,0.038,0.00,94,97,23,,
T,2013-06-05 20:25:52,43.451003000,-80.516658000,283.2,43.7,1.37,355.8,0.0,0.050,12.14,97,94,23,,
T,2013-06-05 20:25:53,43.451059000,-80.516668000,283.2,22.6,2.66,352.6,0.0,0.056,6.27,101,92,23,,
T,2013-06-05 20:25:54,43.451109000,-80.516680000,283.2,20.3,2.96,350.1,0.0,0.062,5.64,102,95,23,,
T,2013-06-05 20:25:55,43.451153000,-80.516701000,283.2,18.6,3.22,340.9,0.0,0.067,5.18,105,95,23,,
T,2013-06-05 20:25:56,43.451191000,-80.516729000,283.2,17.3,3.48,331.9,0.0,0.072,4.79,108,98,23,,
T,2013-06-05 20:25:57,43.451222000,-80.516760000,283.2,15.3,3.91,324.0,0.0,0.076,4.26,111,97,23,,
T,2013-06-05 20:25:59,43.451410000,-80.516701000,283.2,38.6,1.56,12.8,0.0,0.097,21.43,114,103,23,,
T,2013-06-05 20:26:01,43.451503000,-80.516746000,283.2,19.7,3.04,340.6,0.0,0.108,10.96,117,107,23,,
T,2013-06-05 20:26:04,43.451665000,-80.516823000,283.2,22.9,2.63,341.0,0.0,0.127,19.05,121,100,23,,
T,2013-06-05 20:26:06,43.451764000,-80.516862000,283.2,20.6,2.91,344.0,0.0,0.139,11.44,122,75,23,,
T,2013-06-05 20:26:07,43.451804000,-80.516864000,283.2,16.0,3.75,357.9,0.0,0.143,4.45,122,0,23,,
T,2013-06-05 20:26:11,43.451909000,-80.516788000,283.2,11.9,5.06,27.7,0.0,0.156,13.19,120,47,23,,
T,2013-06-05 20:26:14,43.451988000,-80.516603000,283.2,20.8,2.88,59.5,0.0,0.174,17.36,119,86,23,,
T,2013-06-05 20:26:19,43.452152000,-80.516243000,283.2,24.7,2.42,57.9,0.0,0.208,34.37,118,0,23,,
T,2013-06-05 20:26:22,43.452234000,-80.516135000,283.2,15.2,3.96,43.7,0.0,0.221,12.63,118,0,23,,
T,2013-06-05 20:26:24,43.452286000,-80.516134000,283.2,10.4,5.77,0.8,0.0,0.227,5.78,118,0,23,,
T,2013-06-05 20:26:25,43.452317000,-80.516145000,283.2,12.8,4.69,345.6,0.0,0.230,3.56,118,0,23,,
T,2013-06-05 20:26:30,43.452495000,-80.516266000,283.2,15.9,3.78,333.7,0.0,0.252,22.07,119,87,23,,
T,2013-06-05 20:26:32,43.452585000,-80.516327000,283.2,20.1,2.99,333.8,0.0,0.263,11.15,122,97,23,,
T,2013-06-05 20:26:35,43.452728000,-80.516427000,283.2,21.4,2.80,333.1,0.0,0.281,17.83,125,101,23,,
T,2013-06-05 20:26:36,43.452763000,-80.516466000,283.2,18.0,3.33,321.0,0.0,0.286,5.01,126,102,23,,
T,2013-06-05 20:26:39,43.452908000,-80.516573000,283.2,21.9,2.73,331.8,0.0,0.304,18.29,130,102,23,,
T,2013-06-05 20:26:41,43.453002000,-80.516647000,283.2,21.7,2.77,330.3,0.0,0.316,12.04,133,101,23,,
T,2013-06-05 20:26:44,43.453149000,-80.516741000,283.2,21.6,2.78,335.1,0.0,0.335,18.02,135,104,23,,
T,2013-06-05 20:26:48,43.453363000,-80.516882000,283.2,23.7,2.53,334.4,0.0,0.361,26.37,138,99,23,,
T,2013-06-05 20:26:50,43.453463000,-80.516964000,283.2,23.3,2.58,329.2,0.0,0.374,12.94,139,101,23,,
T,2013-06-05 20:26:56,43.453787000,-80.517197000,283.2,24.4,2.46,332.4,0.0,0.414,40.64,139,104,23,,
T,2013-06-05 20:27:04,43.454243000,-80.517521000,283.2,25.7,2.34,332.7,0.0,0.472,57.05,136,102,23,,
T,2013-06-05 20:27:07,43.454410000,-80.517643000,283.2,25.2,2.38,332.1,0.0,0.493,21.02,137,102,23,,
T,2013-06-05 20:27:16,43.454913000,-80.518011000,283.2,25.3,2.37,332.0,0.0,0.556,63.33,139,103,23,,
T,2013-06-05 20:27:18,43.455028000,-80.518092000,283.2,25.8,2.32,332.9,0.0,0.570,14.36,139,83,23,,
T,2013-06-05 20:27:20,43.455130000,-80.518167000,283.2,23.1,2.59,331.9,0.0,0.583,12.86,139,20,23,,
T,2013-06-05 20:27:22,43.455213000,-80.518199000,283.2,17.2,3.48,344.4,0.0,0.593,9.58,136,0,23,,
T,2013-06-05 20:27:23,43.455237000,-80.518207000,283.2,9.9,6.07,346.4,0.0,0.595,2.74,134,0,23,,
T,2013-06-05 20:27:25,43.455284000,-80.518230000,283.2,10.0,6.01,340.4,0.0,0.601,5.54,130,0,23,,
T,2013-06-05 20:27:26,43.455307000,-80.518230000,283.2,9.2,6.52,0.0,0.0,0.603,2.56,128,0,23,,
T,2013-06-05 20:27:28,43.455343000,-80.518195000,283.2,8.8,6.80,35.2,0.0,0.608,4.90,125,0,23,,
T,2013-06-05 20:27:29,43.455365000,-80.518173000,283.2,10.9,5.51,36.0,0.0,0.611,3.02,125,0,23,,
T,2013-06-05 20:27:30,43.455377000,-80.518159000,283.2,6.3,9.53,40.3,0.0,0.613,1.75,124,44,23,,
T,2013-06-05 20:27:32,43.455411000,-80.518159000,283.2,6.8,8.82,0.0,0.0,0.617,3.78,124,60,23,,
T,2013-06-05 20:27:34,43.455446000,-80.518209000,283.2,10.1,5.94,314.0,0.0,0.623,5.61,123,49,23,,
T,2013-06-05 20:27:37,43.455433000,-80.518380000,283.2,16.7,3.59,264.0,0.0,0.636,13.92,120,76,23,,
T,2013-06-05 20:27:38,43.455408000,-80.518436000,283.2,19.1,3.14,238.4,0.0,0.642,5.32,120,75,23,,
T,2013-06-05 20:27:42,43.455363000,-80.518582000,283.2,11.5,5.20,247.0,0.0,0.655,12.83,122,0,23,,
T,2013-06-05 20:27:46,43.455338000,-80.518631000,283.2,4.4,13.77,234.9,0.0,0.659,4.84,119,0,23,,
T,2013-06-05 20:27:47,43.455326000,-80.518644000,283.2,6.1,9.81,218.2,0.0,0.661,1.70,118,0,23,,
T,2013-06-05 20:27:50,43.455278000,-80.518790000,283.2,15.6,3.86,245.6,0.0,0.674,12.96,121,58,23,,
T,2013-06-05 20:27:52,43.455281000,-80.518888000,283.2,14.3,4.20,272.4,0.0,0.682,7.94,124,65,23,,
T,2013-06-05 20:27:54,43.455263000,-80.519010000,283.2,18.1,3.31,258.5,0.0,0.692,10.07,126,80,23,,
T,2013-06-05 20:27:56,43.455227000,-80.519133000,283.2,19.3,3.11,248.0,0.0,0.703,10.73,129,89,23,,
T,2013-06-05 20:28:01,43.455098000,-80.519506000,283.2,24.1,2.49,244.5,0.0,0.736,33.42,130,101,23,,
T,2013-06-05 20:28:05,43.454997000,-80.519798000,283.2,23.5,2.55,244.5,0.0,0.762,26.16,131,105,23,,
T,2013-06-05 20:28:06,43.454967000,-80.519868000,283.2,23.7,2.54,239.4,0.0,0.769,6.57,131,105,24,,
T,2013-06-05 20:28:08,43.454903000,-80.520009000,283.2,24.2,2.48,238.0,0.0,0.782,13.45,131,94,24,,
T,2013-06-05 20:28:11,43.454809000,-80.520255000,283.2,27.0,2.22,242.2,0.0,0.805,22.48,133,94,24,,
T,2013-06-05 20:28:13,43.454753000,-80.520417000,283.2,26.1,2.30,244.5,0.0,0.819,14.51,134,96,24,,
T,2013-06-05 20:28:18,43.454605000,-80.520837000,283.2,27.2,2.21,244.1,0.0,0.857,37.76,135,97,24,,
T,2013-06-05 20:28:25,43.454394000,-80.521423000,283.2,27.2,2.21,243.6,0.0,0.910,52.91,136,95,24,,
T,2013-06-05 20:28:30,43.454216000,-80.521806000,283.2,26.5,2.27,237.4,0.0,0.947,36.77,136,89,24,,
T,2013-06-05 20:28:31,43.454176000,-80.521882000,283.2,27.3,2.20,234.1,0.0,0.954,7.59,136,90,24,,
T,2013-06-05 20:28:34,43.454049000,-80.522090000,283.8,26.4,2.28,229.9,2.7,0.976,21.97,136,98,24,,
T,2013-06-05 20:28:35,43.454006000,-80.522155000,284.4,25.6,2.35,227.7,8.4,0.984,7.11,136,97,24,,
T,2013-06-05 20:28:36,43.453961000,-80.522217000,285.0,25.5,2.35,225.0,8.5,0.991,7.08,136,97,24,,
T,2013-06-05 20:28:37,43.453915000,-80.522273000,285.6,24.6,2.44,221.5,8.8,0.997,6.83,135,96,24,,
T,2013-06-05 20:28:38,43.453868000,-80.522330000,286.2,25.1,2.39,221.4,8.6,1.004,6.97,136,96,24,,
T,2013-06-05 20:28:39,43.453821000,-80.522384000,286.2,24.5,2.45,219.8,0.0,1.011,6.81,136,96,24,,
T,2013-06-05 20:28:40,43.453770000,-80.522431000,286.2,24.6,2.44,213.8,0.0,1.018,6.82,136,97,24,,
T,2013-06-05 20:28:44,43.453554000,-80.522573000,286.2,23.9,2.51,205.5,0.0,1.045,26.61,137,92,24,,
T,2013-06-05 20:28:52,43.453095000,-80.522820000,286.2,24.6,2.43,201.3,0.0,1.099,54.77,138,95,24,,
T,2013-06-05 20:28:57,43.452811000,-80.523002000,286.6,25.1,2.39,204.9,1.1,1.134,34.82,140,98,24,,
T,2013-06-05 20:28:58,43.452764000,-80.523056000,287.0,24.5,2.45,219.8,5.9,1.141,6.81,140,75,24,,
T,2013-06-05 20:28:59,43.452723000,-80.523120000,287.4,24.8,2.42,228.6,5.8,1.148,6.90,141,83,24,,
T,2013-06-05 20:29:00,43.452685000,-80.523180000,288.0,23.2,2.59,228.9,9.3,1.154,6.43,141,95,24,,
T,2013-06-05 20:29:01,43.452649000,-80.523241000,288.4,22.9,2.62,230.9,6.3,1.161,6.35,141,96,24,,
T,2013-06-05 20:29:03,43.452590000,-80.523383000,288.4,23.8,2.52,240.2,0.0,1.174,13.23,141,97,24,,
T,2013-06-05 20:29:04,43.452568000,-80.523454000,288.4,22.5,2.67,246.9,0.0,1.180,6.24,141,97,24,,
T,2013-06-05 20:29:10,43.452478000,-80.523904000,288.4,22.7,2.65,254.6,0.0,1.218,37.77,140,100,24,,
T,2013-06-05 20:29:15,43.452406000,-80.524304000,288.4,24.0,2.50,256.1,0.0,1.251,33.35,140,100,24,,
T,2013-06-05 20:29:16,43.452384000,-80.524388000,288.4,26.0,2.31,250.2,0.0,1.259,7.22,140,101,24,,
T,2013-06-05 20:29:21,43.452313000,-80.524790000,288.4,24.1,2.49,256.3,0.0,1.292,33.48,139,0,24,,
T,2013-06-05 20:29:24,43.452278000,-80.525014000,288.4,22.3,2.70,257.9,0.0,1.311,18.54,136,0,24,,
T,2013-06-05 20:29:26,43.452263000,-80.525121000,288.4,15.9,3.78,259.1,0.0,1.319,8.82,133,0,24,,
T,2013-06-05 20:29:27,43.452255000,-80.525172000,288.4,15.2,3.95,257.8,0.0,1.324,4.22,132,0,24,,
T,2013-06-05 20:29:30,43.452245000,-80.525277000,288.4,10.3,5.83,262.5,0.0,1.332,8.57,129,0,24,,
T,2013-06-05 20:29:33,43.452225000,-80.525328000,288.4,5.6,10.67,241.6,0.0,1.337,4.69,128,0,24,,
T,2013-06-05 20:29:36,43.452226000,-80.525352000,288.4,2.3,25.70,273.3,0.0,1.339,1.95,125,0,24,,
T,2013-06-05 20:29:40,43.452226000,-80.525356000,288.4,0.3,205.91,270.0,0.0,1.339,0.32,122,0,24,,
T,2013-06-05 20:29:44,43.452226000,-80.525357000,288.4,0.1,823.65,270.0,0.0,1.339,0.08,119,0,24,,
T,2013-06-05 20:29:46,43.452226000,-80.525357000,288.4,0.0,,270.0,,1.339,0.00,116,0,24,,
T,2013-06-05 20:29:49,43.452226000,-80.525357000,288.4,0.0,,270.0,,1.339,0.00,113,0,24,,
T,2013-06-05 20:29:54,43.452226000,-80.525357000,288.4,0.0,,270.0,,1.339,0.00,116,0,23,,
T,2013-06-05 20:29:57,43.452226000,-80.525357000,288.4,0.0,,270.0,,1.339,0.00,112,0,23,,
T,2013-06-05 20:29:59,43.452224000,-80.525366000,288.4,1.4,43.77,253.0,0.0,1.340,0.76,108,0,23,,
T,2013-06-05 20:30:01,43.452194000,-80.525390000,288.4,6.9,8.64,210.1,0.0,1.344,3.86,109,55,23,,
T,2013-06-05 20:30:02,43.452147000,-80.525455000,288.4,26.7,2.25,225.1,0.0,1.351,7.41,112,61,23,,
T,2013-06-05 20:30:04,43.452044000,-80.525535000,288.4,23.7,2.54,209.4,0.0,1.364,13.15,117,63,23,,
T,2013-06-05 20:30:05,43.451993000,-80.525521000,288.4,20.8,2.88,168.7,0.0,1.370,5.78,119,63,23,,
T,2013-06-05 20:30:06,43.451944000,-80.525495000,288.4,21.0,2.86,158.9,0.0,1.376,5.84,121,84,23,,
T,2013-06-05 20:30:08,43.451839000,-80.525426000,288.4,23.3,2.58,154.5,0.0,1.389,12.93,125,101,23,,
T,2013-06-05 20:30:10,43.451732000,-80.525357000,288.4,23.6,2.54,154.9,0.0,1.402,13.13,128,103,23,,
T,2013-06-05 20:30:12,43.451630000,-80.525290000,288.8,22.6,2.65,154.5,3.2,1.415,12.56,130,104,23,,
T,2013-06-05 20:30:13,43.451579000,-80.525257000,289.2,22.6,2.66,154.8,6.4,1.421,6.26,130,104,23,,
T,2013-06-05 20:30:14,43.451526000,-80.525224000,289.6,23.3,2.58,155.7,6.2,1.427,6.47,130,104,23,,
T,2013-06-05 20:30:15,43.451473000,-80.525191000,290.2,23.3,2.58,155.7,9.3,1.434,6.47,130,104,23,,
