type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-08-18 21:16:20,43.377147000,-80.979559000,363.0,,,,,0.000,,,,,2012-08-18 Back To KW,
T,2012-08-18 21:17:02,43.377336000,-80.979589000,363.3,1.8,33.12,353.4,1.4,0.021,21.14,,,,,
T,2012-08-18 21:17:06,43.377242000,-80.979519000,363.1,10.7,5.61,151.6,-1.7,0.033,11.88,,,,,
T,2012-08-18 21:17:09,43.377227000,-80.979468000,363.1,5.3,11.22,112.0,0.0,0.037,4.46,,,,,
T,2012-08-18 21:17:12,43.377252000,-80.979354000,363.0,11.6,5.18,73.2,-1.0,0.047,9.65,,,,,
T,2012-08-18 21:17:15,43.377291000,-80.979149000,362.9,20.6,2.91,75.3,-0.6,0.064,17.17,,,,,
T,2012-08-18 21:17:18,43.377343000,-80.978918000,362.8,23.5,2.55,72.8,-0.5,0.084,19.59,,,,,
T,2012-08-18 21:17:21,43.377401000,-80.978689000,362.7,23.6,2.55,70.8,-0.5,0.104,19.65,,,,,
T,2012-08-18 21:17:24,43.377461000,-80.978462000,362.6,23.5,2.56,70.0,-0.5,0.123,19.57,,,,,
T,2012-08-18 21:17:27,43.377530000,-80.978231000,362.4,24.3,2.47,67.7,-1.0,0.143,20.23,,,,,
T,2012-08-18 21:17:30,43.377604000,-80.977991000,362.3,25.3,2.37,67.0,-0.5,0.164,21.12,,,,,
T,2012-08-18 21:17:33,43.377679000,-80.977752000,362.1,25.3,2.37,66.6,-0.9,0.186,21.08,,,,,
T,2012-08-18 21:17:36,43.377762000,-80.977527000,361.8,24.5,2.45,63.1,-1.5,0.206,20.43,,,,,
T,2012-08-18 21:17:39,43.377831000,-80.977291000,361.4,24.7,2.43,68.1,-1.9,0.227,20.60,,,,,
T,2012-08-18 21:17:42,43.377895000,-80.977052000,360.9,24.8,2.42,69.8,-2.4,0.247,20.63,,,,,
T,2012-08-18 21:17:45,43.377981000,-80.976789000,360.2,28.0,2.14,65.8,-3.0,0.271,23.36,,,,,
T,2012-08-18 21:17:48,43.378079000,-80.976473000,359.3,33.4,1.80,66.9,-3.2,0.298,27.83,,,,,
T,2012-08-18 21:17:51,43.378177000,-80.976155000,358.4,33.6,1.79,67.0,-3.2,0.326,27.98,,,,,
