type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-06-29 13:18:46,43.451803000,-80.516885000,327.8,,,,,0.000,,111,77,25,"29/06/2013 Kitchener, ON, Canada",
T,2013-06-29 13:18:48,43.451803000,-80.516885000,327.8,0.0,,,,0.000,0.00,114,85,25,,
T,2013-06-29 13:18:50,43.451803000,-80.516885000,327.8,0.0,,,,0.000,0.00,117,87,25,,
T,2013-06-29 13:18:52,43.451803000,-80.516885000,327.8,0.0,,,,0.000,0.00,120,87,25,,
T,2013-06-29 13:19:00,43.451803000,-80.516885000,327.8,0.0,,,,0.000,0.00,117,55,25,,
T,2013-06-29 13:19:07,43.451803000,-80.516885000,327.8,0.0,,,,0.000,0.00,119,91,25,,
T,2013-06-29 13:19:10,43.451939000,-80.516979000,327.8,20.3,2.96,333.4,0.0,0.017,16.92,121,97,25,,
T,2013-06-29 13:19:13,43.452073000,-80.517077000,327.8,20.2,2.96,332.0,0.0,0.034,16.87,124,116,25,,
T,2013-06-29 13:19:14,43.452120000,-80.517115000,327.8,21.8,2.75,329.6,0.0,0.040,6.06,124,123,25,,
T,2013-06-29 13:19:16,43.452157000,-80.517213000,327.8,16.1,3.73,297.5,0.0,0.049,8.93,124,61,25,,
T,2013-06-29 13:19:19,43.452136000,-80.517316000,327.8,10.4,5.78,254.3,0.0,0.057,8.66,121,71,25,,
T,2013-06-29 13:19:20,43.452120000,-80.517354000,327.8,12.8,4.69,239.9,0.0,0.061,3.55,121,77,25,,
T,2013-06-29 13:19:25,43.452132000,-80.517500000,327.8,8.6,7.01,276.5,0.0,0.073,11.89,121,53,25,,
T,2013-06-29 13:19:29,43.452125000,-80.517557000,327.8,4.2,14.25,260.4,0.0,0.078,4.68,123,0,25,,
T,2013-06-29 13:21:35,43.451886000,-80.517511000,437.8,0.8,78.32,172.0,410.2,0.104,26.81,98,0,25,,
T,2013-06-29 13:21:36,43.451911000,-80.517464000,437.8,17.0,3.54,53.8,0.0,0.109,4.71,98,0,25,,
T,2013-06-29 13:21:37,43.451943000,-80.517427000,437.8,16.7,3.59,40.0,0.0,0.114,4.65,100,0,25,,
