type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-08-06 21:46:28,43.450775000,-80.516774000,319.6,,,,,0.000,,112,77,24,"06/08/2013 Kitchener, ON, Canada: WCC Tue. Group 3",
T,2013-08-06 21:46:29,43.450816000,-80.516787000,319.6,16.8,3.56,347.0,0.0,0.005,4.68,112,77,24,,
T,2013-08-06 21:46:30,43.450842000,-80.516818000,319.6,13.8,4.36,319.1,0.0,0.009,3.83,112,57,24,,
T,2013-08-06 21:46:32,43.450847000,-80.516875000,319.6,8.4,7.17,276.9,0.0,0.013,4.65,112,87,24,,
T,2013-08-06 21:46:35,43.450848000,-80.516797000,319.6,7.6,7.92,89.0,0.0,0.019,6.31,111,87,24,,
T,2013-08-06 21:46:39,43.450993000,-80.516665000,319.6,17.4,3.45,33.5,0.0,0.039,19.33,110,0,24,,
T,2013-08-06 21:46:40,43.451018000,-80.516617000,319.6,17.2,3.49,54.3,0.0,0.044,4.78,110,0,24,,
T,2013-08-06 21:46:44,43.451069000,-80.516505000,319.6,9.6,6.24,57.9,0.0,0.054,10.69,106,58,24,,
T,2013-08-06 21:46:48,43.451160000,-80.516471000,319.6,9.4,6.36,15.2,0.0,0.065,10.48,109,78,24,,
T,2013-08-06 21:46:50,43.451160000,-80.516471000,319.6,0.0,,15.2,,0.065,0.00,113,80,24,,
T,2013-08-06 21:46:52,43.451268000,-80.516483000,317.8,21.7,2.77,355.4,-15.0,0.077,12.04,116,83,24,,
T,2013-08-06 21:46:54,43.451341000,-80.516498000,317.8,14.8,4.06,351.5,0.0,0.085,8.20,120,85,24,,
T,2013-08-06 21:46:56,43.451411000,-80.516510000,317.8,14.1,4.25,352.9,0.0,0.093,7.84,122,88,24,,
T,2013-08-06 21:47:03,43.451618000,-80.516663000,317.8,13.4,4.47,331.8,0.0,0.119,26.12,122,0,24,,
T,2013-08-06 21:47:05,43.451639000,-80.516675000,317.8,4.5,13.19,337.5,0.0,0.121,2.53,118,0,24,,
T,2013-08-06 21:47:08,43.451659000,-80.516688000,317.8,3.0,20.34,334.7,0.0,0.124,2.46,115,34,24,,
T,2013-08-06 21:47:09,43.451662000,-80.516694000,317.8,2.1,28.30,304.6,0.0,0.125,0.59,114,44,24,,
T,2013-08-06 21:47:10,43.451666000,-80.516697000,317.8,1.8,32.91,331.4,0.0,0.125,0.51,113,44,24,,
T,2013-08-06 21:47:13,43.451674000,-80.516703000,317.8,1.2,49.37,331.4,0.0,0.126,1.01,112,0,24,,
T,2013-08-06 21:47:24,43.451725000,-80.516746000,317.8,2.2,27.57,328.5,0.0,0.133,6.65,109,45,24,,
T,2013-08-06 21:47:26,43.451787000,-80.516792000,317.8,14.1,4.26,331.7,0.0,0.141,7.83,112,80,24,,
T,2013-08-06 21:47:28,43.451870000,-80.516842000,317.8,18.1,3.31,336.4,0.0,0.151,10.07,116,93,24,,
T,2013-08-06 21:47:29,43.451919000,-80.516865000,317.8,20.7,2.90,341.2,0.0,0.156,5.75,118,97,24,,
T,2013-08-06 21:47:31,43.452020000,-80.516915000,318.2,21.5,2.79,340.2,3.4,0.168,11.93,122,91,24,,
T,2013-08-06 21:47:32,43.452070000,-80.516939000,318.6,21.2,2.83,340.8,6.8,0.174,5.88,124,93,24,,
T,2013-08-06 21:47:33,43.452124000,-80.516966000,319.2,23.0,2.61,340.1,9.4,0.181,6.39,126,94,24,,
T,2013-08-06 21:47:34,43.452178000,-80.516990000,319.6,22.7,2.64,342.1,6.3,0.187,6.31,127,98,24,,
