type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-10-07 21:56:29,43.450359000,-80.516795000,338.6,,,,,0.000,,,,,2012-10-07,
T,2012-10-07 21:56:53,43.450543000,-80.516786000,337.8,3.1,19.55,2.0,-3.9,0.020,20.46,,,,,
T,2012-10-07 21:57:01,43.450590000,-80.516733000,337.5,3.0,19.73,39.3,-4.4,0.027,6.76,,,,,
T,2012-10-07 21:57:09,43.450653000,-80.516670000,337.1,3.9,15.40,36.0,-4.6,0.036,8.66,,,,,
T,2012-10-07 21:57:18,43.450766000,-80.516564000,336.4,6.1,9.86,34.3,-4.6,0.051,15.21,,,,,
T,2012-10-07 21:57:21,43.450789000,-80.516536000,336.2,4.1,14.64,41.5,-5.9,0.054,3.42,,,,,
T,2012-10-07 21:57:24,43.450826000,-80.516474000,336.0,7.8,7.71,50.6,-3.1,0.061,6.49,,,,,
T,2012-10-07 21:57:28,43.450835000,-80.516421000,336.0,4.0,15.13,76.8,0.0,0.065,4.40,,,,,
T,2012-10-07 21:57:33,43.450814000,-80.516354000,336.1,4.3,14.12,113.4,1.7,0.071,5.90,,,,,
T,2012-10-07 21:57:38,43.450795000,-80.516297000,336.2,3.7,16.42,114.7,2.0,0.076,5.07,,,,,
T,2012-10-07 21:57:46,43.450755000,-80.516169000,336.0,5.1,11.83,113.3,-1.8,0.088,11.27,,,,,
T,2012-10-07 21:57:54,43.450661000,-80.516081000,336.0,5.7,10.55,145.8,0.0,0.100,12.64,,,,,
T,2012-10-07 21:57:57,43.450594000,-80.516042000,336.1,9.7,6.18,157.1,1.2,0.108,8.09,,,,,
T,2012-10-07 21:58:00,43.450561000,-80.516013000,336.2,5.2,11.49,147.5,2.3,0.113,4.35,,,,,
T,2012-10-07 21:58:03,43.450508000,-80.515981000,336.3,7.7,7.77,156.3,1.6,0.119,6.43,,,,,
T,2012-10-07 21:58:06,43.450467000,-80.515960000,336.4,5.8,10.28,159.6,2.1,0.124,4.86,,,,,
T,2012-10-07 21:58:09,43.450409000,-80.515931000,336.4,8.2,7.29,160.1,0.0,0.131,6.86,,,,,
T,2012-10-07 21:58:12,43.450383000,-80.515915000,336.3,3.8,15.79,155.9,-3.2,0.134,3.17,,,,,
T,2012-10-07 21:58:15,43.450329000,-80.515879000,336.0,8.0,7.50,154.2,-4.5,0.141,6.67,,,,,
T,2012-10-07 21:58:26,43.450260000,-80.515845000,335.6,2.7,22.51,160.3,-4.9,0.149,8.15,,,,,
T,2012-10-07 21:58:29,43.450204000,-80.515810000,335.2,8.2,7.31,155.6,-5.9,0.156,6.84,,,,,
T,2012-10-07 21:58:32,43.450140000,-80.515760000,334.7,9.8,6.11,150.4,-6.1,0.164,8.18,,,,,
T,2012-10-07 21:58:35,43.450085000,-80.515711000,334.2,8.7,6.86,147.1,-6.9,0.171,7.28,,,,,
T,2012-10-07 21:58:38,43.450027000,-80.515670000,333.8,8.7,6.90,152.8,-5.5,0.178,7.25,,,,,
T,2012-10-07 21:58:41,43.449968000,-80.515635000,333.3,8.6,7.00,156.7,-7.0,0.186,7.14,,,,,
T,2012-10-07 21:58:45,43.449902000,-80.515593000,332.8,7.3,8.25,155.2,-6.2,0.194,8.08,,,,,
T,2012-10-07 21:58:48,43.449855000,-80.515560000,332.3,7.0,8.52,153.0,-8.5,0.199,5.87,,,,,
T,2012-10-07 21:58:51,43.449826000,-80.515539000,332.1,4.4,13.73,152.3,-5.5,0.203,3.64,,,,,
T,2012-10-07 21:58:56,43.449747000,-80.515499000,331.4,6.7,8.91,159.8,-7.5,0.212,9.36,,,,,
T,2012-10-07 21:58:59,43.449693000,-80.515477000,331.0,7.5,7.99,163.5,-6.4,0.219,6.26,,,,,
T,2012-10-07 21:59:02,43.449665000,-80.515465000,330.8,3.9,15.34,162.7,-6.1,0.222,3.26,,,,,
T,2012-10-07 21:59:05,43.449608000,-80.515430000,330.2,8.3,7.21,156.0,-8.6,0.229,6.94,,,,,
T,2012-10-07 21:59:11,43.449585000,-80.515410000,330.0,1.8,33.06,147.7,-6.6,0.232,3.02,,,,,
T,2012-10-07 21:59:15,43.449548000,-80.515383000,330.1,4.2,14.32,152.1,2.1,0.237,4.66,,,,,
T,2012-10-07 21:59:20,43.449480000,-80.515338000,330.3,6.0,9.94,154.3,2.4,0.245,8.39,,,,,
T,2012-10-07 21:59:28,43.449397000,-80.515273000,330.6,4.8,12.56,150.4,2.8,0.256,10.62,,,,,
T,2012-10-07 21:59:31,43.449331000,-80.515250000,330.8,9.1,6.61,165.8,2.6,0.263,7.57,,,,,
T,2012-10-07 21:59:36,43.449233000,-80.515203000,331.0,8.3,7.23,160.8,1.7,0.275,11.53,,,,,
T,2012-10-07 21:59:39,43.449181000,-80.515173000,331.2,7.5,7.98,157.3,3.2,0.281,6.27,,,,,
T,2012-10-07 21:59:44,43.449091000,-80.515119000,331.3,7.9,7.64,156.5,0.9,0.292,10.91,,,,,
T,2012-10-07 21:59:49,43.449008000,-80.515058000,331.5,7.5,7.97,151.9,1.9,0.302,10.46,,,,,
T,2012-10-07 21:59:52,43.448962000,-80.515015000,331.5,7.4,8.09,145.8,0.0,0.309,6.18,,,,,
T,2012-10-07 21:59:58,43.448873000,-80.514934000,331.6,7.1,8.43,146.5,0.8,0.320,11.86,,,,,
T,2012-10-07 22:00:02,43.448830000,-80.514893000,331.6,5.2,11.46,145.3,0.0,0.326,5.82,,,,,
T,2012-10-07 22:00:05,43.448796000,-80.514864000,331.6,5.3,11.24,148.2,0.0,0.331,4.45,,,,,
T,2012-10-07 22:00:17,43.448764000,-80.514820000,331.5,1.5,39.74,135.1,-2.0,0.336,5.03,,,,,
T,2012-10-07 22:00:38,43.448728000,-80.514806000,331.6,0.7,84.19,164.2,2.4,0.340,4.16,,,,,
T,2012-10-07 22:00:45,43.448667000,-80.514772000,331.6,3.8,15.95,158.0,0.0,0.347,7.31,,,,,
T,2012-10-07 22:00:59,43.448528000,-80.514678000,331.5,4.4,13.55,153.9,-0.6,0.364,17.22,,,,,
T,2012-10-07 22:01:04,43.448446000,-80.514625000,331.5,7.3,8.28,154.9,0.0,0.374,10.07,,,,,
T,2012-10-07 22:01:07,43.448394000,-80.514593000,331.5,7.6,7.90,155.9,0.0,0.381,6.33,,,,,
T,2012-10-07 22:01:10,43.448354000,-80.514566000,331.5,5.9,10.10,153.9,0.0,0.386,4.95,,,,,
T,2012-10-07 22:01:13,43.448271000,-80.514505000,331.5,12.6,4.78,151.9,0.0,0.396,10.46,,,,,
T,2012-10-07 22:01:18,43.448182000,-80.514436000,331.4,8.2,7.34,150.6,-0.9,0.408,11.36,,,,,
T,2012-10-07 22:01:23,43.448100000,-80.514381000,331.4,7.3,8.22,154.0,0.0,0.418,10.14,,,,,
T,2012-10-07 22:01:27,43.448043000,-80.514336000,331.3,6.6,9.13,150.2,-1.4,0.425,7.31,,,,,
T,2012-10-07 22:01:30,43.447996000,-80.514305000,331.3,7.0,8.63,154.4,0.0,0.431,5.79,,,,,
T,2012-10-07 22:01:34,43.447951000,-80.514271000,331.2,5.1,11.68,151.3,-1.8,0.437,5.71,,,,,
T,2012-10-07 22:01:39,43.447912000,-80.514235000,331.2,3.8,15.96,146.2,0.0,0.442,5.22,,,,,
T,2012-10-07 22:01:43,43.447864000,-80.514209000,331.1,5.2,11.63,158.5,-1.7,0.447,5.73,,,,,
T,2012-10-07 22:01:46,43.447821000,-80.514191000,331.0,6.0,10.01,163.1,-2.0,0.452,4.99,,,,,
T,2012-10-07 22:01:49,43.447771000,-80.514173000,330.9,6.9,8.71,165.4,-1.7,0.458,5.74,,,,,
T,2012-10-07 22:01:52,43.447723000,-80.514154000,330.9,6.7,9.01,164.0,0.0,0.464,5.55,,,,,
T,2012-10-07 22:01:55,43.447675000,-80.514123000,330.8,7.1,8.48,154.9,-1.7,0.470,5.89,,,,,
T,2012-10-07 22:02:01,43.447588000,-80.514059000,330.6,6.6,9.12,151.9,-1.8,0.481,10.97,,,,,
T,2012-10-07 22:02:04,43.447549000,-80.514020000,330.5,6.4,9.33,144.0,-1.9,0.486,5.36,,,,,
T,2012-10-07 22:02:07,43.447528000,-80.513959000,330.4,6.6,9.16,115.4,-1.8,0.491,5.46,,,,,
T,2012-10-07 22:02:10,43.447524000,-80.513887000,330.3,7.0,8.55,94.4,-1.7,0.497,5.85,,,,,
T,2012-10-07 22:02:13,43.447542000,-80.513811000,330.1,7.8,7.73,71.9,-3.1,0.504,6.47,,,,,
T,2012-10-07 22:02:18,43.447590000,-80.513688000,330.0,8.1,7.38,61.7,-0.9,0.515,11.29,,,,,
T,2012-10-07 22:02:21,43.447616000,-80.513619000,330.1,7.5,7.95,62.6,1.6,0.521,6.29,,,,,
