type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-09-18 20:26:53,43.450921000,-80.516584000,335.5,,,,,0.000,,,,,2012-09-18,
T,2012-09-18 20:26:56,43.451146000,-80.516514000,334.3,30.8,1.95,12.7,-4.7,0.026,25.63,,,,,
T,2012-09-18 20:27:00,43.451325000,-80.516518000,333.6,17.9,3.35,359.1,-3.5,0.046,19.89,,,,,
T,2012-09-18 20:27:04,43.451369000,-80.516539000,333.6,4.7,12.88,340.9,0.0,0.051,5.18,,,,,
T,2012-09-18 20:27:11,43.451509000,-80.516563000,333.5,8.1,7.44,352.9,-0.6,0.066,15.68,,,,,
T,2012-09-18 20:27:14,43.451586000,-80.516562000,333.4,10.3,5.84,0.5,-1.2,0.075,8.56,,,,,
T,2012-09-18 20:27:17,43.451658000,-80.516554000,333.4,9.6,6.23,4.6,0.0,0.083,8.03,,,,,
T,2012-09-18 20:27:21,43.451737000,-80.516545000,333.3,7.9,7.57,4.7,-1.1,0.092,8.81,,,,,
T,2012-09-18 20:27:26,43.451811000,-80.516537000,333.2,5.9,10.10,4.5,-1.2,0.100,8.25,,,,,
T,2012-09-18 20:27:30,43.451855000,-80.516520000,333.2,4.6,13.13,15.7,0.0,0.105,5.08,,,,,
T,2012-09-18 20:27:36,43.451921000,-80.516463000,333.0,5.2,11.54,32.1,-2.3,0.114,8.66,,,,,
T,2012-09-18 20:27:44,43.452007000,-80.516362000,332.5,5.7,10.60,40.5,-4.0,0.126,12.57,,,,,
T,2012-09-18 20:27:47,43.452030000,-80.516304000,332.3,6.4,9.35,61.4,-3.7,0.132,5.34,,,,,
T,2012-09-18 20:27:51,43.452058000,-80.516213000,332.0,7.2,8.34,67.0,-3.8,0.140,8.00,,,,,
T,2012-09-18 20:27:58,43.452072000,-80.516064000,331.8,6.3,9.59,82.6,-1.6,0.152,12.16,,,,,
T,2012-09-18 20:28:01,43.452037000,-80.515979000,331.7,9.5,6.33,119.6,-1.3,0.160,7.90,,,,,
T,2012-09-18 20:28:04,43.451972000,-80.515920000,331.7,10.4,5.78,146.6,0.0,0.168,8.66,,,,,
T,2012-09-18 20:28:07,43.451904000,-80.515877000,331.7,10.0,6.01,155.3,0.0,0.177,8.32,,,,,
T,2012-09-18 20:28:10,43.451836000,-80.515834000,331.6,10.0,6.01,155.3,-1.2,0.185,8.32,,,,,
T,2012-09-18 20:28:13,43.451746000,-80.515795000,331.6,12.6,4.77,162.5,0.0,0.196,10.49,,,,,
T,2012-09-18 20:28:16,43.451666000,-80.515752000,331.5,11.5,5.24,158.7,-1.0,0.205,9.55,,,,,
T,2012-09-18 20:28:19,43.451583000,-80.515703000,331.4,12.0,4.98,156.8,-1.0,0.215,10.04,,,,,
