type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2010-09-19 15:44:08,43.451029000,-80.516712000,291.2,,,,,0.000,,,,,"09/19/10 Kitchener, ON, Canada",
T,2010-09-19 15:44:17,43.450982000,-80.516577000,291.1,4.8,12.39,115.6,-0.8,0.012,12.11,,,,,
T,2010-09-19 15:44:21,43.450906000,-80.516388000,291.0,15.7,3.82,119.0,-0.6,0.030,17.47,,,,,
T,2010-09-19 15:44:24,43.450824000,-80.516295000,291.0,14.2,4.23,140.5,0.0,0.041,11.82,,,,,
T,2010-09-19 15:44:27,43.450742000,-80.516228000,294.3,12.7,4.72,149.3,31.1,0.052,10.60,,,,,
T,2010-09-19 15:44:29,43.450597000,-80.516127000,303.4,32.5,1.85,153.2,50.4,0.070,18.07,,,,,
T,2010-09-19 15:44:32,43.450420000,-80.516021000,313.5,25.7,2.33,156.5,47.1,0.092,21.46,,,,,
T,2010-09-19 15:44:35,43.450286000,-80.515944000,319.2,19.4,3.10,157.4,35.3,0.108,16.14,,,,,
T,2010-09-19 15:44:37,43.450146000,-80.515864000,320.8,30.3,1.98,157.5,9.5,0.125,16.85,,,,,
T,2010-09-19 15:44:40,43.449924000,-80.515745000,320.7,31.8,1.89,158.7,-0.4,0.151,26.48,,,,,
T,2010-09-19 15:44:43,43.449681000,-80.515616000,320.3,34.7,1.73,158.9,-1.4,0.180,28.95,,,,,
T,2010-09-19 15:44:46,43.449441000,-80.515477000,320.2,34.7,1.73,157.2,-0.3,0.209,28.94,,,,,
T,2010-09-19 15:44:48,43.449205000,-80.515328000,320.4,51.9,1.15,155.4,0.7,0.238,28.86,,,,,
T,2010-09-19 15:44:51,43.448967000,-80.515185000,320.8,34.6,1.73,156.4,1.4,0.267,28.86,,,,,
T,2010-09-19 15:44:55,43.448737000,-80.515038000,321.1,25.4,2.37,155.1,1.1,0.295,28.19,,,,,
T,2010-09-19 15:44:57,43.448515000,-80.514900000,321.6,48.7,1.23,155.7,1.8,0.322,27.08,,,,,
T,2010-09-19 15:45:00,43.448299000,-80.514768000,322.2,31.5,1.90,156.1,2.3,0.348,26.27,,,,,
T,2010-09-19 15:45:02,43.448155000,-80.514674000,323.0,31.9,1.88,154.6,4.5,0.366,17.72,,,,,
T,2010-09-19 15:45:05,43.447950000,-80.514532000,323.8,30.6,1.96,153.3,3.1,0.391,25.51,,,,,
T,2010-09-19 15:45:08,43.447818000,-80.514441000,324.1,19.7,3.05,153.4,1.8,0.408,16.41,,,,,
T,2010-09-19 15:45:11,43.447626000,-80.514323000,324.3,28.0,2.14,156.0,0.9,0.431,23.37,,,,,
T,2010-09-19 15:45:14,43.447526000,-80.514268000,324.7,14.4,4.18,158.2,3.3,0.443,11.97,,,,,
T,2010-09-19 15:45:17,43.447498000,-80.514253000,325.4,4.0,14.97,158.7,21.0,0.446,3.34,,,,,
T,2010-09-19 15:45:17,43.447498000,-80.514253000,325.9,4.0,14.97,158.7,,0.446,0.00,,,,,
T,2010-09-19 15:45:36,43.447355000,-80.514163000,326.2,3.3,18.12,155.4,1.7,0.464,17.48,,,,,
