type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-08-10 12:04:05,43.451417000,-80.516634000,290.8,,,,,0.000,,109,44,21,"10/08/2013 Kitchener, ON, Canada: WCC Sat.",
T,2013-08-10 12:04:08,43.451417000,-80.516634000,290.8,0.0,,,,0.000,0.00,112,34,21,,
T,2013-08-10 12:04:11,43.451417000,-80.516634000,291.4,0.0,,,,0.000,0.00,116,67,21,,
T,2013-08-10 12:04:13,43.451426000,-80.516669000,291.4,5.4,11.10,289.5,0.0,0.003,3.00,119,84,21,,
T,2013-08-10 12:04:15,43.451381000,-80.516696000,291.4,9.8,6.11,203.5,0.0,0.008,5.46,122,88,21,,
T,2013-08-10 12:04:17,43.451390000,-80.516731000,291.4,5.4,11.10,289.5,0.0,0.011,3.00,125,90,21,,
T,2013-08-10 12:04:20,43.451418000,-80.516796000,291.4,7.3,8.18,300.7,0.0,0.018,6.11,129,92,21,,
T,2013-08-10 12:04:21,43.451430000,-80.516817000,291.4,7.8,7.72,308.2,0.0,0.020,2.16,129,93,21,,
T,2013-08-10 12:04:23,43.451440000,-80.516866000,291.4,7.4,8.09,285.7,0.0,0.024,4.12,131,103,21,,
T,2013-08-10 12:04:25,43.451486000,-80.516892000,291.4,9.9,6.03,337.7,0.0,0.029,5.53,131,77,21,,
T,2013-08-10 12:04:26,43.451527000,-80.516866000,291.4,18.1,3.32,24.7,0.0,0.034,5.02,132,0,21,,
T,2013-08-10 12:04:29,43.451646000,-80.516679000,291.4,24.1,2.49,48.8,0.0,0.054,20.10,130,0,21,,
T,2013-08-10 12:04:32,43.452025000,-80.516414000,291.4,56.7,1.06,26.9,0.0,0.102,47.26,128,0,21,,
T,2013-08-10 12:04:34,43.452154000,-80.516255000,291.4,34.7,1.73,41.8,0.0,0.121,19.26,126,0,21,,
T,2013-08-10 12:04:36,43.452209000,-80.516136000,291.4,20.5,2.92,57.5,0.0,0.132,11.41,126,0,21,,
T,2013-08-10 12:04:37,43.452256000,-80.516123000,291.4,19.2,3.13,11.4,0.0,0.138,5.33,126,0,21,,
T,2013-08-10 12:04:40,43.452390000,-80.516160000,291.4,18.2,3.29,348.7,0.0,0.153,15.19,125,59,21,,
