type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2012-09-06 13:54:48,43.463944000,-80.522355000,325.8,,,,,0.000,,,,,2012-09-06,
T,2012-09-06 13:54:51,43.464258000,-80.522292000,326.0,42.3,1.42,8.3,0.6,0.035,35.26,,,,,
T,2012-09-06 13:54:54,43.464032000,-80.522331000,325.8,30.4,1.98,187.1,-0.8,0.061,25.31,,,,,
T,2012-09-06 13:55:07,43.463937000,-80.522350000,325.8,3.0,20.31,188.3,0.0,0.071,10.67,,,,,
T,2012-09-06 13:55:16,43.464086000,-80.522303000,325.8,6.8,8.83,12.9,0.0,0.088,16.99,,,,,
T,2012-09-06 13:55:21,43.464130000,-80.522291000,325.8,3.6,16.72,11.2,0.0,0.093,4.98,,,,,
T,2012-09-06 13:55:28,43.464097000,-80.522307000,325.8,2.0,30.00,199.4,0.0,0.097,3.89,,,,,
T,2012-09-06 13:55:41,43.464080000,-80.522275000,325.8,0.9,67.60,126.2,0.0,0.100,3.21,,,,,
T,2012-09-06 13:55:49,43.464129000,-80.522211000,325.7,3.4,17.74,43.5,-1.3,0.108,7.51,,,,,
T,2012-09-06 13:55:59,43.464281000,-80.521956000,325.6,9.6,6.25,50.6,-0.4,0.134,26.66,,,,,
T,2012-09-06 13:56:02,43.464226000,-80.521941000,325.6,7.5,8.03,168.8,0.0,0.141,6.23,,,,,
T,2012-09-06 13:56:05,43.464160000,-80.521935000,325.5,8.8,6.80,176.2,-1.4,0.148,7.35,,,,,
T,2012-09-06 13:56:08,43.464119000,-80.521933000,325.4,5.5,10.97,178.0,-2.2,0.153,4.56,,,,,
T,2012-09-06 13:56:14,43.464027000,-80.521932000,325.3,6.1,9.78,179.5,-1.0,0.163,10.22,,,,,
T,2012-09-06 13:56:21,43.463918000,-80.521937000,325.2,6.2,9.63,181.9,-0.8,0.175,12.12,,,,,
T,2012-09-06 13:56:24,43.463876000,-80.521930000,325.2,5.6,10.64,173.1,0.0,0.180,4.70,,,,,
T,2012-09-06 13:56:27,43.463826000,-80.521920000,325.1,6.7,8.91,171.7,-1.8,0.185,5.61,,,,,
T,2012-09-06 13:56:30,43.463788000,-80.521911000,325.0,5.1,11.67,170.2,-2.3,0.190,4.28,,,,,
T,2012-09-06 13:56:35,43.463710000,-80.521915000,325.1,6.2,9.61,182.1,1.2,0.198,8.67,,,,,
T,2012-09-06 13:56:38,43.463689000,-80.521939000,325.1,3.6,16.47,219.7,0.0,0.201,3.04,,,,,
T,2012-09-06 13:56:41,43.463650000,-80.521997000,325.2,7.7,7.83,227.2,1.6,0.208,6.39,,,,,
T,2012-09-06 13:56:44,43.463606000,-80.522081000,325.3,10.0,5.97,234.2,1.2,0.216,8.37,,,,,
T,2012-09-06 13:56:58,43.463497000,-80.522424000,326.2,7.8,7.70,246.4,3.0,0.246,30.28,,,,,
T,2012-09-06 13:57:21,43.463489000,-80.522469000,326.3,0.6,102.26,256.2,2.7,0.250,3.75,,,,,
T,2012-09-06 13:57:26,43.463413000,-80.522581000,326.5,8.9,6.73,226.9,1.6,0.262,12.39,,,,,
T,2012-09-06 13:57:33,43.463360000,-80.522694000,326.7,5.6,10.73,237.1,1.8,0.273,10.88,,,,,
T,2012-09-06 13:57:40,43.463187000,-80.522748000,326.9,10.1,5.92,192.8,1.0,0.293,19.71,,,,,
T,2012-09-06 13:57:43,43.463146000,-80.522800000,326.9,7.4,8.06,222.6,0.0,0.299,6.20,,,,,
T,2012-09-06 13:57:46,43.463051000,-80.522955000,327.1,19.7,3.05,229.8,1.2,0.316,16.39,,,,,
T,2012-09-06 13:57:49,43.462992000,-80.523093000,327.4,15.5,3.86,239.5,2.3,0.329,12.95,,,,,
T,2012-09-06 13:57:52,43.462940000,-80.523225000,327.7,14.6,4.12,241.5,2.5,0.341,12.14,,,,,
