type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2014-05-27 21:28:22,43.451032000,-80.516530000,365.0,,,,,0.000,,96,37,27,"27/05/2014 Kitchener, ON, Canada",
T,2014-05-27 21:28:23,43.451048000,-80.516510000,365.0,8.7,6.93,42.2,0.0,0.002,2.40,99,37,27,,
T,2014-05-27 21:28:24,43.451083000,-80.516493000,365.0,14.8,4.04,19.4,0.0,0.007,4.12,101,37,27,,
T,2014-05-27 21:28:26,43.451143000,-80.516507000,365.0,12.2,4.93,350.4,0.0,0.013,6.76,103,48,27,,
T,2014-05-27 21:28:28,43.451219000,-80.516540000,365.0,15.9,3.76,342.5,0.0,0.022,8.86,107,58,27,,
T,2014-05-27 21:28:30,43.451299000,-80.516585000,365.0,17.3,3.47,337.8,0.0,0.032,9.61,110,64,27,,
T,2014-05-27 21:28:31,43.451339000,-80.516613000,365.0,18.0,3.34,333.1,0.0,0.037,4.99,113,64,27,,
T,2014-05-27 21:28:33,43.451418000,-80.516666000,365.0,17.6,3.41,334.0,0.0,0.047,9.77,116,61,27,,
T,2014-05-27 21:28:37,43.451570000,-80.516765000,365.0,16.8,3.57,334.7,0.0,0.065,18.69,119,55,27,,
T,2014-05-27 21:28:40,43.451659000,-80.516826000,365.0,13.3,4.52,333.5,0.0,0.076,11.05,115,40,27,,
T,2014-05-27 21:28:42,43.451699000,-80.516851000,365.4,8.8,6.83,335.6,8.2,0.081,4.88,113,0,28,,
T,2014-05-27 21:28:43,43.451711000,-80.516868000,365.8,6.9,8.70,314.2,20.9,0.083,1.92,112,0,28,,
T,2014-05-27 21:28:44,43.451719000,-80.516887000,365.8,6.4,9.38,300.1,0.0,0.085,1.78,111,0,28,,
T,2014-05-27 21:28:45,43.451727000,-80.516906000,366.8,6.4,9.38,300.1,56.3,0.087,1.78,112,0,28,,
T,2014-05-27 21:28:46,43.451736000,-80.516918000,367.2,5.0,11.96,315.9,28.7,0.088,1.39,112,0,28,,
T,2014-05-27 21:28:51,43.451766000,-80.516924000,367.2,2.4,24.74,351.7,0.0,0.091,3.37,115,0,28,,
T,2014-05-27 21:29:09,43.451797000,-80.516945000,367.2,0.8,78.11,333.8,0.0,0.095,3.84,115,0,28,,
T,2014-05-27 21:29:12,43.451822000,-80.516966000,367.2,3.9,15.35,328.6,0.0,0.098,3.26,112,0,28,,
T,2014-05-27 21:29:13,43.451828000,-80.516966000,367.2,2.4,25.00,0.0,0.0,0.099,0.67,110,0,28,,
T,2014-05-27 21:29:18,43.451847000,-80.516979000,367.2,1.7,35.33,333.6,0.0,0.101,2.36,109,13,28,,
T,2014-05-27 21:29:44,43.451882000,-80.517008000,367.2,0.6,95.40,329.0,0.0,0.106,4.54,102,19,28,,
T,2014-05-27 21:29:45,43.451905000,-80.517034000,367.2,11.9,5.03,320.6,0.0,0.109,3.31,104,19,28,,
T,2014-05-27 21:29:46,43.451927000,-80.517077000,367.2,15.3,3.92,305.2,0.0,0.114,4.25,105,43,28,,
T,2014-05-27 21:29:49,43.451906000,-80.517226000,367.2,14.7,4.07,259.0,0.0,0.126,12.28,108,59,28,,
T,2014-05-27 21:29:51,43.451887000,-80.517341000,367.2,17.2,3.49,257.2,0.0,0.135,9.54,112,69,29,,
T,2014-05-27 21:29:53,43.451840000,-80.517465000,367.2,20.4,2.95,242.4,0.0,0.147,11.31,116,72,29,,
T,2014-05-27 21:29:55,43.451786000,-80.517587000,367.2,20.8,2.88,238.6,0.0,0.158,11.55,120,78,29,,
T,2014-05-27 21:29:56,43.451760000,-80.517650000,367.6,21.1,2.84,240.4,6.8,0.164,5.86,121,81,29,,
T,2014-05-27 21:29:57,43.451736000,-80.517712000,368.0,20.5,2.93,241.9,7.0,0.170,5.68,124,83,29,,
T,2014-05-27 21:29:58,43.451712000,-80.517780000,368.4,22.0,2.73,244.1,6.5,0.176,6.12,126,84,29,,
T,2014-05-27 21:29:59,43.451689000,-80.517846000,368.8,21.3,2.81,244.4,6.8,0.182,5.92,127,84,29,,
T,2014-05-27 21:30:00,43.451667000,-80.517908000,369.4,20.1,2.99,244.0,10.7,0.187,5.58,128,84,29,,
T,2014-05-27 21:30:02,43.451624000,-80.518029000,369.4,19.6,3.06,243.9,0.0,0.198,10.90,130,86,29,,
T,2014-05-27 21:30:05,43.451550000,-80.518222000,369.4,21.2,2.83,242.2,0.0,0.216,17.65,133,87,29,,
T,2014-05-27 21:30:08,43.451476000,-80.518429000,369.4,22.4,2.68,243.8,0.0,0.235,18.66,134,86,29,,
T,2014-05-27 21:30:09,43.451443000,-80.518497000,369.4,23.8,2.52,236.2,0.0,0.241,6.61,135,86,29,,
T,2014-05-27 21:30:11,43.451396000,-80.518635000,369.8,22.2,2.70,244.9,3.2,0.254,12.33,136,86,29,,
T,2014-05-27 21:30:12,43.451375000,-80.518697000,370.2,19.9,3.01,245.0,7.2,0.259,5.53,136,85,29,,
T,2014-05-27 21:30:13,43.451349000,-80.518767000,370.6,22.9,2.62,242.9,6.3,0.266,6.36,137,87,29,,
T,2014-05-27 21:30:14,43.451325000,-80.518835000,371.0,22.0,2.73,244.1,6.5,0.272,6.12,137,87,29,,
T,2014-05-27 21:30:15,43.451284000,-80.518892000,371.4,23.3,2.57,225.3,6.2,0.278,6.48,138,87,29,,
T,2014-05-27 21:30:20,43.451155000,-80.519241000,371.4,22.8,2.63,243.0,0.0,0.310,31.68,141,93,29,,
