type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-07-13 19:04:15,43.450601000,-80.516701000,250.6,,,,,0.000,,97,71,26,"13/07/2013 Kitchener, ON, Canada: Spiegs' First Road Ride",
T,2013-07-13 19:04:16,43.450641000,-80.516739000,367.2,19.5,3.08,325.4,2157.4,0.005,5.40,98,71,26,,
T,2013-07-13 19:04:17,43.450675000,-80.516789000,365.0,19.9,3.01,313.1,-39.7,0.011,5.54,98,17,26,,
T,2013-07-13 19:04:18,43.450714000,-80.516821000,362.8,18.2,3.30,329.2,-43.6,0.016,5.05,98,59,26,,
T,2013-07-13 19:04:19,43.450748000,-80.516867000,361.4,19.1,3.14,315.5,-26.4,0.021,5.30,97,79,26,,
T,2013-07-13 19:04:20,43.450764000,-80.516916000,359.4,15.6,3.83,294.2,-46.0,0.026,4.35,96,79,26,,
T,2013-07-13 19:04:21,43.450760000,-80.516961000,250.0,13.2,4.54,263.0,-2981.4,0.029,3.67,94,39,26,,
T,2013-07-13 19:04:22,43.450696000,-80.516997000,250.0,27.7,2.17,202.2,0.0,0.037,7.68,93,0,26,,
T,2013-07-13 19:04:28,43.450467000,-80.517014000,250.0,15.3,3.92,183.1,0.0,0.062,25.48,94,57,26,,
T,2013-07-13 19:04:32,43.450385000,-80.516949000,250.0,9.5,6.34,150.1,0.0,0.073,10.52,95,79,26,,
T,2013-07-13 19:04:33,43.450380000,-80.516943000,250.0,2.7,22.59,138.9,0.0,0.074,0.74,96,79,26,,
T,2013-07-13 19:05:24,43.450378000,-80.516933000,250.0,0.1,1012.66,105.4,0.0,0.075,0.84,81,0,27,,
T,2013-07-13 19:05:25,43.450378000,-80.516933000,250.0,0.0,,105.4,,0.075,0.00,81,0,27,,
T,2013-07-13 19:05:28,43.450378000,-80.516933000,250.0,0.0,,105.4,,0.075,0.00,84,94,27,,
T,2013-07-13 19:05:31,43.450374000,-80.516928000,250.0,0.7,83.18,137.8,0.0,0.075,0.60,87,0,27,,
T,2013-07-13 19:05:39,43.450381000,-80.516942000,250.0,0.6,97.01,304.6,0.0,0.077,1.37,84,0,27,,
T,2013-07-13 19:05:41,43.450386000,-80.516951000,250.0,1.6,36.39,307.4,0.0,0.077,0.92,81,0,27,,
T,2013-07-13 19:05:49,43.450386000,-80.516961000,250.0,0.4,164.73,270.0,0.0,0.078,0.81,85,0,27,,
T,2013-07-13 19:05:51,43.450329000,-80.516969000,250.0,11.5,5.24,185.8,0.0,0.085,6.37,88,0,27,,
T,2013-07-13 19:05:55,43.450297000,-80.516976000,250.0,3.2,18.52,189.0,0.0,0.088,3.60,90,0,27,,
T,2013-07-13 19:09:21,43.450290000,-80.516864000,250.0,0.2,377.33,94.9,0.0,0.097,9.10,85,0,28,,
T,2013-07-13 19:09:23,43.450289000,-80.516829000,250.0,5.1,11.76,92.3,0.0,0.100,2.84,88,0,28,,
T,2013-07-13 19:09:25,43.450297000,-80.516786000,250.0,6.5,9.28,75.6,0.0,0.104,3.59,91,11,28,,
T,2013-07-13 19:09:26,43.450309000,-80.516777000,250.0,5.5,10.97,28.6,0.0,0.105,1.52,93,28,28,,
T,2013-07-13 19:09:28,43.450379000,-80.516787000,250.0,14.1,4.26,354.1,0.0,0.113,7.82,96,45,28,,
T,2013-07-13 19:09:29,43.450413000,-80.516806000,250.0,14.7,4.09,337.9,0.0,0.117,4.08,97,33,28,,
T,2013-07-13 19:09:30,43.450445000,-80.516835000,250.0,15.3,3.91,326.7,0.0,0.121,4.26,96,0,28,,
T,2013-07-13 19:09:33,43.450530000,-80.516941000,250.0,15.3,3.92,317.8,0.0,0.134,12.76,93,0,28,,
T,2013-07-13 19:09:35,43.450607000,-80.516933000,250.0,15.4,3.89,4.3,0.0,0.143,8.58,90,0,28,,
T,2013-07-13 19:09:40,43.450795000,-80.516773000,250.0,17.7,3.39,31.7,0.0,0.167,24.58,93,32,28,,
T,2013-07-13 19:09:42,43.450880000,-80.516696000,250.0,20.4,2.95,33.3,0.0,0.179,11.31,95,54,28,,
T,2013-07-13 19:09:44,43.450955000,-80.516622000,250.0,18.5,3.25,35.6,0.0,0.189,10.26,95,13,28,,
T,2013-07-13 19:09:45,43.450971000,-80.516584000,250.0,12.8,4.69,59.9,0.0,0.192,3.55,93,0,28,,
T,2013-07-13 19:09:48,43.451031000,-80.516504000,250.0,11.2,5.38,44.1,0.0,0.202,9.29,89,0,28,,
T,2013-07-13 19:09:50,43.451090000,-80.516466000,250.0,13.0,4.60,25.1,0.0,0.209,7.24,90,59,28,,
T,2013-07-13 19:09:52,43.451170000,-80.516435000,250.0,16.6,3.61,15.7,0.0,0.218,9.24,94,66,28,,
T,2013-07-13 19:09:53,43.451203000,-80.516457000,250.0,14.7,4.09,334.2,0.0,0.222,4.08,96,66,28,,
T,2013-07-13 19:09:54,43.451243000,-80.516479000,250.0,17.2,3.48,338.2,0.0,0.227,4.79,96,16,28,,
T,2013-07-13 19:09:55,43.451275000,-80.516500000,250.0,14.2,4.23,334.5,0.0,0.231,3.94,101,0,28,,
T,2013-07-13 19:09:56,43.451309000,-80.516525000,250.0,15.4,3.89,331.9,0.0,0.235,4.29,101,0,28,,
T,2013-07-13 19:09:59,43.451365000,-80.516594000,250.0,10.0,5.98,318.2,0.0,0.244,8.36,103,0,28,,
T,2013-07-13 19:10:04,43.451484000,-80.516697000,250.0,11.3,5.33,327.9,0.0,0.259,15.63,102,56,28,,
T,2013-07-13 19:10:08,43.451606000,-80.516750000,250.0,12.8,4.69,342.5,0.0,0.274,14.22,105,58,28,,
T,2013-07-13 19:10:11,43.451693000,-80.516787000,250.0,12.1,4.94,342.8,0.0,0.284,10.12,109,22,28,,
T,2013-07-13 19:10:15,43.451786000,-80.516841000,250.0,10.1,5.94,337.1,0.0,0.295,11.22,109,47,28,,
T,2013-07-13 19:10:20,43.451841000,-80.516871000,250.0,4.7,12.67,338.4,0.0,0.301,6.58,107,0,28,,
T,2013-07-13 19:10:47,43.451885000,-80.516891000,250.0,0.7,87.39,341.7,0.0,0.307,5.15,108,0,29,,
T,2013-07-13 19:10:49,43.451926000,-80.516912000,250.0,8.8,6.86,339.6,0.0,0.311,4.86,109,0,29,,
T,2013-07-13 19:10:52,43.452051000,-80.516991000,250.0,18.3,3.27,335.4,0.0,0.327,15.29,112,70,29,,
T,2013-07-13 19:10:53,43.452098000,-80.517022000,250.0,20.9,2.88,334.4,0.0,0.333,5.79,113,53,29,,
T,2013-07-13 19:10:56,43.452219000,-80.517108000,250.0,18.2,3.30,332.7,0.0,0.348,15.14,116,40,29,,
T,2013-07-13 19:10:59,43.452341000,-80.517193000,250.0,18.2,3.29,333.2,0.0,0.363,15.20,118,85,29,,
T,2013-07-13 19:11:10,43.452833000,-80.517505000,250.0,19.7,3.04,335.3,0.0,0.423,60.21,118,82,29,,
T,2013-07-13 19:11:21,43.453346000,-80.517834000,250.0,20.6,2.91,335.0,0.0,0.486,62.91,115,57,29,,
T,2013-07-13 19:11:23,43.453435000,-80.517900000,250.0,20.2,2.97,331.7,0.0,0.497,11.24,113,38,29,,
T,2013-07-13 19:11:28,43.453662000,-80.518062000,250.0,20.5,2.93,332.6,0.0,0.526,28.42,110,79,30,,
T,2013-07-13 19:11:29,43.453712000,-80.518091000,250.0,21.7,2.76,337.2,0.0,0.532,6.03,109,79,30,,
