type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2014-05-25 18:18:43,43.451831000,-80.516996000,283.8,,,,,0.000,,113,27,24,25/05/2014 Fat man rides a bike,
T,2014-05-25 18:18:45,43.451867000,-80.517074000,283.8,13.5,4.46,302.4,0.0,0.007,7.47,116,59,24,,
T,2014-05-25 18:18:46,43.451869000,-80.517142000,283.8,19.8,3.03,272.3,0.0,0.013,5.51,117,64,24,,
T,2014-05-25 18:18:47,43.451874000,-80.517190000,283.8,14.1,4.25,278.2,0.0,0.017,3.92,120,67,24,,
T,2014-05-25 18:18:49,43.451846000,-80.517323000,283.8,20.2,2.97,253.8,0.0,0.028,11.21,124,76,24,,
T,2014-05-25 18:18:51,43.451816000,-80.517418000,283.8,15.1,3.98,246.5,0.0,0.036,8.38,128,77,24,,
T,2014-05-25 18:18:53,43.451784000,-80.517515000,283.8,15.5,3.87,245.6,0.0,0.045,8.62,131,84,24,,
T,2014-05-25 18:18:54,43.451769000,-80.517560000,283.8,14.4,4.16,245.3,0.0,0.049,4.01,134,84,24,,
T,2014-05-25 18:18:57,43.451705000,-80.517744000,284.2,19.8,3.03,244.4,2.4,0.066,16.50,137,87,24,,
T,2014-05-25 18:18:58,43.451684000,-80.517799000,284.2,18.1,3.32,242.3,0.0,0.071,5.03,137,87,24,,
T,2014-05-25 18:18:59,43.451661000,-80.517856000,284.6,19.0,3.16,240.9,7.6,0.076,5.27,138,87,24,,
T,2014-05-25 18:19:00,43.451637000,-80.517916000,285.0,19.9,3.01,241.1,7.2,0.081,5.54,138,87,24,,
T,2014-05-25 18:19:01,43.451614000,-80.517979000,285.4,20.5,2.92,243.3,7.0,0.087,5.70,139,88,24,,
T,2014-05-25 18:19:02,43.451591000,-80.518047000,285.8,21.8,2.75,245.0,6.6,0.093,6.07,139,88,24,,
T,2014-05-25 18:19:06,43.451506000,-80.518301000,285.8,20.4,2.95,245.3,0.0,0.116,22.62,141,88,24,,
T,2014-05-25 18:19:09,43.451419000,-80.518509000,286.2,23.3,2.58,240.1,2.1,0.135,19.41,143,88,24,,
T,2014-05-25 18:19:10,43.451389000,-80.518582000,286.6,24.4,2.46,240.5,5.9,0.142,6.78,144,88,24,,
T,2014-05-25 18:19:11,43.451365000,-80.518651000,287.0,22.3,2.69,244.4,6.5,0.148,6.19,145,87,24,,
T,2014-05-25 18:19:12,43.451341000,-80.518717000,287.4,21.5,2.79,243.4,6.7,0.154,5.97,145,87,24,,
T,2014-05-25 18:19:13,43.451323000,-80.518775000,287.8,18.4,3.27,246.9,7.8,0.159,5.10,146,87,24,,
T,2014-05-25 18:19:18,43.451207000,-80.519086000,287.8,20.4,2.95,242.8,0.0,0.188,28.28,148,88,24,,
T,2014-05-25 18:19:22,43.451118000,-80.519330000,287.8,19.9,3.02,243.3,0.0,0.210,22.09,151,87,25,,
T,2014-05-25 18:19:24,43.451077000,-80.519453000,288.2,19.7,3.04,245.3,3.7,0.221,10.95,152,86,25,,
T,2014-05-25 18:19:25,43.451059000,-80.519516000,288.6,19.7,3.04,248.5,7.3,0.226,5.48,153,86,25,,
T,2014-05-25 18:19:26,43.451038000,-80.519581000,289.0,20.7,2.90,246.0,7.0,0.232,5.76,153,87,25,,
T,2014-05-25 18:19:27,43.451018000,-80.519641000,289.4,19.2,3.12,245.3,7.5,0.237,5.34,154,88,25,,
