type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-05-26 19:02:25,43.450532000,-80.516773000,247.2,,,,,0.000,,97,36,19,"26/05/2013 Kitchener, ON, Canada",
T,2013-05-26 19:02:26,43.450533000,-80.516772000,247.2,0.5,121.25,36.0,0.0,0.000,0.14,96,36,19,,
T,2013-05-26 19:02:30,43.450512000,-80.516771000,247.2,2.1,28.56,178.0,0.0,0.002,2.33,100,36,19,,
T,2013-05-26 19:02:32,43.450495000,-80.516782000,247.2,3.8,15.96,205.2,0.0,0.005,2.09,105,36,19,,
T,2013-05-26 19:02:35,43.450570000,-80.516719000,247.2,11.7,5.12,31.4,0.0,0.014,9.77,109,36,19,,
T,2013-05-26 19:02:37,43.450547000,-80.516737000,247.2,5.3,11.33,209.6,0.0,0.017,2.94,109,36,19,,
T,2013-05-26 19:02:41,43.450419000,-80.516844000,247.2,15.0,4.00,211.3,0.0,0.034,16.65,111,36,19,,
T,2013-05-26 19:02:43,43.450310000,-80.516911000,247.2,23.9,2.51,204.0,0.0,0.047,13.27,129,36,19,,
T,2013-05-26 19:02:44,43.450333000,-80.516879000,247.2,13.1,4.58,45.3,0.0,0.051,3.64,129,29,19,,
T,2013-05-26 19:02:47,43.450414000,-80.516917000,247.2,11.4,5.26,341.2,0.0,0.060,9.51,129,77,19,,
T,2013-05-26 19:02:48,43.450445000,-80.516938000,247.2,13.8,4.34,333.8,0.0,0.064,3.84,138,83,19,,
T,2013-05-26 19:02:49,43.450474000,-80.516957000,247.2,12.9,4.67,334.6,0.0,0.068,3.57,138,89,19,,
T,2013-05-26 19:02:52,43.450602000,-80.517008000,247.2,17.8,3.38,343.9,0.0,0.083,14.81,138,0,19,,
T,2013-05-26 19:02:53,43.450644000,-80.516987000,247.2,17.9,3.36,19.9,0.0,0.088,4.97,135,0,19,,
T,2013-05-26 19:02:54,43.450678000,-80.516938000,247.2,19.7,3.04,46.3,0.0,0.093,5.48,132,0,19,,
T,2013-05-26 19:02:55,43.450724000,-80.516891000,247.2,22.9,2.62,36.6,0.0,0.099,6.37,132,0,19,,
T,2013-05-26 19:02:58,43.450846000,-80.516779000,247.2,19.6,3.07,33.7,0.0,0.116,16.31,146,0,19,,
T,2013-05-26 19:02:59,43.450882000,-80.516722000,246.8,22.0,2.73,49.0,-6.6,0.122,6.11,146,0,19,,
T,2013-05-26 19:03:00,43.450918000,-80.516660000,246.4,23.1,2.60,51.3,-6.2,0.128,6.42,146,0,19,,
T,2013-05-26 19:03:04,43.450918000,-80.516660000,246.0,0.0,,51.3,,0.128,0.00,203,19,19,,
T,2013-05-26 19:03:05,43.451154000,-80.516655000,245.6,94.4,0.64,0.9,-1.5,0.154,26.22,209,79,19,,
T,2013-05-26 19:03:06,43.451193000,-80.516681000,245.2,17.3,3.46,334.2,-8.3,0.159,4.82,211,82,19,,
T,2013-05-26 19:03:09,43.451309000,-80.516722000,245.2,16.0,3.76,345.6,0.0,0.173,13.31,216,86,19,,
T,2013-05-26 19:03:10,43.451351000,-80.516733000,245.2,17.1,3.51,349.2,0.0,0.177,4.75,225,58,19,,
T,2013-05-26 19:03:11,43.451381000,-80.516762000,245.2,14.7,4.09,324.9,0.0,0.181,4.08,225,81,19,,
T,2013-05-26 19:03:12,43.451418000,-80.516774000,245.2,15.2,3.95,346.8,0.0,0.186,4.22,225,87,19,,
T,2013-05-26 19:03:20,43.451730000,-80.516972000,245.2,17.2,3.49,335.3,0.0,0.224,38.19,225,98,19,,
T,2013-05-26 19:03:21,43.451785000,-80.516988000,245.2,22.5,2.67,348.1,0.0,0.230,6.25,228,101,19,,
T,2013-05-26 19:03:24,43.451925000,-80.517073000,245.2,20.4,2.94,336.2,0.0,0.247,17.01,231,104,19,,
T,2013-05-26 19:03:25,43.451968000,-80.517110000,245.2,20.3,2.96,328.0,0.0,0.253,5.64,231,101,19,,
T,2013-05-26 19:03:27,43.452054000,-80.517185000,245.2,20.4,2.94,327.7,0.0,0.264,11.32,236,102,19,,
T,2013-05-26 19:03:28,43.452097000,-80.517219000,245.6,19.8,3.02,330.1,7.3,0.270,5.51,236,101,19,,
T,2013-05-26 19:03:29,43.452143000,-80.517254000,246.0,21.0,2.85,331.1,6.8,0.275,5.84,236,100,19,,
T,2013-05-26 19:03:30,43.452186000,-80.517283000,246.4,19.2,3.13,333.9,7.5,0.281,5.32,236,101,19,,
T,2013-05-26 19:03:31,43.452234000,-80.517311000,246.8,20.9,2.88,337.0,6.9,0.286,5.79,237,99,19,,
T,2013-05-26 19:03:32,43.452280000,-80.517337000,247.2,19.9,3.02,337.7,7.2,0.292,5.53,239,99,19,,
T,2013-05-26 19:03:33,43.452325000,-80.517366000,247.2,19.9,3.02,334.9,0.0,0.298,5.52,247,101,19,,
T,2013-05-26 19:03:36,43.452540000,-80.517367000,247.2,28.7,2.09,359.8,0.0,0.321,23.89,251,101,19,,
T,2013-05-26 19:03:46,43.452991000,-80.517662000,247.2,20.0,3.00,334.6,0.0,0.377,55.51,253,104,19,,
T,2013-05-26 19:03:50,43.453183000,-80.517784000,247.2,21.2,2.84,335.2,0.0,0.400,23.51,249,99,19,,
T,2013-05-26 19:03:53,43.453328000,-80.517881000,247.2,21.5,2.79,334.1,0.0,0.418,17.92,252,100,19,,
T,2013-05-26 19:03:57,43.453524000,-80.518006000,247.2,21.6,2.78,335.2,0.0,0.442,24.01,251,97,19,,
T,2013-05-26 19:04:05,43.453958000,-80.518293000,247.2,24.1,2.49,334.4,0.0,0.496,53.52,252,99,19,,
T,2013-05-26 19:04:14,43.454471000,-80.518638000,247.2,25.4,2.36,334.0,0.0,0.559,63.47,252,52,19,,
T,2013-05-26 19:04:16,43.454581000,-80.518707000,247.2,24.2,2.48,335.5,0.0,0.573,13.44,239,0,20,,
T,2013-05-26 19:04:17,43.454636000,-80.518744000,247.2,24.5,2.45,334.0,0.0,0.580,6.80,239,51,20,,
T,2013-05-26 19:04:19,43.454736000,-80.518828000,247.2,23.4,2.56,328.6,0.0,0.593,13.03,239,68,20,,
T,2013-05-26 19:04:20,43.454791000,-80.518872000,247.2,25.5,2.36,329.9,0.0,0.600,7.07,239,17,20,,
T,2013-05-26 19:04:25,43.454960000,-80.519014000,247.2,15.9,3.79,328.6,0.0,0.622,22.01,224,0,20,,
T,2013-05-26 19:04:26,43.454964000,-80.519016000,247.2,1.7,35.24,340.1,0.0,0.622,0.47,214,0,20,,
T,2013-05-26 19:04:27,43.454961000,-80.519009000,247.2,2.4,25.36,120.6,0.0,0.623,0.66,204,0,20,,
T,2013-05-26 19:04:28,43.454959000,-80.519012000,247.2,1.2,50.64,227.4,0.0,0.623,0.33,182,0,20,,
T,2013-05-26 19:04:29,43.454959000,-80.519008000,247.2,1.2,51.48,90.0,0.0,0.623,0.32,172,0,20,,
T,2013-05-26 19:04:30,43.454959000,-80.519005000,247.2,0.9,68.64,90.0,0.0,0.624,0.24,168,0,20,,
T,2013-05-26 19:04:31,43.454955000,-80.519000000,247.2,2.2,27.73,137.8,0.0,0.624,0.60,168,0,20,,
T,2013-05-26 19:04:32,43.454953000,-80.518998000,247.2,1.0,60.63,144.0,0.0,0.625,0.27,164,0,20,,
T,2013-05-26 19:04:33,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,157,0,20,,
T,2013-05-26 19:04:34,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,152,0,20,,
T,2013-05-26 19:04:35,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,149,0,20,,
T,2013-05-26 19:04:36,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,144,0,20,,
T,2013-05-26 19:04:37,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,139,0,20,,
T,2013-05-26 19:04:38,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,135,0,20,,
T,2013-05-26 19:04:39,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,135,0,20,,
T,2013-05-26 19:04:40,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,126,0,20,,
T,2013-05-26 19:04:42,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,123,0,20,,
T,2013-05-26 19:04:45,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,120,0,20,,
T,2013-05-26 19:04:51,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,116,0,20,,
T,2013-05-26 19:04:52,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,112,0,20,,
T,2013-05-26 19:04:53,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,108,0,20,,
T,2013-05-26 19:04:55,43.454953000,-80.518998000,247.2,0.0,,144.0,,0.625,0.00,104,0,20,,
T,2013-05-26 19:04:57,43.454953000,-80.518999000,247.2,0.1,411.85,270.0,0.0,0.625,0.08,101,0,20,,
T,2013-05-26 19:04:58,43.454953000,-80.518998000,247.2,0.3,205.92,90.0,0.0,0.625,0.08,98,0,20,,
T,2013-05-26 19:05:00,43.454953000,-80.518999000,247.2,0.1,411.85,270.0,0.0,0.625,0.08,95,0,20,,
T,2013-05-26 19:05:07,43.454953000,-80.518999000,247.2,0.0,,270.0,,0.625,0.00,92,153,20,,
T,2013-05-26 19:05:12,43.455022000,-80.519070000,247.2,6.9,8.70,323.2,0.0,0.634,9.58,95,13,20,,
T,2013-05-26 19:05:13,43.455044000,-80.519111000,247.2,14.8,4.04,306.5,0.0,0.639,4.12,98,56,20,,
T,2013-05-26 19:05:14,43.455068000,-80.519167000,247.2,18.9,3.17,300.6,0.0,0.644,5.26,98,71,21,,
T,2013-05-26 19:05:16,43.455100000,-80.519315000,247.2,22.5,2.67,286.6,0.0,0.656,12.50,98,54,21,,
