type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-09-28 12:54:15,43.475051000,-80.448509000,311.0,,,,,0.000,,115,38,19,"28/09/2013 Waterloo, ON, Canada: Tour de Hans",
T,2013-09-28 12:54:16,43.475051000,-80.448509000,311.0,0.0,,,,0.000,0.00,116,38,19,,
T,2013-09-28 12:54:51,43.475048000,-80.448561000,310.6,0.4,138.21,265.5,-9.5,0.004,4.22,111,38,19,,
T,2013-09-28 12:54:54,43.475036000,-80.448642000,310.6,8.0,7.48,258.5,0.0,0.011,6.69,114,38,19,,
T,2013-09-28 12:55:01,43.474995000,-80.448852000,310.6,9.0,6.63,254.9,0.0,0.028,17.59,111,41,19,,
T,2013-09-28 12:55:06,43.474958000,-80.449031000,310.6,10.8,5.54,254.1,0.0,0.044,15.05,113,73,19,,
T,2013-09-28 12:55:08,43.474979000,-80.449128000,310.6,14.7,4.07,286.6,0.0,0.052,8.19,117,89,19,,
T,2013-09-28 12:55:10,43.475030000,-80.449218000,310.6,16.6,3.61,308.0,0.0,0.061,9.23,121,92,19,,
T,2013-09-28 12:55:11,43.475065000,-80.449261000,310.6,18.8,3.19,318.3,0.0,0.066,5.22,123,91,19,,
T,2013-09-28 12:55:13,43.475147000,-80.449327000,310.6,19.0,3.16,329.7,0.0,0.077,10.56,126,92,19,,
T,2013-09-28 12:55:14,43.475195000,-80.449352000,310.6,20.5,2.92,339.3,0.0,0.082,5.70,128,94,19,,
T,2013-09-28 12:55:16,43.475307000,-80.449391000,310.6,23.1,2.60,345.8,0.0,0.095,12.84,131,97,19,,
T,2013-09-28 12:55:21,43.475540000,-80.449527000,310.6,20.3,2.96,337.0,0.0,0.123,28.13,131,15,19,,
T,2013-09-28 12:55:24,43.475524000,-80.449733000,310.6,20.1,2.98,263.9,0.0,0.140,16.76,132,92,19,,
T,2013-09-28 12:55:27,43.475477000,-80.449983000,310.6,25.1,2.39,255.5,0.0,0.161,20.89,135,100,19,,
T,2013-09-28 12:55:29,43.475460000,-80.450171000,310.6,27.6,2.17,262.9,0.0,0.176,15.33,137,106,19,,
T,2013-09-28 12:55:31,43.475471000,-80.450373000,310.6,29.5,2.03,274.3,0.0,0.193,16.39,140,106,19,,
T,2013-09-28 12:55:33,43.475491000,-80.450568000,310.6,28.7,2.09,278.0,0.0,0.209,15.93,143,106,19,,
T,2013-09-28 12:55:34,43.475500000,-80.450667000,310.6,29.1,2.06,277.1,0.0,0.217,8.07,144,106,19,,
T,2013-09-28 12:55:36,43.475509000,-80.450867000,310.6,29.2,2.06,273.5,0.0,0.233,16.21,147,109,19,,
T,2013-09-28 12:55:39,43.475528000,-80.451177000,310.6,30.2,1.99,274.8,0.0,0.258,25.17,150,103,19,,
T,2013-09-28 12:55:41,43.475543000,-80.451383000,310.6,30.2,1.99,275.7,0.0,0.275,16.75,150,73,19,,
T,2013-09-28 12:55:42,43.475535000,-80.451487000,310.6,30.5,1.97,263.9,0.0,0.283,8.46,151,106,19,,
T,2013-09-28 12:55:44,43.475494000,-80.451682000,310.6,29.6,2.03,253.8,0.0,0.300,16.42,151,92,19,,
T,2013-09-28 12:55:47,43.475384000,-80.451909000,310.6,26.5,2.27,236.3,0.0,0.322,22.06,150,0,19,,
T,2013-09-28 12:55:48,43.475348000,-80.451973000,310.6,23.6,2.55,232.2,0.0,0.328,6.54,150,0,19,,
T,2013-09-28 12:55:50,43.475239000,-80.452058000,310.6,25.1,2.39,209.5,0.0,0.342,13.93,149,91,19,,
T,2013-09-28 12:55:53,43.475042000,-80.452031000,310.6,26.4,2.27,174.3,0.0,0.364,22.00,150,99,19,,
T,2013-09-28 12:55:54,43.474966000,-80.451998000,310.6,31.9,1.88,162.5,0.0,0.373,8.86,151,103,19,,
T,2013-09-28 12:55:59,43.474576000,-80.451848000,310.6,32.4,1.85,164.4,0.0,0.418,45.00,153,114,19,,
T,2013-09-28 12:56:01,43.474410000,-80.451785000,310.6,34.4,1.74,164.6,0.0,0.437,19.13,156,110,19,,
T,2013-09-28 12:56:04,43.474176000,-80.451699000,310.6,32.3,1.86,165.1,0.0,0.464,26.91,159,103,19,,
T,2013-09-28 12:56:07,43.473952000,-80.451605000,311.0,31.2,1.92,163.1,1.5,0.490,26.02,161,98,19,,
T,2013-09-28 12:56:09,43.473814000,-80.451551000,311.8,28.7,2.09,164.1,5.0,0.506,15.94,163,103,19,,
T,2013-09-28 12:56:11,43.473686000,-80.451530000,312.8,25.8,2.33,173.2,7.0,0.521,14.32,164,98,19,,
T,2013-09-28 12:56:12,43.473630000,-80.451528000,313.4,22.4,2.68,178.5,9.6,0.527,6.22,165,101,19,,
T,2013-09-28 12:56:13,43.473576000,-80.451533000,313.8,21.6,2.77,183.8,6.7,0.533,6.01,165,98,19,,
T,2013-09-28 12:56:14,43.473521000,-80.451541000,314.4,22.1,2.71,186.0,9.8,0.539,6.14,166,97,19,,
T,2013-09-28 12:56:16,43.473417000,-80.451588000,315.0,21.9,2.74,198.2,4.9,0.551,12.16,167,108,19,,
T,2013-09-28 12:56:17,43.473362000,-80.451619000,315.4,23.8,2.52,202.2,6.1,0.558,6.61,167,108,19,,
T,2013-09-28 12:56:18,43.473314000,-80.451649000,316.0,21.1,2.84,204.4,10.2,0.564,5.86,168,104,19,,
T,2013-09-28 12:56:19,43.473267000,-80.451683000,316.6,21.2,2.82,207.7,10.2,0.569,5.90,168,104,19,,
T,2013-09-28 12:56:21,43.473175000,-80.451759000,317.4,21.5,2.79,210.9,6.7,0.581,11.93,169,102,19,,
T,2013-09-28 12:56:22,43.473131000,-80.451798000,318.0,20.9,2.86,212.8,10.3,0.587,5.82,169,103,19,,
