type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2014-06-04 21:49:45,43.450693000,-80.516936000,372.2,,,,,0.000,,91,,28,"04/06/2014 Kitchener, ON, Canada",
T,2014-06-04 21:49:46,43.450689000,-80.516926000,372.2,3.3,18.05,118.9,0.0,0.001,0.92,91,,28,,
T,2014-06-04 21:49:50,43.450725000,-80.516899000,372.2,4.1,14.63,28.6,0.0,0.005,4.56,91,,28,,
T,2014-06-04 21:49:56,43.450731000,-80.516830000,371.6,3.4,17.78,83.2,-10.7,0.011,5.62,94,,28,,
T,2014-06-04 21:50:02,43.450758000,-80.516718000,371.6,5.7,10.47,71.6,0.0,0.021,9.55,97,,28,,
T,2014-06-04 21:50:04,43.450781000,-80.516703000,371.6,5.1,11.78,25.3,0.0,0.023,2.83,99,,28,,
T,2014-06-04 21:50:13,43.450923000,-80.516707000,371.6,6.3,9.51,358.8,0.0,0.039,15.78,101,,28,,
T,2014-06-04 21:50:21,43.451022000,-80.516695000,371.6,5.0,12.08,5.0,0.0,0.050,11.04,98,,28,,
T,2014-06-04 21:50:23,43.451049000,-80.516704000,371.6,5.6,10.80,346.4,0.0,0.053,3.09,99,,28,,
T,2014-06-04 21:50:29,43.451127000,-80.516649000,371.6,5.8,10.26,27.1,0.0,0.063,9.74,100,,27,,
T,2014-06-04 21:50:31,43.451164000,-80.516662000,371.6,7.6,7.86,345.7,0.0,0.067,4.24,98,,27,,
T,2014-06-04 21:50:40,43.451307000,-80.516756000,371.6,7.0,8.52,334.5,0.0,0.085,17.62,97,,27,,
T,2014-06-04 21:50:43,43.451339000,-80.516767000,371.6,4.4,13.64,346.0,0.0,0.089,3.67,100,,27,,
T,2014-06-04 21:50:46,43.451375000,-80.516783000,371.6,5.0,11.89,342.1,0.0,0.093,4.20,104,,27,,
T,2014-06-04 21:50:48,43.451399000,-80.516792000,371.6,5.0,12.06,344.8,0.0,0.096,2.76,106,,27,,
T,2014-06-04 21:50:52,43.451450000,-80.516804000,371.6,5.2,11.60,350.3,0.0,0.101,5.75,109,,27,,
T,2014-06-04 21:50:56,43.451476000,-80.516763000,371.6,4.0,15.15,48.9,0.0,0.106,4.40,107,,27,,
T,2014-06-04 21:51:06,43.451573000,-80.516728000,371.6,4.0,14.96,14.7,0.0,0.117,11.14,108,,27,,
T,2014-06-04 21:51:10,43.451615000,-80.516725000,371.6,4.2,14.27,3.0,0.0,0.122,4.67,111,,27,,
T,2014-06-04 21:51:18,43.451682000,-80.516715000,371.6,3.4,17.81,6.2,0.0,0.129,7.49,112,,27,,
T,2014-06-04 21:51:22,43.451712000,-80.516685000,372.0,3.7,16.17,36.0,9.7,0.133,4.12,112,,27,,
