type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-09-27 20:52:41,43.453071000,-80.517517000,251.8,,,,,0.000,,134,89,21,"27/09/2013 Kitchener, ON, Canada",
T,2013-09-27 20:52:49,43.453557000,-80.517832000,251.8,26.9,2.23,334.8,0.0,0.060,59.71,132,78,22,,
T,2013-09-27 20:52:54,43.453844000,-80.518071000,251.2,26.9,2.23,328.8,-1.6,0.097,37.30,134,50,22,,
T,2013-09-27 20:52:57,43.454034000,-80.518205000,251.2,28.5,2.11,332.9,0.0,0.121,23.73,135,87,22,,
T,2013-09-27 20:53:04,43.454520000,-80.518555000,251.2,31.4,1.91,332.4,0.0,0.182,60.98,132,138,22,,
T,2013-09-27 20:53:09,43.454840000,-80.518810000,251.2,29.6,2.03,330.0,0.0,0.223,41.11,129,0,22,,
T,2013-09-27 20:53:11,43.454926000,-80.518872000,251.2,19.4,3.09,332.4,0.0,0.234,10.79,126,0,22,,
T,2013-09-27 20:53:12,43.454945000,-80.518890000,251.2,9.2,6.50,325.5,0.0,0.236,2.56,124,0,22,,
T,2013-09-27 20:53:14,43.454985000,-80.518929000,251.2,9.8,6.12,324.7,0.0,0.242,5.45,121,0,22,,
T,2013-09-27 20:53:15,43.455004000,-80.518954000,251.2,10.5,5.70,316.3,0.0,0.245,2.92,119,0,22,,
T,2013-09-27 20:53:19,43.455023000,-80.518980000,251.2,2.7,22.37,315.2,0.0,0.248,2.98,119,0,22,,
T,2013-09-27 20:53:20,43.455024000,-80.518978000,251.2,0.7,84.89,55.4,0.0,0.248,0.20,117,0,22,,
T,2013-09-27 20:54:07,43.455029000,-80.518975000,251.2,0.0,1292.08,23.5,0.0,0.248,0.61,88,0,22,,
T,2013-09-27 20:54:08,43.455041000,-80.518995000,251.2,7.5,7.95,309.6,0.0,0.250,2.10,92,0,22,,
T,2013-09-27 20:54:09,43.455062000,-80.519024000,251.2,11.9,5.04,314.9,0.0,0.254,3.31,94,0,22,,
T,2013-09-27 20:54:10,43.455083000,-80.519063000,251.2,14.1,4.25,306.6,0.0,0.258,3.93,97,0,22,,
T,2013-09-27 20:54:11,43.455102000,-80.519110000,251.2,15.7,3.83,299.1,0.0,0.262,4.35,101,41,22,,
T,2013-09-27 20:54:13,43.455127000,-80.519221000,251.2,16.9,3.54,287.2,0.0,0.271,9.40,105,54,22,,
T,2013-09-27 20:54:15,43.455127000,-80.519359000,251.2,20.1,2.98,270.0,0.0,0.283,11.17,108,65,22,,
T,2013-09-27 20:54:17,43.455089000,-80.519500000,251.2,21.9,2.74,249.6,0.0,0.295,12.17,110,72,22,,
T,2013-09-27 20:54:18,43.455062000,-80.519576000,251.2,24.6,2.44,243.9,0.0,0.302,6.84,111,75,22,,
T,2013-09-27 20:54:20,43.455009000,-80.519720000,251.2,23.5,2.55,243.1,0.0,0.315,13.06,114,93,22,,
T,2013-09-27 20:54:22,43.454952000,-80.519878000,251.2,25.7,2.34,243.6,0.0,0.329,14.27,117,95,22,,
T,2013-09-27 20:54:23,43.454925000,-80.519953000,251.2,24.4,2.46,243.6,0.0,0.336,6.77,119,95,22,,
T,2013-09-27 20:54:26,43.454833000,-80.520194000,251.2,26.4,2.27,242.3,0.0,0.358,22.02,122,95,22,,
T,2013-09-27 20:54:29,43.454750000,-80.520448000,251.2,27.0,2.22,245.8,0.0,0.380,22.53,125,99,22,,
T,2013-09-27 20:54:31,43.454680000,-80.520633000,251.2,30.4,1.98,242.5,0.0,0.397,16.87,127,98,22,,
T,2013-09-27 20:54:34,43.454588000,-80.520885000,251.2,27.4,2.19,243.3,0.0,0.420,22.81,130,96,22,,
T,2013-09-27 20:54:40,43.454417000,-80.521348000,251.2,25.2,2.38,243.0,0.0,0.462,42.01,132,100,22,,
T,2013-09-27 20:54:45,43.454262000,-80.521726000,251.2,25.3,2.37,240.5,0.0,0.497,35.11,135,98,22,,
T,2013-09-27 20:54:46,43.454225000,-80.521790000,251.2,23.8,2.52,231.5,0.0,0.504,6.61,135,98,22,,
T,2013-09-27 20:54:48,43.454143000,-80.521916000,251.2,24.6,2.44,228.1,0.0,0.517,13.67,136,101,22,,
T,2013-09-27 20:54:53,43.453925000,-80.522208000,251.2,24.4,2.46,224.2,0.0,0.551,33.84,132,99,22,,
T,2013-09-27 20:54:54,43.453876000,-80.522263000,251.2,25.3,2.37,219.2,0.0,0.558,7.03,131,98,22,,
T,2013-09-27 20:54:58,43.453665000,-80.522456000,251.2,25.4,2.37,213.6,0.0,0.586,28.17,130,97,22,,
T,2013-09-27 20:54:59,43.453611000,-80.522508000,251.2,26.4,2.27,215.0,0.0,0.594,7.33,131,97,22,,
T,2013-09-27 20:55:01,43.453599000,-80.522648000,251.2,20.5,2.92,263.3,0.0,0.605,11.41,132,90,22,,
T,2013-09-27 20:55:02,43.453640000,-80.522711000,251.6,24.6,2.44,311.9,5.9,0.612,6.84,133,86,22,,
T,2013-09-27 20:55:03,43.453675000,-80.522773000,252.0,22.9,2.63,307.9,6.3,0.618,6.35,133,90,22,,
T,2013-09-27 20:55:04,43.453681000,-80.522843000,252.4,20.5,2.92,276.7,7.0,0.624,5.70,133,90,22,,
T,2013-09-27 20:55:05,43.453667000,-80.522914000,252.8,21.4,2.80,254.8,6.7,0.630,5.95,133,84,22,,
T,2013-09-27 20:55:06,43.453652000,-80.522977000,253.4,19.3,3.11,251.8,11.2,0.635,5.36,134,81,22,,
T,2013-09-27 20:55:08,43.453640000,-80.523115000,253.4,20.2,2.96,263.2,0.0,0.647,11.25,135,93,22,,
T,2013-09-27 20:55:13,43.453603000,-80.523463000,253.4,20.5,2.93,261.7,0.0,0.675,28.47,138,96,22,,
T,2013-09-27 20:55:14,43.453591000,-80.523532000,253.8,20.7,2.90,256.5,7.0,0.681,5.74,138,97,22,,
T,2013-09-27 20:55:15,43.453585000,-80.523603000,254.2,20.8,2.88,263.4,6.9,0.687,5.79,139,98,22,,
T,2013-09-27 20:55:16,43.453577000,-80.523673000,254.6,20.6,2.91,261.1,7.0,0.692,5.73,139,98,22,,
T,2013-09-27 20:55:17,43.453570000,-80.523743000,255.2,20.6,2.91,262.2,10.5,0.698,5.72,140,98,22,,
T,2013-09-27 20:55:18,43.453564000,-80.523828000,255.6,24.9,2.41,264.4,5.8,0.705,6.91,140,99,22,,
T,2013-09-27 20:55:24,43.453528000,-80.524267000,255.6,21.5,2.80,263.6,0.0,0.741,35.76,143,99,22,,
T,2013-09-27 20:55:25,43.453526000,-80.524340000,256.0,21.3,2.82,267.8,6.8,0.747,5.91,143,99,22,,
T,2013-09-27 20:55:26,43.453522000,-80.524410000,256.4,20.5,2.93,265.5,7.0,0.752,5.68,144,99,22,,
