type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-09-28 18:15:14,43.475419000,-80.451973000,286.8,,,,,0.000,,109,0,28,"28/09/2013 Waterloo, ON, Canada: From TDH",
T,2013-09-28 18:15:17,43.475314000,-80.452062000,286.8,16.5,3.65,211.6,0.0,0.014,13.71,109,69,28,,
T,2013-09-28 18:15:18,43.475266000,-80.452065000,286.8,19.2,3.12,182.6,0.0,0.019,5.34,112,74,28,,
T,2013-09-28 18:15:20,43.475170000,-80.452052000,286.8,19.3,3.11,174.4,0.0,0.030,10.72,116,81,28,,
T,2013-09-28 18:15:22,43.475076000,-80.452021000,286.8,19.3,3.10,166.5,0.0,0.041,10.74,120,93,28,,
T,2013-09-28 18:15:24,43.474973000,-80.451984000,286.8,21.3,2.82,165.4,0.0,0.052,11.83,124,96,28,,
T,2013-09-28 18:15:27,43.474814000,-80.451930000,287.4,21.8,2.75,166.2,3.3,0.071,18.20,126,97,28,,
T,2013-09-28 18:15:32,43.474544000,-80.451826000,287.4,22.4,2.67,164.4,0.0,0.102,31.16,127,94,28,,
T,2013-09-28 18:15:37,43.474307000,-80.451736000,287.4,19.7,3.05,164.6,0.0,0.129,27.32,130,90,28,,
T,2013-09-28 18:15:40,43.474175000,-80.451684000,287.4,18.3,3.28,164.0,0.0,0.144,15.26,131,92,28,,
T,2013-09-28 18:15:43,43.474053000,-80.451636000,287.4,16.9,3.55,164.1,0.0,0.158,14.10,134,89,28,,
T,2013-09-28 18:15:46,43.473949000,-80.451590000,287.8,14.6,4.12,162.2,3.3,0.171,12.14,137,70,28,,
T,2013-09-28 18:15:47,43.473919000,-80.451580000,288.2,12.3,4.86,166.4,11.7,0.174,3.43,138,65,28,,
T,2013-09-28 18:15:48,43.473888000,-80.451573000,288.6,12.6,4.77,170.7,11.5,0.177,3.49,139,60,28,,
T,2013-09-28 18:15:49,43.473855000,-80.451565000,289.0,13.4,4.48,170.0,10.7,0.181,3.72,140,57,28,,
T,2013-09-28 18:15:50,43.473822000,-80.451560000,289.4,13.3,4.52,173.7,10.8,0.185,3.69,141,59,28,,
T,2013-09-28 18:15:52,43.473758000,-80.451554000,289.4,12.8,4.68,176.1,0.0,0.192,7.13,144,58,28,,
T,2013-09-28 18:15:55,43.473663000,-80.451557000,289.8,12.7,4.74,181.3,3.8,0.203,10.56,147,57,28,,
T,2013-09-28 18:15:56,43.473632000,-80.451561000,290.4,12.5,4.82,185.3,17.3,0.206,3.46,147,57,28,,
T,2013-09-28 18:15:57,43.473599000,-80.451569000,290.8,13.4,4.48,190.0,10.7,0.210,3.72,148,56,28,,
T,2013-09-28 18:15:58,43.473567000,-80.451579000,291.2,13.1,4.57,192.8,11.0,0.213,3.65,148,55,28,,
T,2013-09-28 18:15:59,43.473536000,-80.451591000,291.8,12.9,4.66,195.7,16.8,0.217,3.58,148,55,28,,
T,2013-09-28 18:16:02,43.473444000,-80.451633000,292.2,12.9,4.64,198.3,3.7,0.228,10.77,149,58,28,,
T,2013-09-28 18:16:03,43.473414000,-80.451649000,292.6,12.9,4.66,201.2,11.2,0.231,3.58,151,58,28,,
